Date,State,City,Confirmed,Deaths,Recovered,Order For Place,Estimated Population,City Ibge Code,Infected Per Confirmed,Infected,Closed,Active,Diff Confirmed,Diff Infected,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Infected,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Infected,Diff4 Infected,Diff5 Infected,μ closed,Infected Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi
2020-05-07,PI,São José do Peixe,1,0,4,1,3782,2210102,6.8,7,4,3,,,,,,,,,,,,,,,0.0,1850.87,0.0,1057.64,1057.64,793.23
2020-05-08,PI,São José do Peixe,1,0,4,2,3782,2210102,6.8,7,4,3,,,,,,,,,,,,,,,0.0,1850.87,0.0,1057.64,1057.64,793.23
2020-05-09,PI,São José do Peixe,1,0,4,3,3782,2210102,6.8,7,4,3,,,,,,,,,,,,,,,0.0,1850.87,0.0,1057.64,1057.64,793.23
2020-05-10,PI,São José do Peixe,1,0,4,4,3782,2210102,6.8,7,4,3,,,,,,,,,,,,,,,0.0,1850.87,0.0,1057.64,1057.64,793.23
2020-05-11,PI,São José do Peixe,1,0,4,5,3782,2210102,6.8,7,4,3,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,1850.87,0.0,1057.64,1057.64,793.23
2020-05-12,PI,São José do Peixe,1,0,4,6,3782,2210102,6.8,7,4,3,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,1850.87,0.0,1057.64,1057.64,793.23
2020-05-13,PI,São José do Peixe,1,0,4,7,3782,2210102,6.8,7,4,3,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,1850.87,0.0,1057.64,1057.64,793.23
2020-05-14,PI,São José do Peixe,1,0,4,8,3782,2210102,6.8,7,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,1850.87,0.0,1057.64,1057.64,793.23
2020-05-15,PI,São José do Peixe,1,0,4,9,3782,2210102,6.8,7,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,1850.87,0.0,1057.64,1057.64,793.23
2020-05-16,PI,São José do Peixe,1,0,4,10,3782,2210102,6.8,7,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,1850.87,0.0,1057.64,1057.64,793.23
2020-05-17,PI,São José do Peixe,1,0,4,11,3782,2210102,6.8,7,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1850.87,0.0,1057.64,1057.64,793.23
2020-05-18,PI,São José do Peixe,1,0,4,12,3782,2210102,6.8,7,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1850.87,0.0,1057.64,1057.64,793.23
2020-05-19,PI,São José do Peixe,1,0,4,13,3782,2210102,6.8,7,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1850.87,0.0,1057.64,1057.64,793.23
2020-05-20,PI,São José do Peixe,1,0,4,14,3782,2210102,6.8,7,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.008,,0.0,1850.87,0.0,1057.64,1057.64,793.23
2020-05-21,PI,São José do Peixe,1,0,4,15,3782,2210102,6.8,7,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.008,,0.0,1850.87,0.0,1057.64,1057.64,793.23
2020-05-22,PI,São José do Peixe,1,0,4,16,3782,2210102,6.8,7,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.143,0.0,0.143,0.0571,0.04,0.008,,0.0,1850.87,0.0,1057.64,1057.64,793.23
2020-05-23,PI,São José do Peixe,1,0,4,17,3782,2210102,6.8,7,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.143,0.0,0.143,0.0571,0.04,-0.0011,-0.0034,0.0,1850.87,0.0,1057.64,1057.64,793.23
2020-05-24,PI,São José do Peixe,1,0,4,18,3782,2210102,6.8,7,4,3,0.143,1.0,0.714,0.0,0.714,0.286,0.2,0.143,0.0,0.143,0.0571,0.04,-0.0011,-0.0034,0.0,1850.87,0.0,1057.64,1057.64,793.23
2020-05-25,PI,São José do Peixe,1,0,4,19,3782,2210102,6.8,7,4,3,0.143,1.0,0.714,0.0,0.714,0.286,0.2,0.114,0.0,0.114,0.0857,0.0343,-0.0091,-0.0034,0.0,1850.87,0.0,1057.64,1057.64,793.23
2020-05-26,PI,São José do Peixe,1,0,4,20,3782,2210102,6.8,7,4,3,0.143,1.0,0.714,0.0,0.714,0.286,0.2,0.143,0.0,0.143,0.0571,0.0343,-0.0091,-0.0057,0.0,1850.87,0.0,1057.64,1057.64,793.23
2020-05-27,PI,São José do Peixe,2,0,9,21,3782,2210102,6.8,14,9,5,0.143,1.0,0.571,0.0,0.571,0.429,0.371,0.229,0.0,0.229,0.143,-0.0057,-0.0091,-0.0057,0.0,3701.75,0.0,2379.69,2379.69,1322.05
2020-05-28,PI,São José do Peixe,2,0,9,22,3782,2210102,6.8,14,9,5,0.143,1.0,0.714,0.0,0.714,0.286,0.371,0.229,0.0,0.229,0.143,-0.0057,-0.0297,-0.0023,0.0,3701.75,0.0,2379.69,2379.69,1322.05
2020-05-29,PI,São José do Peixe,2,0,9,23,3782,2210102,6.8,14,9,5,0.429,2.86,1.86,0.0,1.86,1.0,0.171,0.0857,0.0,0.0857,0.0857,-0.0057,-0.0297,-0.0023,0.0,3701.75,0.0,2379.69,2379.69,1322.05
2020-05-30,PI,São José do Peixe,2,0,8,24,3782,2210102,6.8,14,8,6,0.429,2.86,1.86,0.0,1.86,1.0,0.171,0.114,0.0,0.114,0.0571,-0.1143,-0.0206,-0.0023,0.0,3701.75,0.0,2115.28,2115.28,1586.46
2020-05-31,PI,São José do Peixe,2,0,9,25,3782,2210102,6.8,14,9,5,0.286,1.86,1.14,0.0,1.14,0.714,0.171,0.0857,0.0,0.0857,0.0857,-0.1143,-0.0206,0.0091,0.0,3701.75,0.0,2379.69,2379.69,1322.05
2020-06-01,PI,São José do Peixe,4,0,17,26,3782,2210102,6.8,27,17,10,0.286,1.86,1.14,0.0,1.14,0.714,-0.2,-0.1143,0.0,-0.1143,-0.0857,-0.1086,-0.0206,0.0091,0.0,7139.08,0.0,4494.98,4494.98,2644.1
2020-06-02,PI,São José do Peixe,4,0,17,27,3782,2210102,6.8,27,17,10,0.286,1.86,1.14,0.0,1.14,0.714,-0.2,-0.1143,0.0,-0.1143,-0.0857,-0.1086,0.016,0.0114,0.0,7139.08,0.0,4494.98,4494.98,2644.1
2020-06-03,PI,São José do Peixe,4,0,17,28,3782,2210102,6.8,27,17,10,0.286,1.86,1.29,0.0,1.29,0.571,-0.3714,-0.2,0.0,-0.2,-0.1714,-0.1086,0.016,0.0114,0.0,7139.08,0.0,4494.98,4494.98,2644.1
2020-06-04,PI,São José do Peixe,4,0,17,29,3782,2210102,6.8,27,17,10,0.286,1.86,1.29,0.0,1.29,0.571,-0.3714,-0.2,0.0,-0.2,-0.1714,-0.0343,0.0366,0.0114,0.0,7139.08,0.0,4494.98,4494.98,2644.1
2020-06-05,PI,São José do Peixe,4,0,17,30,3782,2210102,6.8,27,17,10,0.0,0.0,0.143,0.0,0.143,-0.1429,-0.3714,-0.2,0.0,-0.2,-0.1714,-0.0343,0.0366,0.0027,0.0,7139.08,0.0,4494.98,4494.98,2644.1
2020-06-06,PI,São José do Peixe,4,0,17,31,3782,2210102,6.8,27,17,10,0.0,0.0,0.143,0.0,0.143,-0.1429,-0.3714,-0.2286,0.0,-0.2286,-0.1429,0.0743,0.0366,0.0027,0.0,7139.08,0.0,4494.98,4494.98,2644.1
2020-06-07,PI,São José do Peixe,4,0,18,32,3782,2210102,6.8,27,18,9,0.0,0.0,0.143,0.0,0.143,-0.1429,-0.3714,-0.2286,0.0,-0.2286,-0.1429,0.0743,0.0297,-0.0087,0.0,7139.08,0.0,4759.39,4759.39,2379.69
2020-06-08,PI,São José do Peixe,4,0,18,33,3782,2210102,6.8,27,18,9,0.0,0.0,0.143,0.0,0.143,-0.1429,0.0,0.0286,0.0,0.0286,-0.0286,0.0743,0.0297,-0.0087,0.0,7139.08,0.0,4759.39,4759.39,2379.69
2020-06-09,PI,São José do Peixe,4,0,18,34,3782,2210102,6.8,27,18,9,0.0,0.0,0.143,0.0,0.143,-0.1429,0.0,0.0,0.0,0.0,0.0,0.114,-0.0069,-0.0087,0.0,7139.08,0.0,4759.39,4759.39,2379.69
2020-06-10,PI,São José do Peixe,4,0,18,35,3782,2210102,6.8,27,18,9,0.0,0.0,0.286,0.0,0.286,-0.2857,0.0,0.0,0.0,0.0,0.0,0.114,-0.0069,-0.0121,0.0,7139.08,0.0,4759.39,4759.39,2379.69
2020-06-11,PI,São José do Peixe,4,0,18,36,3782,2210102,6.8,27,18,9,0.0,0.0,0.143,0.0,0.143,-0.1429,0.2,0.143,0.0,0.143,0.0571,0.04,-0.0069,-0.0121,0.0,7139.08,0.0,4759.39,4759.39,2379.69
2020-06-12,PI,São José do Peixe,4,0,18,37,3782,2210102,6.8,27,18,9,0.0,0.0,0.143,0.0,0.143,-0.1429,0.2,0.143,0.0,0.143,0.0571,0.04,-0.0309,-0.0034,0.0,7139.08,0.0,4759.39,4759.39,2379.69
2020-06-13,PI,São José do Peixe,4,0,19,38,3782,2210102,6.8,27,19,8,0.143,1.0,0.857,0.0,0.857,0.143,0.2,0.114,0.0,0.114,0.0857,0.04,-0.0309,-0.0034,0.0,7139.08,0.0,5023.8,5023.8,2115.28
