date,state,city,confirmed,deaths,recovered,estimated_population,city_ibge_code,infected_per_confirmed,infected,closed,active,diff_infected,diff_recovered,diff_deaths,diff_closed,diff_active,diff2_infected,diff2_recovered,diff2_deaths,diff2_closed,diff2_active,diff3_infected,diff4_infected,diff5_infected,μ_closed,μ_infected,infected_per_1mi,deaths_per_1mi,recovered_per_1mi,closed_per_1mi,active_per_1mi
2020-05-02,MA,São João do Carú,1,0,4,15966,2111029,8.3,8,4,4,,,,,,,,,,,,,,0.0,0.0,501.06,0.0,250.53,250.53,250.53
2020-05-03,MA,São João do Carú,4,0,18,15966,2111029,8.3,33,18,15,,,,,,,,,,,,,,0.0,0.0,2066.89,0.0,1127.4,1127.4,939.5
2020-05-04,MA,São João do Carú,4,0,18,15966,2111029,8.3,33,18,15,,,,,,,,,,,,,,0.0,0.0,2066.89,0.0,1127.4,1127.4,939.5
2020-05-05,MA,São João do Carú,7,0,33,15966,2111029,8.3,58,33,25,12.5,6.83,,,,,,,,,,,,0.0,0.0,3632.72,0.0,2066.89,2066.89,1565.83
2020-05-06,MA,São João do Carú,7,0,32,15966,2111029,8.3,58,32,26,8.33,4.67,,,,,,,,,,,,0.0,0.0,3632.72,0.0,2004.26,2004.26,1628.46
2020-05-07,MA,São João do Carú,10,0,45,15966,2111029,8.3,83,45,38,8.33,4.83,,,,,,,,,,,,0.0,0.0,5198.55,0.0,2818.49,2818.49,2380.06
2020-05-08,MA,São João do Carú,10,0,45,15966,2111029,8.3,83,45,38,4.17,2.5,,,,2.53,1.61,,,,,,,0.0,0.0,5198.55,0.0,2818.49,2818.49,2380.06
2020-05-09,MA,São João do Carú,10,0,46,15966,2111029,8.3,83,46,37,4.17,2.83,,,,4.14,2.39,,,,,,,0.0,0.0,5198.55,0.0,2881.12,2881.12,2317.42
2020-05-10,MA,São João do Carú,10,0,47,15966,2111029,8.3,83,47,36,23.5,14.33,,,,4.83,2.78,,,,0.75,,,0.0,0.0,5198.55,0.0,2943.76,2943.76,2254.79
2020-05-11,MA,São João do Carú,10,0,48,15966,2111029,8.3,83,48,35,27.67,16.5,,,,5.53,3.31,,,,-1.4375,,,0.0,0.0,5198.55,0.0,3006.39,3006.39,2192.16
2020-05-12,MA,São João do Carú,10,0,49,15966,2111029,8.3,83,49,34,33.17,19.0,,,,5.53,3.22,,,,-1.9028,-0.908,,0.0,0.0,5198.55,0.0,3069.02,3069.02,2129.53
2020-05-13,MA,São João do Carú,27,0,131,15966,2111029,8.3,224,131,93,37.33,21.5,,,,-1.6111,-1.0,,,,-2.5347,,,0.0,0.0,14029.81,0.0,8204.94,8204.94,5824.88
2020-05-14,MA,São João do Carú,30,0,144,15966,2111029,8.3,249,144,105,37.33,22.33,,,,-2.7778,-1.6389,,,,-2.8819,,,0.0,0.0,15595.64,0.0,9019.17,9019.17,6576.48
2020-05-15,MA,São João do Carú,34,0,160,15966,2111029,8.3,282,160,122,37.33,22.17,,,,-4.6111,-2.5,,,,,,,0.0,0.0,17662.53,0.0,10021.3,10021.3,7641.24
2020-05-16,MA,São João do Carú,37,0,176,15966,2111029,8.3,307,176,131,13.83,8.33,,,,-6.0,-3.3889,,,,,,,0.0,0.0,19228.36,0.0,11023.42,11023.42,8204.94
2020-05-17,MA,São João do Carú,37,0,182,15966,2111029,8.3,307,182,125,11.0,6.67,,,,-6.0,-3.6389,,,,,,,0.0,0.0,19228.36,0.0,11399.22,11399.22,7829.14
2020-05-18,MA,São João do Carú,37,0,182,15966,2111029,8.3,307,182,125,5.5,4.0,,,,-6.0,-3.5278,,,,,,,0.0,0.0,19228.36,0.0,11399.22,11399.22,7829.14
2020-05-19,MA,São João do Carú,37,0,181,15966,2111029,8.3,307,181,126,1.33,1.17,,,,-2.0833,-1.0556,,,,,,,0.0,0.0,19228.36,0.0,11336.59,11336.59,7891.77
2020-05-20,MA,São João do Carú,38,0,184,15966,2111029,8.3,315,184,131,1.33,0.5,,,,0.0278,0.361,,,,,,,0.0,0.0,19729.43,0.0,11524.49,11524.49,8204.94
2020-05-21,MA,São João do Carú,38,0,184,15966,2111029,8.3,315,184,131,1.33,1.0,,,,3.25,2.25,,,,,,,0.0,0.0,19729.43,0.0,11524.49,11524.49,8204.94
