Date,State,City,Confirmed,Deaths,Recovered,Order For Place,Estimated Population 2019,Estimated Population,City Ibge Code,Infected Per Confirmed,Infected,Closed,Active,Diff Confirmed,Diff Infected,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Infected,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Infected,Diff4 Infected,Diff5 Infected,μ closed,Infected Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi
2020-05-23,GO,Terezópolis de Goiás,1,0,4,1,8043,8268,5221197,6.8,7,4,3,,,,,,,,,,,,,,,0.0,846.64,0.0,483.79,483.79,362.84
2020-05-24,GO,Terezópolis de Goiás,1,0,4,2,8043,8268,5221197,6.8,7,4,3,,,,,,,,,,,,,,,0.0,846.64,0.0,483.79,483.79,362.84
2020-05-25,GO,Terezópolis de Goiás,1,0,4,3,8043,8268,5221197,6.8,7,4,3,,,,,,,,,,,,,,,0.0,846.64,0.0,483.79,483.79,362.84
2020-05-26,GO,Terezópolis de Goiás,1,0,4,4,8043,8268,5221197,6.8,7,4,3,,,,,,,,,,,,,,,0.0,846.64,0.0,483.79,483.79,362.84
2020-05-27,GO,Terezópolis de Goiás,1,0,4,5,8043,8268,5221197,6.8,7,4,3,0.143,1.0,0.571,0.0,0.571,0.429,,,,,,,,,0.0,846.64,0.0,483.79,483.79,362.84
2020-05-28,GO,Terezópolis de Goiás,1,0,4,6,8043,8268,5221197,6.8,7,4,3,0.143,1.0,0.714,0.0,0.714,0.286,,,,,,,,,0.0,846.64,0.0,483.79,483.79,362.84
2020-05-29,GO,Terezópolis de Goiás,2,0,9,7,8043,8268,5221197,6.8,14,9,5,0.286,1.86,1.29,0.0,1.29,0.571,,,,,,,,,0.0,1693.28,0.0,1088.53,1088.53,604.74
2020-05-30,GO,Terezópolis de Goiás,2,0,8,8,8043,8268,5221197,6.8,14,8,6,0.286,1.86,1.29,0.0,1.29,0.571,0.171,0.143,0.0,0.143,0.0286,,,,0.0,1693.28,0.0,967.59,967.59,725.69
2020-05-31,GO,Terezópolis de Goiás,2,0,9,9,8043,8268,5221197,6.8,14,9,5,0.143,1.0,0.714,0.0,0.714,0.286,0.171,0.0857,0.0,0.0857,0.0857,,,,0.0,1693.28,0.0,1088.53,1088.53,604.74
2020-06-01,GO,Terezópolis de Goiás,3,0,13,10,8043,8268,5221197,6.8,20,13,7,0.286,1.86,1.29,0.0,1.29,0.571,0.0,0.0,0.0,0.0,0.0,,,,0.0,2418.96,0.0,1572.33,1572.33,846.64
2020-06-02,GO,Terezópolis de Goiás,3,0,13,11,8043,8268,5221197,6.8,20,13,7,0.286,1.86,1.14,0.0,1.14,0.714,0.0,0.0,0.0,0.0,0.0,-0.0286,,,0.0,2418.96,0.0,1572.33,1572.33,846.64
2020-06-03,GO,Terezópolis de Goiás,2,0,9,12,8043,8268,5221197,6.8,14,9,5,0.286,1.86,1.29,0.0,1.29,0.571,0.0,0.0,0.0,0.0,0.0,0.0057,,,0.0,1693.28,0.0,1088.53,1088.53,604.74
2020-06-04,GO,Terezópolis de Goiás,3,0,13,13,8043,8268,5221197,6.8,20,13,7,0.286,1.86,1.29,0.0,1.29,0.571,0.0286,0.0286,0.0,0.0286,0.0,0.0057,,,0.0,2418.96,0.0,1572.33,1572.33,846.64
2020-06-05,GO,Terezópolis de Goiás,4,0,17,14,8043,8268,5221197,6.8,27,17,10,0.143,1.0,0.714,0.0,0.714,0.286,0.2,0.171,0.0,0.171,0.0286,-0.0343,-0.0034,,0.0,3265.6,0.0,2056.12,2056.12,1209.48
2020-06-06,GO,Terezópolis de Goiás,4,0,17,15,8043,8268,5221197,6.8,27,17,10,0.286,2.0,1.43,0.0,1.43,0.571,0.0286,0.0286,0.0,0.0286,0.0,0.0,-0.016,,0.0,3265.6,0.0,2056.12,2056.12,1209.48
2020-06-07,GO,Terezópolis de Goiás,4,0,18,16,8043,8268,5221197,6.8,27,18,9,0.429,2.86,2.0,0.0,2.0,0.857,-0.1714,-0.0857,0.0,-0.0857,-0.0857,-0.0457,-0.0103,,0.0,3265.6,0.0,2177.07,2177.07,1088.53
2020-06-08,GO,Terezópolis de Goiás,4,0,18,17,8043,8268,5221197,6.8,27,18,9,0.286,2.0,1.43,0.0,1.43,0.571,0.0,0.0286,0.0,0.0286,-0.0286,-0.0743,0.0366,0.0087,0.0,3265.6,0.0,2177.07,2177.07,1088.53
2020-06-09,GO,Terezópolis de Goiás,5,0,23,18,8043,8268,5221197,6.8,34,23,11,0.143,1.0,0.857,0.0,0.857,0.143,-0.2,-0.1143,0.0,-0.1143,-0.0857,-0.0457,0.0229,0.0105,0.0,4112.24,0.0,2781.81,2781.81,1330.43
2020-06-10,GO,Terezópolis de Goiás,5,0,23,19,8043,8268,5221197,6.8,34,23,11,0.143,1.0,0.857,0.0,0.857,0.143,-0.1714,-0.0857,0.0,-0.0857,-0.0857,0.149,0.04,0.0117,0.0,4112.24,0.0,2781.81,2781.81,1330.43
2020-06-11,GO,Terezópolis de Goiás,5,0,23,20,8043,8268,5221197,6.8,34,23,11,0.143,1.0,0.857,0.0,0.857,0.143,-0.2,-0.1143,0.0,-0.1143,-0.0857,0.114,0.0366,-0.0194,0.0,4112.24,0.0,2781.81,2781.81,1330.43
2020-06-12,GO,Terezópolis de Goiás,5,0,23,21,8043,8268,5221197,6.8,34,23,11,0.286,2.0,1.57,0.0,1.57,0.429,0.571,0.4,0.0,0.4,0.171,0.154,0.048,-0.0153,0.0,4112.24,0.0,2781.81,2781.81,1330.43
2020-06-13,GO,Terezópolis de Goiás,5,0,23,22,8043,8268,5221197,6.8,34,23,11,0.143,1.0,0.857,0.0,0.857,0.143,0.571,0.429,0.0,0.429,0.143,0.109,-0.0606,-0.0233,0.0,4112.24,0.0,2781.81,2781.81,1330.43
