Date,State,City,Confirmed,Deaths,Recovered,Order For Place,Estimated Population,City Ibge Code,Infected Per Confirmed,Infected,Closed,Active,Diff Confirmed,Diff Infected,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Infected,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Infected,Diff4 Infected,Diff5 Infected,μ closed,Infected Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi
2020-03-28,RN,Tibau,1,0,2,1,4147,2411056,6.8,7,2,5,,,,,,,,,,,,,,,0.0,1687.97,0.0,482.28,482.28,1205.69
2020-03-30,RN,Tibau,1,0,3,2,4147,2411056,6.8,7,3,4,,,,,,,,,,,,,,,0.0,1687.97,0.0,723.41,723.41,964.55
2020-03-31,RN,Tibau,1,0,2,3,4147,2411056,6.8,7,2,5,,,,,,,,,,,,,,,0.0,1687.97,0.0,482.28,482.28,1205.69
2020-04-01,RN,Tibau,1,0,2,4,4147,2411056,6.8,7,2,5,,,,,,,,,,,,,,,0.0,1687.97,0.0,482.28,482.28,1205.69
2020-04-02,RN,Tibau,1,0,2,5,4147,2411056,6.8,7,2,5,,,,,,,,,,,,,,,0.0,1687.97,0.0,482.28,482.28,1205.69
2020-04-03,RN,Tibau,1,0,2,6,4147,2411056,6.8,7,2,5,,,,,,,,,,,,,,,0.0,1687.97,0.0,482.28,482.28,1205.69
2020-04-05,RN,Tibau,1,0,3,7,4147,2411056,6.8,7,3,4,,,,,,,,,,,,,,,0.0,1687.97,0.0,723.41,723.41,964.55
2020-04-07,RN,Tibau,1,0,3,8,4147,2411056,6.8,7,3,4,,,,,,,,,,,,,,,0.0,1687.97,0.0,723.41,723.41,964.55
2020-04-08,RN,Tibau,1,0,3,9,4147,2411056,6.8,7,3,4,,,,,,,,,,,,,,,0.0,1687.97,0.0,723.41,723.41,964.55
2020-04-10,RN,Tibau,1,0,3,10,4147,2411056,6.8,7,3,4,,,,,,,,,,,,,,,0.0,1687.97,0.0,723.41,723.41,964.55
2020-04-11,RN,Tibau,1,0,3,11,4147,2411056,6.8,7,3,4,,,,,,,,,,,,,,,0.0,1687.97,0.0,723.41,723.41,964.55
2020-04-12,RN,Tibau,2,0,6,12,4147,2411056,6.8,14,6,8,,,,,,,,,,,,,,,0.0,3375.93,0.0,1446.83,1446.83,1929.11
2020-04-13,RN,Tibau,2,0,7,13,4147,2411056,6.8,14,7,7,,,,,,,,,,,,,,,0.0,3375.93,0.0,1687.97,1687.97,1687.97
2020-04-14,RN,Tibau,2,0,7,14,4147,2411056,6.8,14,7,7,0.143,1.0,0.571,0.0,0.571,0.429,,,,,,,,,0.0,3375.93,0.0,1687.97,1687.97,1687.97
2020-04-15,RN,Tibau,2,0,7,15,4147,2411056,6.8,14,7,7,0.143,1.0,0.571,0.0,0.571,0.429,,,,,,,,,0.0,3375.93,0.0,1687.97,1687.97,1687.97
