Date,State,City,Confirmed,Deaths,Recovered,Estimated Population,City Ibge Code,Infected Per Confirmed,Infected,Closed,Active,Diff Confirmed,Diff Infected,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Infected,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Infected,Diff4 Infected,Diff5 Infected,μ closed,μ infected,Infected Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi
2020-05-29,RS,Três de Maio,1,0,5,24145,4321808,8.4,8,5,3,,,,,,,,,,,,,,,0.0,0.0,331.33,0.0,207.08,207.08,124.25
2020-05-30,RS,Três de Maio,1,0,5,24145,4321808,8.4,8,5,3,,,,,,,,,,,,,,,0.0,0.0,331.33,0.0,207.08,207.08,124.25
2020-05-31,RS,Três de Maio,1,0,5,24145,4321808,8.4,8,5,3,,,,,,,,,,,,,,,0.0,0.0,331.33,0.0,207.08,207.08,124.25
2020-06-01,RS,Três de Maio,1,0,5,24145,4321808,8.4,8,5,3,,,,,,,,,,,,,,,0.0,0.0,331.33,0.0,207.08,207.08,124.25
2020-06-02,RS,Três de Maio,1,0,5,24145,4321808,8.4,8,5,3,0.0,0.0,0.0,,,,,,,,,,,,0.0,0.0,331.33,0.0,207.08,207.08,124.25
2020-06-03,RS,Três de Maio,1,0,5,24145,4321808,8.4,8,5,3,0.0,0.0,0.0,,,,,,,,,,,,0.0,0.0,331.33,0.0,207.08,207.08,124.25
2020-06-04,RS,Três de Maio,1,0,5,24145,4321808,8.4,8,5,3,0.0,0.0,0.0,,,,,,,,,,,,0.0,0.0,331.33,0.0,207.08,207.08,124.25
2020-06-05,RS,Três de Maio,1,0,5,24145,4321808,8.4,8,5,3,0.0,0.0,0.0,,,,,,,,,,,,0.0,0.0,331.33,0.0,207.08,207.08,124.25
2020-06-06,RS,Três de Maio,1,0,5,24145,4321808,8.4,8,5,3,0.0,0.0,0.0,,,,,,,,,,,,0.0,0.0,331.33,0.0,207.08,207.08,124.25
2020-06-07,RS,Três de Maio,1,0,5,24145,4321808,8.4,8,5,3,0.0,0.0,0.0,,,,,,,,,,,,0.0,0.0,331.33,0.0,207.08,207.08,124.25
2020-06-08,RS,Três de Maio,1,0,5,24145,4321808,8.4,8,5,3,0.0,0.0,0.0,,,,,,,,,,,,0.0,0.0,331.33,0.0,207.08,207.08,124.25
2020-06-09,RS,Três de Maio,1,0,5,24145,4321808,8.4,8,5,3,0.143,1.29,1.0,,,,,,,,,,,,0.0,0.0,331.33,0.0,207.08,207.08,124.25
2020-06-10,RS,Três de Maio,1,0,5,24145,4321808,8.4,8,5,3,0.286,2.43,1.71,,,,,,,,,,,,0.0,0.0,331.33,0.0,207.08,207.08,124.25
2020-06-11,RS,Três de Maio,1,0,5,24145,4321808,8.4,8,5,3,0.286,2.43,1.86,,,,,,,,,,,,0.0,0.0,331.33,0.0,207.08,207.08,124.25
2020-06-12,RS,Três de Maio,2,0,12,24145,4321808,8.4,17,12,5,0.286,2.43,1.86,,,,0.714,0.514,,,,,,,0.0,0.0,704.08,0.0,497.0,497.0,207.08
