Date,State,City,Confirmed,Deaths,Recovered,Order For Place,Estimated Population,City Ibge Code,Infected Per Confirmed,Infected,Closed,Active,Diff Confirmed,Diff Infected,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Infected,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Infected,Diff4 Infected,Diff5 Infected,μ closed,Infected Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi
2020-06-14,PR,Turvo,1,0,5,1,13347,4127965,6.8,7,5,2,,,,,,,,,,,,,,,0.0,524.46,0.0,374.62,374.62,149.85
2020-06-15,PR,Turvo,1,0,5,2,13347,4127965,6.8,7,5,2,,,,,,,,,,,,,,,0.0,524.46,0.0,374.62,374.62,149.85
2020-06-16,PR,Turvo,1,0,5,3,13347,4127965,6.8,7,5,2,,,,,,,,,,,,,,,0.0,524.46,0.0,374.62,374.62,149.85
2020-06-17,PR,Turvo,1,0,5,4,13347,4127965,6.8,7,5,2,,,,,,,,,,,,,,,0.0,524.46,0.0,374.62,374.62,149.85
2020-06-18,PR,Turvo,1,0,5,5,13347,4127965,6.8,7,5,2,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,524.46,0.0,374.62,374.62,149.85
2020-06-19,PR,Turvo,1,0,5,6,13347,4127965,6.8,7,5,2,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,524.46,0.0,374.62,374.62,149.85
2020-06-20,PR,Turvo,1,0,5,7,13347,4127965,6.8,7,5,2,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,524.46,0.0,374.62,374.62,149.85
2020-06-21,PR,Turvo,1,0,5,8,13347,4127965,6.8,7,5,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,524.46,0.0,374.62,374.62,149.85
2020-06-22,PR,Turvo,1,0,5,9,13347,4127965,6.8,7,5,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,524.46,0.0,374.62,374.62,149.85
2020-06-23,PR,Turvo,1,0,5,10,13347,4127965,6.8,7,5,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,524.46,0.0,374.62,374.62,149.85
2020-06-24,PR,Turvo,1,0,5,11,13347,4127965,6.8,7,5,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,524.46,0.0,374.62,374.62,149.85
2020-06-25,PR,Turvo,1,0,5,12,13347,4127965,6.8,7,5,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,524.46,0.0,374.62,374.62,149.85
2020-06-26,PR,Turvo,1,0,5,13,13347,4127965,6.8,7,5,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,524.46,0.0,374.62,374.62,149.85
2020-06-27,PR,Turvo,1,0,5,14,13347,4127965,6.8,7,5,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,524.46,0.0,374.62,374.62,149.85
2020-06-28,PR,Turvo,1,0,5,15,13347,4127965,6.8,7,5,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,,0.0,524.46,0.0,374.62,374.62,149.85
2020-06-29,PR,Turvo,1,0,5,16,13347,4127965,6.8,7,5,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,,0.0,524.46,0.0,374.62,374.62,149.85
2020-06-30,PR,Turvo,1,0,5,17,13347,4127965,6.8,7,5,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.008,0.0016,0.0,524.46,0.0,374.62,374.62,149.85
2020-07-01,PR,Turvo,1,0,5,18,13347,4127965,6.8,7,5,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.008,-0.0048,0.0,524.46,0.0,374.62,374.62,149.85
