Date,State,City,Confirmed,Deaths,Recovered,Order For Place,Estimated Population,City Ibge Code,Infected Per Confirmed,Infected,Closed,Active,Diff Confirmed,Diff Infected,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Infected,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Infected,Diff4 Infected,Diff5 Infected,μ closed,Infected Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi
2020-06-05,BA,Uibaí,0,0,0,1,14026,2932408,6.8,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2020-06-06,BA,Uibaí,1,0,4,2,14026,2932408,6.8,7,4,3,,,,,,,,,,,,,,,0.0,499.07,0.0,285.18,285.18,213.89
2020-06-07,BA,Uibaí,1,0,5,3,14026,2932408,6.8,7,5,2,,,,,,,,,,,,,,,0.0,499.07,0.0,356.48,356.48,142.59
2020-06-09,BA,Uibaí,0,0,0,4,14026,2932408,6.8,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2020-06-10,BA,Uibaí,0,0,0,5,14026,2932408,6.8,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2020-06-11,BA,Uibaí,0,0,0,6,14026,2932408,6.8,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2020-06-12,BA,Uibaí,0,0,0,7,14026,2932408,6.8,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2020-06-13,BA,Uibaí,0,0,0,8,14026,2932408,6.8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2020-06-14,BA,Uibaí,0,0,0,9,14026,2932408,6.8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2020-06-15,BA,Uibaí,0,0,0,10,14026,2932408,6.8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2020-06-16,BA,Uibaí,0,0,0,11,14026,2932408,6.8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
2020-06-17,BA,Uibaí,0,0,0,12,14026,2932408,6.8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
2020-06-18,BA,Uibaí,0,0,0,13,14026,2932408,6.8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
2020-06-19,BA,Uibaí,0,0,0,14,14026,2932408,6.8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,,,,0.0,0.0,0.0,0.0,0.0
2020-06-20,BA,Uibaí,0,0,0,15,14026,2932408,6.8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.143,0.0,0.143,0.0571,0.114,,,,0.0,0.0,0.0,0.0,0.0
2020-06-21,BA,Uibaí,0,0,0,16,14026,2932408,6.8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.143,0.0,0.143,0.0571,0.154,,,,0.0,0.0,0.0,0.0,0.0
2020-06-22,BA,Uibaí,0,0,0,17,14026,2932408,6.8,0,0,0,0.143,1.0,0.714,0.0,0.714,0.286,0.571,0.4,0.0,0.4,0.171,0.154,0.0069,,,0.0,0.0,0.0,0.0,0.0
2020-06-23,BA,Uibaí,0,0,0,18,14026,2932408,6.8,0,0,0,0.143,1.0,0.714,0.0,0.714,0.286,0.771,0.571,0.0,0.571,0.2,0.0743,-0.0377,,,0.0,0.0,0.0,0.0,0.0
