Date,State,City,Confirmed,Deaths,Recovered,Order For Place,Estimated Population 2019,Estimated Population,City Ibge Code,Infected Per Confirmed,Infected,Closed,Active,Diff Confirmed,Diff Infected,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Infected,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Infected,Diff4 Infected,Diff5 Infected,μ closed,Infected Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi
2020-04-13,RS,Venâncio Aires,1,0,3,1,71554,72693,4322608,6.8,7,3,4,,,,,,,,,,,,,,,0.0,96.3,0.0,41.27,41.27,55.03
2020-04-14,RS,Venâncio Aires,1,0,3,2,71554,72693,4322608,6.8,7,3,4,,,,,,,,,,,,,,,0.0,96.3,0.0,41.27,41.27,55.03
2020-04-15,RS,Venâncio Aires,1,0,3,3,71554,72693,4322608,6.8,7,3,4,,,,,,,,,,,,,,,0.0,96.3,0.0,41.27,41.27,55.03
2020-04-16,RS,Venâncio Aires,1,0,3,4,71554,72693,4322608,6.8,7,3,4,,,,,,,,,,,,,,,0.0,96.3,0.0,41.27,41.27,55.03
2020-04-17,RS,Venâncio Aires,1,0,3,5,71554,72693,4322608,6.8,7,3,4,0.286,1.86,1.0,0.0,1.0,0.857,,,,,,,,,0.0,96.3,0.0,41.27,41.27,55.03
2020-04-18,RS,Venâncio Aires,3,0,10,6,71554,72693,4322608,6.8,20,10,10,0.286,1.86,1.14,0.0,1.14,0.714,,,,,,,,,0.0,275.13,0.0,137.56,137.56,137.56
2020-04-19,RS,Venâncio Aires,3,0,10,7,71554,72693,4322608,6.8,20,10,10,0.286,1.86,1.14,0.0,1.14,0.714,,,,,,,,,0.0,275.13,0.0,137.56,137.56,137.56
2020-04-20,RS,Venâncio Aires,3,0,10,8,71554,72693,4322608,6.8,20,10,10,0.286,1.86,1.14,0.0,1.14,0.714,0.229,0.114,0.0286,0.143,0.0857,,,,0.0,275.13,0.0,137.56,137.56,137.56
2020-04-21,RS,Venâncio Aires,3,0,11,9,71554,72693,4322608,6.8,20,11,9,0.429,2.86,1.57,0.143,1.71,1.14,0.229,0.114,0.0571,0.171,0.0571,,,,0.0,275.13,0.0,151.32,151.32,123.81
2020-04-22,RS,Venâncio Aires,3,0,11,10,71554,72693,4322608,6.8,20,11,9,0.429,3.0,1.57,0.143,1.71,1.29,1.2,0.629,0.0571,0.686,0.514,,,,0.0,275.13,0.0,151.32,151.32,123.81
2020-04-23,RS,Venâncio Aires,3,0,11,11,71554,72693,4322608,6.8,20,11,9,0.429,3.0,1.71,0.286,2.0,1.0,1.4,0.686,0.0571,0.743,0.657,0.343,,,0.0,275.13,0.0,151.32,151.32,123.81
2020-04-24,RS,Venâncio Aires,4,1,14,12,71554,72693,4322608,6.8,27,15,12,1.14,7.86,4.29,0.286,4.57,3.29,1.77,0.886,0.0571,0.943,0.829,0.303,,,0.0667,371.43,13.76,192.59,206.35,165.08
2020-04-25,RS,Venâncio Aires,6,1,21,13,71554,72693,4322608,6.8,41,22,19,1.29,8.86,4.57,0.286,4.86,4.0,1.94,0.971,0.0571,1.03,0.914,-0.1657,,,0.0455,564.02,13.76,288.89,302.64,261.37
2020-04-26,RS,Venâncio Aires,6,2,22,14,71554,72693,4322608,6.8,41,24,17,1.71,11.71,6.0,0.429,6.43,5.29,1.74,0.886,0.0,0.886,0.857,-0.2057,-0.1703,,0.0833,564.02,27.51,302.64,330.16,233.86
2020-04-27,RS,Venâncio Aires,11,2,40,15,71554,72693,4322608,6.8,75,42,33,1.86,12.71,6.43,0.429,6.86,5.86,0.371,0.229,0.0,0.229,0.143,-0.5886,-0.1691,,0.0476,1031.74,27.51,550.26,577.77,453.96
2020-04-28,RS,Venâncio Aires,12,2,43,16,71554,72693,4322608,6.8,82,45,37,1.71,11.71,6.14,0.286,6.43,5.29,0.371,0.286,-0.0286,0.257,0.114,-0.5086,-0.0126,,0.0444,1128.03,27.51,591.53,619.04,508.99
2020-04-29,RS,Venâncio Aires,15,3,53,17,71554,72693,4322608,6.8,102,56,46,1.43,9.71,5.43,0.286,5.71,4.0,-1.1714,-0.5143,-0.0571,-0.5714,-0.6,-0.5429,0.0571,0.0683,0.0536,1403.16,41.27,729.09,770.36,632.8
2020-04-30,RS,Venâncio Aires,16,3,56,18,71554,72693,4322608,6.8,109,59,50,1.57,10.71,6.0,0.143,6.14,4.57,-0.6,-0.1143,-0.0571,-0.1714,-0.4286,-0.2286,0.249,0.102,0.0508,1499.46,41.27,770.36,811.63,687.82
2020-05-01,RS,Venâncio Aires,16,3,57,19,71554,72693,4322608,6.8,109,60,49,0.857,5.86,3.43,0.143,3.57,2.29,-0.9714,-0.4,-0.0571,-0.4571,-0.5143,0.08,0.171,0.0503,0.05,1499.46,41.27,784.12,825.39,674.07
2020-05-02,RS,Venâncio Aires,16,3,59,20,71554,72693,4322608,6.8,109,62,47,1.43,9.71,5.86,0.143,6.0,3.71,-0.7714,-0.3429,-0.0571,-0.4,-0.3714,0.657,0.341,-0.0023,0.0484,1499.46,41.27,811.63,852.9,646.55
2020-05-03,RS,Venâncio Aires,17,3,64,21,71554,72693,4322608,6.8,116,67,49,1.0,6.86,4.14,0.0,4.14,2.71,0.771,0.429,0.0,0.429,0.343,0.349,0.239,-0.0727,0.0448,1595.75,41.27,880.41,921.68,674.07
2020-05-04,RS,Venâncio Aires,17,3,64,22,71554,72693,4322608,6.8,116,67,49,0.857,5.86,3.71,0.0,3.71,2.14,2.11,1.11,0.0,1.11,1.0,1.16,0.0457,0.0018,0.0448,1595.75,41.27,880.41,921.68,674.07
2020-05-05,RS,Venâncio Aires,22,3,84,23,71554,72693,4322608,6.8,150,87,63,2.14,14.57,8.14,0.143,8.29,6.29,1.14,0.6,0.0,0.6,0.543,0.966,-0.1143,-0.1218,0.0345,2063.47,41.27,1155.54,1196.81,866.66
2020-05-06,RS,Venâncio Aires,22,3,82,24,71554,72693,4322608,6.8,150,85,65,2.43,16.43,9.0,0.143,9.14,7.29,4.83,2.83,0.0286,2.86,1.97,0.309,0.181,-0.0798,0.0353,2063.47,41.27,1128.03,1169.3,894.17
2020-05-07,RS,Venâncio Aires,22,3,82,25,71554,72693,4322608,6.8,150,85,65,2.29,15.43,8.86,0.143,9.0,6.43,4.06,2.4,0.0286,2.43,1.63,0.0857,-0.2686,-0.0258,0.0353,2063.47,41.27,1128.03,1169.3,894.17
2020-05-08,RS,Venâncio Aires,31,4,114,26,71554,72693,4322608,6.8,211,118,93,4.57,31.0,18.29,0.143,18.43,12.57,2.31,1.54,0.0,1.54,0.771,1.25,-0.16,0.0085,0.0339,2902.62,55.03,1568.24,1623.26,1279.35
2020-05-09,RS,Venâncio Aires,33,4,122,27,71554,72693,4322608,6.8,224,126,98,3.86,26.14,15.71,0.143,15.86,10.29,2.54,1.71,0.0,1.71,0.829,-0.1829,-0.0834,-0.125,0.0317,3081.45,55.03,1678.29,1733.32,1348.14
2020-05-10,RS,Venâncio Aires,33,4,126,28,71554,72693,4322608,6.8,224,130,94,3.86,26.14,15.86,0.143,16.0,10.14,7.4,4.34,-0.0286,4.31,3.09,0.166,-0.072,0.059,0.0308,3081.45,55.03,1733.32,1788.34,1293.11
2020-05-11,RS,Venâncio Aires,49,4,192,29,71554,72693,4322608,6.8,333,196,137,4.29,29.14,17.57,0.143,17.71,11.43,3.91,2.29,0.0,2.29,1.63,-0.1086,-0.4446,-0.0341,0.0204,4580.91,55.03,2641.24,2696.27,1884.64
2020-05-12,RS,Venâncio Aires,49,4,194,30,71554,72693,4322608,6.8,333,198,135,7.71,52.43,30.57,0.0,30.57,21.86,4.89,3.0,0.0286,3.03,1.86,-0.2743,0.0263,0.0254,0.0202,4580.91,55.03,2668.76,2723.78,1857.13
2020-05-13,RS,Venâncio Aires,49,4,193,31,71554,72693,4322608,6.8,333,197,136,7.43,50.57,29.71,0.143,29.86,20.71,1.77,1.09,0.0286,1.11,0.657,-0.9714,-0.3303,0.0345,0.0203,4580.91,55.03,2655.0,2710.03,1870.88
2020-05-14,RS,Venâncio Aires,52,4,205,32,71554,72693,4322608,6.8,354,209,145,7.43,50.57,30.71,0.286,31.0,19.57,1.17,0.657,0.0286,0.686,0.486,-0.0514,0.0434,0.0965,0.0191,4869.79,55.03,2820.08,2875.1,1994.69
2020-05-15,RS,Venâncio Aires,85,4,328,33,71554,72693,4322608,6.8,578,332,246,5.14,35.0,21.29,0.286,21.57,13.43,2.54,1.49,0.0571,1.54,1.0,-1.4857,0.101,-0.0338,0.012,7951.25,55.03,4512.13,4567.15,3384.09
2020-05-16,RS,Venâncio Aires,85,5,330,34,71554,72693,4322608,6.8,578,335,243,5.14,35.0,20.86,0.286,21.14,13.86,3.66,2.09,0.0286,2.11,1.54,0.109,0.0377,0.154,0.0149,7951.25,68.78,4539.64,4608.42,3342.83
2020-05-17,RS,Venâncio Aires,85,6,341,35,71554,72693,4322608,6.8,578,347,231,9.57,65.14,38.0,0.286,38.29,26.86,-2.5429,-1.5714,0.0,-1.5714,-0.9714,0.229,-0.1429,-0.0267,0.0173,7951.25,82.54,4690.96,4773.5,3177.75
2020-05-18,RS,Venâncio Aires,85,6,341,36,71554,72693,4322608,6.8,578,347,231,10.14,68.86,40.14,0.286,40.43,28.43,2.31,1.49,-0.0286,1.46,0.857,-0.7829,0.438,-0.0414,0.0173,7951.25,82.54,4690.96,4773.5,3177.75
2020-05-19,RS,Venâncio Aires,85,6,340,37,71554,72693,4322608,6.8,578,346,232,5.57,37.86,22.86,0.286,23.14,14.71,2.31,1.49,-0.0571,1.43,0.886,-0.7657,-0.0903,0.013,0.0173,7951.25,82.54,4677.2,4759.74,3191.5
2020-05-20,RS,Venâncio Aires,116,6,459,38,71554,72693,4322608,6.8,789,465,324,6.86,46.57,28.71,0.143,28.86,17.71,-1.3714,-0.0857,-0.0571,-0.1429,-1.2286,0.703,-0.1063,0.0265,0.0129,10853.86,82.54,6314.23,6396.76,4457.1
2020-05-21,RS,Venâncio Aires,123,6,486,39,71554,72693,4322608,6.8,836,492,344,6.86,46.57,28.29,0.0,28.29,18.29,-0.1714,0.914,-0.0286,0.886,-1.0571,-0.3429,0.103,-0.1312,0.0122,11500.42,82.54,6685.65,6768.19,4732.23
2020-05-22,RS,Venâncio Aires,124,6,488,40,71554,72693,4322608,6.8,843,494,349,8.57,58.29,37.57,0.0,37.57,20.71,0.971,1.6,-0.0286,1.57,-0.6,-0.3029,-0.0103,-0.0025,0.0121,11596.71,82.54,6713.16,6795.7,4801.01
2020-05-23,RS,Venâncio Aires,133,6,531,41,71554,72693,4322608,6.8,904,537,367,10.0,68.0,44.71,0.143,44.86,23.14,0.6,1.11,0.0,1.11,-0.5143,-0.2686,-0.2183,-0.0041,0.0112,12435.86,82.54,7304.69,7387.23,5048.63
2020-05-24,RS,Venâncio Aires,133,6,539,42,71554,72693,4322608,6.8,904,545,359,6.29,42.71,30.86,0.143,31.0,11.71,0.8,1.29,0.0286,1.31,-0.5143,-0.8171,-0.1029,-0.0286,0.011,12435.86,82.54,7414.74,7497.28,4938.58
2020-05-25,RS,Venâncio Aires,145,6,604,43,71554,72693,4322608,6.8,986,610,376,7.29,49.57,34.29,0.143,34.43,15.14,-2.7143,-1.7714,0.0286,-1.7429,-0.9714,-0.3886,-0.1269,0.0235,0.0098,13563.89,82.54,8308.92,8391.45,5172.44
2020-05-26,RS,Venâncio Aires,155,7,653,44,71554,72693,4322608,6.8,1054,660,394,7.43,50.57,34.71,0.143,34.86,15.71,-4.2571,-2.6571,0.0,-2.6571,-1.6,-0.8571,-0.04,0.0391,0.0106,14499.33,96.3,8982.98,9079.28,5420.05
2020-05-27,RS,Venâncio Aires,160,7,675,45,71554,72693,4322608,6.8,1088,682,406,6.57,44.71,28.71,0.143,28.86,15.86,-0.9714,-0.6857,0.0,-0.6857,-0.2857,-0.9371,0.107,0.064,0.0103,14967.05,96.3,9285.63,9381.92,5585.13
2020-05-28,RS,Venâncio Aires,174,7,726,46,71554,72693,4322608,6.8,1183,733,450,6.86,46.71,31.43,0.143,31.57,15.14,-3.6857,-2.4857,-0.0286,-2.5143,-1.1714,-0.4686,-0.0229,0.069,0.0095,16273.92,96.3,9987.21,10083.5,6190.42
2020-05-29,RS,Venâncio Aires,176,7,731,47,71554,72693,4322608,6.8,1197,738,459,5.57,37.86,27.43,0.143,27.57,10.29,-3.8857,-2.6,-0.0286,-2.6286,-1.2571,-0.28,0.217,0.0686,0.0095,16466.51,96.3,10055.99,10152.28,6314.23
2020-05-30,RS,Venâncio Aires,179,7,732,48,71554,72693,4322608,6.8,1217,739,478,4.57,31.14,21.86,0.0,21.86,9.29,-5.0571,-2.6857,-0.0286,-2.7143,-2.3429,-0.5029,0.218,0.0318,0.0095,16741.64,96.3,10069.75,10166.04,6575.6
2020-05-31,RS,Venâncio Aires,181,7,759,49,71554,72693,4322608,6.8,1231,766,465,4.57,31.14,21.71,0.0,21.71,9.43,-5.6571,-3.2,-0.0286,-3.2286,-2.4286,0.229,0.303,0.0432,0.0091,16934.23,96.3,10441.17,10537.47,6396.76
2020-06-01,RS,Venâncio Aires,184,7,796,50,71554,72693,4322608,6.8,1251,803,448,2.86,19.43,15.29,0.0,15.29,4.14,-3.4857,-1.6,-0.0286,-1.6286,-1.8571,0.154,0.266,-0.04,0.0087,17209.36,96.3,10950.16,11046.46,6162.9
2020-06-02,RS,Venâncio Aires,187,7,806,51,71554,72693,4322608,6.8,1272,813,459,2.71,18.43,15.43,0.0,15.43,3.0,-2.5429,-0.7143,0.0,-0.7143,-1.8286,1.05,0.193,-0.0327,0.0086,17498.25,96.3,11087.73,11184.02,6314.23
2020-06-03,RS,Venâncio Aires,192,7,827,52,71554,72693,4322608,6.8,1306,834,472,3.0,20.43,19.43,0.0,19.43,1.0,-3.1143,-1.1429,0.0,-1.1429,-1.9714,1.05,0.0171,-0.1191,0.0084,17965.97,96.3,11376.61,11472.91,6493.06
2020-06-04,RS,Venâncio Aires,194,7,833,53,71554,72693,4322608,6.8,1319,840,479,2.71,18.43,18.29,0.0,18.29,0.143,0.171,0.857,0.0,0.857,-0.6857,0.463,0.0549,-0.0983,0.0083,18144.8,96.3,11459.15,11555.45,6589.36
2020-06-05,RS,Venâncio Aires,195,7,839,54,71554,72693,4322608,6.8,1326,846,480,2.29,15.57,16.0,0.0,16.0,-0.4286,-0.4,0.343,0.0,0.343,-0.7429,0.314,-0.2926,-0.0491,0.0083,18241.1,96.3,11541.69,11637.98,6603.11
