date,state,city,confirmed,deaths,recovered,estimated_population,city_ibge_code,infected_per_confirmed,infected,closed,active,diff_infected,diff_recovered,diff_deaths,diff_closed,diff_active,diff2_infected,diff2_recovered,diff2_deaths,diff2_closed,diff2_active,diff3_infected,diff4_infected,diff5_infected,μ_closed,μ_infected,infected_per_1mi,deaths_per_1mi,recovered_per_1mi,closed_per_1mi,active_per_1mi
2020-04-30,SP,Anhembi,2,0,8,6791,3502309,7.3,15,8,7,,,,,,,,,,,,,,0.0,0.0,2208.805772345752,0.0,1178.0297452510677,1178.0297452510677,1030.7760270946842
2020-05-01,SP,Anhembi,3,0,12,6791,3502309,7.3,22,12,10,,,,,,,,,,,,,,0.0,0.0,3239.581799440436,0.0,1767.0446178766015,1767.0446178766015,1472.5371815638346
2020-05-02,SP,Anhembi,3,0,12,6791,3502309,7.3,22,12,10,,,,,,,,,,,,,,0.0,0.0,3239.581799440436,0.0,1767.0446178766015,1767.0446178766015,1472.5371815638346
2020-05-03,SP,Anhembi,3,0,12,6791,3502309,7.3,22,12,10,1.1666666666666667,0.6666666666666666,,,,,,,,,,,,0.0,0.0,3239.581799440436,0.0,1767.0446178766015,1767.0446178766015,1472.5371815638346
2020-05-04,SP,Anhembi,3,0,12,6791,3502309,7.3,22,12,10,0.0,0.0,,,,,,,,,,,,0.0,0.0,3239.581799440436,0.0,1767.0446178766015,1767.0446178766015,1472.5371815638346
2020-05-05,SP,Anhembi,3,0,12,6791,3502309,7.3,22,12,10,0.0,0.0,,,,,,,,,,,,0.0,0.0,3239.581799440436,0.0,1767.0446178766015,1767.0446178766015,1472.5371815638346
2020-05-06,SP,Anhembi,3,0,12,6791,3502309,7.3,22,12,10,0.0,0.0,,,,-0.3888888888888889,-0.19444444444444442,,,,,,,0.0,0.0,3239.581799440436,0.0,1767.0446178766015,1767.0446178766015,1472.5371815638346
2020-05-07,SP,Anhembi,3,0,12,6791,3502309,7.3,22,12,10,0.0,0.0,,,,,,,,,,,,0.0,0.0,3239.581799440436,0.0,1767.0446178766015,1767.0446178766015,1472.5371815638346
2020-05-08,SP,Anhembi,3,0,12,6791,3502309,7.3,22,12,10,0.0,0.16666666666666666,,,,,,,,,,,,0.0,0.0,3239.581799440436,0.0,1767.0446178766015,1767.0446178766015,1472.5371815638346
2020-05-09,SP,Anhembi,3,0,12,6791,3502309,7.3,22,12,10,-1.1666666666666667,-0.5,,,,,,,,,,,,0.0,0.0,3239.581799440436,0.0,1767.0446178766015,1767.0446178766015,1472.5371815638346
