date,state,city,confirmed,deaths,recovered,estimated_population,city_ibge_code,infected_per_confirmed,infected,closed,active,diff_infected,diff_recovered,diff_deaths,diff_closed,diff_active,diff2_infected,diff2_recovered,diff2_deaths,diff2_closed,diff2_active,diff3_infected,diff4_infected,diff5_infected,μ_closed,μ_infected,infected_per_1mi,deaths_per_1mi,recovered_per_1mi,closed_per_1mi,active_per_1mi
2020-05-26,PI,Curral Novo do Piauí,1,0,22,5396,2203271,36.0,36,22,14,,,,,,,,,,,,,,0.0,0.0,6671.608598962194,0.0,4077.09414381023,4077.09414381023,2594.5144551519643
2020-05-27,PI,Curral Novo do Piauí,1,0,22,5396,2203271,36.0,36,22,14,,,,,,,,,,,,,,0.0,0.0,6671.608598962194,0.0,4077.09414381023,4077.09414381023,2594.5144551519643
2020-05-28,PI,Curral Novo do Piauí,1,0,22,5396,2203271,36.0,36,22,14,,,,,,,,,,,,,,0.0,0.0,6671.608598962194,0.0,4077.09414381023,4077.09414381023,2594.5144551519643
2020-05-29,PI,Curral Novo do Piauí,1,0,22,5396,2203271,36.0,36,22,14,0.0,0.16666666666666666,,,,,,,,,,,,0.0,0.0,6671.608598962194,0.0,4077.09414381023,4077.09414381023,2594.5144551519643
2020-05-30,PI,Curral Novo do Piauí,1,0,22,5396,2203271,36.0,36,22,14,0.0,0.16666666666666666,,,,,,,,,,,,0.0,0.0,6671.608598962194,0.0,4077.09414381023,4077.09414381023,2594.5144551519643
2020-05-31,PI,Curral Novo do Piauí,1,0,22,5396,2203271,36.0,36,22,14,0.0,0.16666666666666666,,,,,,,,,,,,0.0,0.0,6671.608598962194,0.0,4077.09414381023,4077.09414381023,2594.5144551519643
2020-06-01,PI,Curral Novo do Piauí,1,0,23,5396,2203271,36.0,36,23,13,0.0,0.16666666666666666,,,,,0.0,,,,,,,0.0,0.0,6671.608598962194,0.0,4262.416604892513,4262.416604892513,2409.191994069681
2020-06-02,PI,Curral Novo do Piauí,1,0,23,5396,2203271,36.0,36,23,13,0.0,0.16666666666666666,,,,,0.0,,,,,,,0.0,0.0,6671.608598962194,0.0,4262.416604892513,4262.416604892513,2409.191994069681
2020-06-03,PI,Curral Novo do Piauí,1,0,23,5396,2203271,36.0,36,23,13,0.0,0.16666666666666666,,,,,0.0,,,,,,,0.0,0.0,6671.608598962194,0.0,4262.416604892513,4262.416604892513,2409.191994069681
2020-06-04,PI,Curral Novo do Piauí,1,0,23,5396,2203271,36.0,36,23,13,0.0,0.16666666666666666,,,,,0.0,,,,,,,0.0,0.0,6671.608598962194,0.0,4262.416604892513,4262.416604892513,2409.191994069681
2020-06-05,PI,Curral Novo do Piauí,1,0,23,5396,2203271,36.0,36,23,13,0.0,0.16666666666666666,,,,,0.0,,,,,,,0.0,0.0,6671.608598962194,0.0,4262.416604892513,4262.416604892513,2409.191994069681
2020-06-06,PI,Curral Novo do Piauí,1,0,23,5396,2203271,36.0,36,23,13,0.0,0.16666666666666666,,,,,0.0,,,,,,,0.0,0.0,6671.608598962194,0.0,4262.416604892513,4262.416604892513,2409.191994069681
2020-06-07,PI,Curral Novo do Piauí,1,0,24,5396,2203271,36.0,36,24,12,0.0,0.16666666666666666,,,,,0.0,,,,,,,0.0,0.0,6671.608598962194,0.0,4447.739065974796,4447.739065974796,2223.869532987398
2020-06-08,PI,Curral Novo do Piauí,1,0,24,5396,2203271,36.0,36,24,12,0.0,0.16666666666666666,,,,,0.0,,,,,,,0.0,0.0,6671.608598962194,0.0,4447.739065974796,4447.739065974796,2223.869532987398
2020-06-09,PI,Curral Novo do Piauí,1,0,24,5396,2203271,36.0,36,24,12,0.0,0.16666666666666666,,,,,0.027777777777777776,,,,,,,0.0,0.0,6671.608598962194,0.0,4447.739065974796,4447.739065974796,2223.869532987398
2020-06-10,PI,Curral Novo do Piauí,1,0,24,5396,2203271,36.0,36,24,12,0.0,0.16666666666666666,,,,,0.7222222222222222,,,,,,,0.0,0.0,6671.608598962194,0.0,4447.739065974796,4447.739065974796,2223.869532987398
2020-06-11,PI,Curral Novo do Piauí,1,0,24,5396,2203271,36.0,36,24,12,0.0,0.16666666666666666,,,,,0.7222222222222222,,,,,,,0.0,0.0,6671.608598962194,0.0,4447.739065974796,4447.739065974796,2223.869532987398
2020-06-12,PI,Curral Novo do Piauí,1,0,24,5396,2203271,36.0,36,24,12,0.0,0.3333333333333333,,,,,0.75,,,,,,,0.0,0.0,6671.608598962194,0.0,4447.739065974796,4447.739065974796,2223.869532987398
2020-06-13,PI,Curral Novo do Piauí,1,0,25,5396,2203271,36.0,36,25,11,6.0,4.5,,,,,0.6944444444444443,,,,,,,0.0,0.0,6671.608598962194,0.0,4633.06152705708,4633.06152705708,2038.547071905115
2020-06-14,PI,Curral Novo do Piauí,1,0,25,5396,2203271,36.0,36,25,11,6.0,4.5,,,,,0.6944444444444443,,,,,,,0.0,0.0,6671.608598962194,0.0,4633.06152705708,4633.06152705708,2038.547071905115
2020-06-15,PI,Curral Novo do Piauí,1,0,26,5396,2203271,36.0,36,26,10,6.0,4.666666666666667,,,,,0.6666666666666666,,,,,,,0.0,0.0,6671.608598962194,0.0,4818.383988139362,4818.383988139362,1853.2246108228317
2020-06-16,PI,Curral Novo do Piauí,2,0,51,5396,2203271,36.0,72,51,21,6.0,4.333333333333333,,,,-1.0,-0.6944444444444445,,,,,,,0.0,0.0,13343.217197924389,0.0,9451.445515196441,9451.445515196441,3891.7716827279464
2020-06-17,PI,Curral Novo do Piauí,2,0,51,5396,2203271,36.0,72,51,21,6.0,4.333333333333333,,,,-1.0,-0.7222222222222222,,,,,,,0.0,0.0,13343.217197924389,0.0,9451.445515196441,9451.445515196441,3891.7716827279464
2020-06-18,PI,Curral Novo do Piauí,2,0,52,5396,2203271,36.0,72,52,20,6.0,4.333333333333333,,,,-1.0,-0.7777777777777778,,,,,,,0.0,0.0,13343.217197924389,0.0,9636.767976278725,9636.767976278725,3706.4492216456633
2020-06-19,PI,Curral Novo do Piauí,2,0,51,5396,2203271,36.0,72,51,21,0.0,0.3333333333333333,,,,-1.0,-0.6944444444444443,,,,,,,0.0,0.0,13343.217197924389,0.0,9451.445515196441,9451.445515196441,3891.7716827279464
2020-06-20,PI,Curral Novo do Piauí,2,0,51,5396,2203271,36.0,72,51,21,0.0,0.16666666666666666,,,,-1.0,-0.6944444444444443,,,,,,,0.0,0.0,13343.217197924389,0.0,9451.445515196441,9451.445515196441,3891.7716827279464
2020-06-21,PI,Curral Novo do Piauí,2,0,52,5396,2203271,36.0,72,52,20,0.0,0.0,,,,-1.0,-0.7222222222222222,,,,,,,0.0,0.0,13343.217197924389,0.0,9636.767976278725,9636.767976278725,3706.4492216456633
2020-06-22,PI,Curral Novo do Piauí,2,0,53,5396,2203271,36.0,72,53,19,0.0,0.16666666666666666,,,,,-0.05555555555555555,,,,,,,0.0,0.0,13343.217197924389,0.0,9822.090437361008,9822.090437361008,3521.1267605633802
2020-06-23,PI,Curral Novo do Piauí,2,0,52,5396,2203271,36.0,72,52,20,0.0,0.16666666666666666,,,,,,,,,,,,0.0,0.0,13343.217197924389,0.0,9636.767976278725,9636.767976278725,3706.4492216456633
2020-06-24,PI,Curral Novo do Piauí,2,0,52,5396,2203271,36.0,72,52,20,0.0,0.0,,,,,,,,,,,,0.0,0.0,13343.217197924389,0.0,9636.767976278725,9636.767976278725,3706.4492216456633
2020-06-25,PI,Curral Novo do Piauí,2,0,52,5396,2203271,36.0,72,52,20,0.0,0.0,,,,,,,,,,,,0.0,0.0,13343.217197924389,0.0,9636.767976278725,9636.767976278725,3706.4492216456633
2020-06-26,PI,Curral Novo do Piauí,2,0,52,5396,2203271,36.0,72,52,20,,,,,,,,,,,,,,0.0,0.0,13343.217197924389,0.0,9636.767976278725,9636.767976278725,3706.4492216456633
2020-06-27,PI,Curral Novo do Piauí,2,0,52,5396,2203271,36.0,72,52,20,,,,,,,,,,,,,,0.0,0.0,13343.217197924389,0.0,9636.767976278725,9636.767976278725,3706.4492216456633
2020-06-28,PI,Curral Novo do Piauí,2,0,53,5396,2203271,36.0,72,53,19,,,,,,,,,,,,,,0.0,0.0,13343.217197924389,0.0,9822.090437361008,9822.090437361008,3521.1267605633802
