date,state,city,confirmed,deaths,recovered,estimated_population,city_ibge_code,infected_per_confirmed,infected,closed,active,diff_infected,diff_recovered,diff_deaths,diff_closed,diff_active,diff2_infected,diff2_recovered,diff2_deaths,diff2_closed,diff2_active,diff3_infected,diff4_infected,diff5_infected,μ_closed,μ_infected,infected_per_1mi,deaths_per_1mi,recovered_per_1mi,closed_per_1mi,active_per_1mi
2020-04-30,CE,Ibiapina,1,0,10,25247,2305308,19.3,19,10,9,,,,,,,,,,,,,,0.0,0.0,752.5646611478592,0.0,396.08666376203115,396.08666376203115,356.477997385828
2020-05-01,CE,Ibiapina,1,0,10,25247,2305308,19.3,19,10,9,,,,,,,,,,,,,,0.0,0.0,752.5646611478592,0.0,396.08666376203115,396.08666376203115,356.477997385828
2020-05-02,CE,Ibiapina,1,0,10,25247,2305308,19.3,19,10,9,,,,,,,,,,,,,,0.0,0.0,752.5646611478592,0.0,396.08666376203115,396.08666376203115,356.477997385828
2020-05-03,CE,Ibiapina,1,0,11,25247,2305308,19.3,19,11,8,0.0,0.0,,,,,,,,,,,,0.0,0.0,752.5646611478592,0.0,435.6953301382342,435.6953301382342,316.8693310096249
2020-05-04,CE,Ibiapina,1,0,11,25247,2305308,19.3,19,11,8,3.3333333333333335,1.8333333333333333,,,,,,,,,,,,0.0,0.0,752.5646611478592,0.0,435.6953301382342,435.6953301382342,316.8693310096249
2020-05-05,CE,Ibiapina,1,0,11,25247,2305308,19.3,19,11,8,3.3333333333333335,1.8333333333333333,,,,,,,,,,,,0.0,0.0,752.5646611478592,0.0,435.6953301382342,435.6953301382342,316.8693310096249
2020-05-06,CE,Ibiapina,1,0,10,25247,2305308,19.3,19,10,9,3.3333333333333335,1.6666666666666667,,,,,,,,,,,,0.0,0.0,752.5646611478592,0.0,396.08666376203115,396.08666376203115,356.477997385828
2020-05-07,CE,Ibiapina,2,0,21,25247,2305308,19.3,39,21,18,0.0,0.0,,,,2.111111111111111,1.3055555555555556,,,,,,,0.0,0.0,1544.7379886719214,0.0,831.7819939002654,831.7819939002654,712.955994771656
2020-05-08,CE,Ibiapina,2,0,21,25247,2305308,19.3,39,21,18,16.166666666666668,9.333333333333334,,,,4.805555555555555,2.861111111111111,,,,,,,0.0,0.0,1544.7379886719214,0.0,831.7819939002654,831.7819939002654,712.955994771656
2020-05-09,CE,Ibiapina,2,0,21,25247,2305308,19.3,39,21,18,16.166666666666668,9.666666666666666,,,,6.944444444444444,4.027777777777778,,,,0.13888888888888873,,,0.0,0.0,1544.7379886719214,0.0,831.7819939002654,831.7819939002654,712.955994771656
2020-05-10,CE,Ibiapina,1,0,11,25247,2305308,19.3,19,11,8,16.0,9.666666666666666,,,,,,,,,-0.5347222222222223,,,0.0,0.0,752.5646611478592,0.0,435.6953301382342,435.6953301382342,316.8693310096249
2020-05-11,CE,Ibiapina,6,0,67,25247,2305308,19.3,116,67,49,32.166666666666664,19.0,,,,2.666666666666666,1.6666666666666663,,,,-1.3263888888888888,-0.7031249999999999,,0.0,0.0,4594.605299639561,0.0,2653.7806472056086,2653.7806472056086,1940.8246524339525
