date,state,city,confirmed,deaths,recovered,estimated_population,city_ibge_code,infected_per_confirmed,infected,closed,active,diff_infected,diff_recovered,diff_deaths,diff_closed,diff_active,diff2_infected,diff2_recovered,diff2_deaths,diff2_closed,diff2_active,diff3_infected,diff4_infected,diff5_infected,μ_closed,μ_infected,infected_per_1mi,deaths_per_1mi,recovered_per_1mi,closed_per_1mi,active_per_1mi
2020-06-10,MG,Martins Soares,1,0,11,8501,3140530,16.5,16,11,5,,,,,,,,,,,,,,0.0,0.0,1882.1315139395365,0.0,1293.9654158334313,1293.9654158334313,588.1660981061052
2020-06-11,MG,Martins Soares,1,0,11,8501,3140530,16.5,16,11,5,,,,,,,,,,,,,,0.0,0.0,1882.1315139395365,0.0,1293.9654158334313,1293.9654158334313,588.1660981061052
2020-06-12,MG,Martins Soares,1,0,11,8501,3140530,16.5,16,11,5,,,,,,,,,,,,,,0.0,0.0,1882.1315139395365,0.0,1293.9654158334313,1293.9654158334313,588.1660981061052
2020-06-13,MG,Martins Soares,1,0,11,8501,3140530,16.5,16,11,5,16.666666666666668,11.833333333333334,,,,,,,,,,,,0.0,0.0,1882.1315139395365,0.0,1293.9654158334313,1293.9654158334313,588.1660981061052
2020-06-14,MG,Martins Soares,5,0,58,8501,3140530,16.5,82,58,24,16.666666666666668,11.833333333333334,,,,,,,,,,,,0.0,0.0,9645.924008940125,0.0,6822.72673803082,6822.72673803082,2823.1972709093047
2020-06-15,MG,Martins Soares,5,0,58,8501,3140530,16.5,82,58,24,16.666666666666668,12.0,,,,,,,,,,,,0.0,0.0,9645.924008940125,0.0,6822.72673803082,6822.72673803082,2823.1972709093047
2020-06-16,MG,Martins Soares,7,0,82,8501,3140530,16.5,116,82,34,16.666666666666668,11.833333333333334,,,,2.25,1.7777777777777777,,,,,,,0.0,0.0,13645.45347606164,0.0,9645.924008940125,9645.924008940125,3999.529467121515
2020-06-17,MG,Martins Soares,7,0,82,8501,3140530,16.5,116,82,34,27.666666666666668,19.5,,,,2.25,1.7777777777777777,,,,,,,0.0,0.0,13645.45347606164,0.0,9645.924008940125,9645.924008940125,3999.529467121515
2020-06-18,MG,Martins Soares,7,0,83,8501,3140530,16.5,116,83,33,27.666666666666668,20.166666666666668,,,,,,,,,,,,0.0,0.0,13645.45347606164,0.0,9763.557228561345,9763.557228561345,3881.896247500294
2020-06-19,MG,Martins Soares,7,0,82,8501,3140530,16.5,116,82,34,30.166666666666668,22.5,,,,,,,,,,,,0.0,0.0,13645.45347606164,0.0,9645.924008940125,9645.924008940125,3999.529467121515
2020-06-20,MG,Martins Soares,15,0,175,8501,3140530,16.5,248,175,73,30.166666666666668,22.5,,,,,,,,,,,,0.0,0.0,29173.038466062815,0.0,20585.81343371368,20585.81343371368,8587.225032349135
2020-06-21,MG,Martins Soares,15,0,179,8501,3140530,16.5,248,179,69,,,,,,,,,,,,,,0.0,0.0,29173.038466062815,0.0,21056.346312198566,21056.346312198566,8116.692153864251
2020-06-22,MG,Martins Soares,18,0,217,8501,3140530,16.5,297,217,80,,,,,,,,,,,,,,0.0,0.0,34937.06622750265,0.0,25526.408657804965,25526.408657804965,9410.657569697683
2020-06-23,MG,Martins Soares,18,0,217,8501,3140530,16.5,297,217,80,,,,,,,,,,,,,,0.0,0.0,34937.06622750265,0.0,25526.408657804965,25526.408657804965,9410.657569697683
