date,state,city,confirmed,deaths,recovered,estimated_population,city_ibge_code,infected_per_confirmed,infected,closed,active,diff_infected,diff_recovered,diff_deaths,diff_closed,diff_active,diff2_infected,diff2_recovered,diff2_deaths,diff2_closed,diff2_active,diff3_infected,diff4_infected,diff5_infected,μ_closed,μ_infected,infected_per_1mi,deaths_per_1mi,recovered_per_1mi,closed_per_1mi,active_per_1mi
2020-04-26,PE,Ouricuri,1,0,4,70154,2609907,8.3,8,4,4,,,,,,,,,,,,,,0.0,0.0,114.0348376428999,0.0,57.01741882144995,57.01741882144995,57.01741882144995
2020-04-27,PE,Ouricuri,1,0,4,70154,2609907,8.3,8,4,4,,,,,,,,,,,,,,0.0,0.0,114.0348376428999,0.0,57.01741882144995,57.01741882144995,57.01741882144995
2020-04-28,PE,Ouricuri,1,0,4,70154,2609907,8.3,8,4,4,,,,,,,,,,,,,,0.0,0.0,114.0348376428999,0.0,57.01741882144995,57.01741882144995,57.01741882144995
2020-04-29,PE,Ouricuri,1,0,4,70154,2609907,8.3,8,4,4,4.166666666666667,2.3333333333333335,,,,,,,,,,,,0.0,0.0,114.0348376428999,0.0,57.01741882144995,57.01741882144995,57.01741882144995
2020-04-30,PE,Ouricuri,2,0,9,70154,2609907,8.3,17,9,8,4.166666666666667,2.3333333333333335,,,,,,,,,,,,0.0,0.0,242.3240299911623,0.0,128.2891923482624,128.2891923482624,114.0348376428999
2020-05-01,PE,Ouricuri,2,0,9,70154,2609907,8.3,17,9,8,4.166666666666667,2.3333333333333335,,,,,,,,,,,,0.0,0.0,242.3240299911623,0.0,128.2891923482624,128.2891923482624,114.0348376428999
2020-05-02,PE,Ouricuri,4,0,18,70154,2609907,8.3,33,18,15,4.166666666666667,2.5,,,,,,,,,,,,0.0,0.0,470.3937052769621,0.0,256.5783846965248,256.5783846965248,213.81532058043732
2020-05-03,PE,Ouricuri,4,0,18,70154,2609907,8.3,33,18,15,,,,,,,,,,,,,,0.0,0.0,470.3937052769621,0.0,256.5783846965248,256.5783846965248,213.81532058043732
2020-05-04,PE,Ouricuri,4,0,18,70154,2609907,8.3,33,18,15,,,,,,,,,,,,,,0.0,0.0,470.3937052769621,0.0,256.5783846965248,256.5783846965248,213.81532058043732
2020-05-05,PE,Ouricuri,4,0,19,70154,2609907,8.3,33,19,14,,,,,,,,,,,,,,0.0,0.0,470.3937052769621,0.0,270.8327394018873,270.8327394018873,199.56096587507483
2020-05-07,PE,Ouricuri,7,0,32,70154,2609907,8.3,58,32,26,,,,,,,,,,,,,,0.0,0.0,826.7525729110243,0.0,456.1393505715996,456.1393505715996,370.6132223394247
2020-05-08,PE,Ouricuri,7,0,31,70154,2609907,8.3,58,31,27,,,,,,,,,,,,,,0.0,0.0,826.7525729110243,0.0,441.88499586623715,441.88499586623715,384.8675770447872
2020-05-09,PE,Ouricuri,9,1,41,70154,2609907,8.3,75,42,33,,,,,,,,,,,,,,0.023809523809523808,0.013333333333333334,1069.0766029021866,14.254354705362488,584.428542919862,598.6828976252245,470.3937052769621
2020-05-10,PE,Ouricuri,9,1,42,70154,2609907,8.3,75,43,32,2.8333333333333335,2.0,,,,,,,,,,,,0.023255813953488372,0.013333333333333334,1069.0766029021866,14.254354705362488,598.6828976252245,612.937252330587,456.1393505715996
2020-05-11,PE,Ouricuri,9,1,43,70154,2609907,8.3,75,44,31,2.8333333333333335,2.0,,,,,,,,,,,,0.022727272727272728,0.013333333333333334,1069.0766029021866,14.254354705362488,612.937252330587,627.1916070359495,441.88499586623715
2020-05-12,PE,Ouricuri,9,1,44,70154,2609907,8.3,75,45,30,0.0,0.3333333333333333,0.0,0.3333333333333333,-0.3333333333333333,,,,,,,,,0.022222222222222223,0.013333333333333334,1069.0766029021866,14.254354705362488,627.1916070359495,641.445961741312,427.63064116087463
2020-05-13,PE,Ouricuri,9,1,44,70154,2609907,8.3,75,45,30,1.3333333333333333,1.0,0.0,1.0,0.33333333333333326,-0.02777777777777783,-0.055555555555555546,,,,,,,0.022222222222222223,0.013333333333333334,1069.0766029021866,14.254354705362488,627.1916070359495,641.445961741312,427.63064116087463
