date,state,city,confirmed,deaths,recovered,estimated_population,city_ibge_code,infected_per_confirmed,infected,closed,active,diff_infected,diff_recovered,diff_deaths,diff_closed,diff_active,diff2_infected,diff2_recovered,diff2_deaths,diff2_closed,diff2_active,diff3_infected,diff4_infected,diff5_infected,μ_closed,μ_infected,infected_per_1mi,deaths_per_1mi,recovered_per_1mi,closed_per_1mi,active_per_1mi
2020-05-17,SE,Siriri,1,0,5,8982,2807204,8.3,8,5,3,,,,,,,,,,,,,,0.0,0.0,890.670229347584,0.0,556.66889334224,556.66889334224,334.001336005344
2020-05-18,SE,Siriri,3,0,15,8982,2807204,8.3,25,15,10,,,,,,,,,,,,,,0.0,0.0,2783.3444667112003,0.0,1670.00668002672,1670.00668002672,1113.33778668448
2020-05-19,SE,Siriri,5,0,25,8982,2807204,8.3,42,25,17,,,,,,,,,,,,,,0.0,0.0,4676.018704074816,0.0,2783.3444667112003,2783.3444667112003,1892.6742373636162
2020-05-20,SE,Siriri,6,0,29,8982,2807204,8.3,50,29,21,7.0,4.0,,,,,,,,,,,,0.0,0.0,5566.688933422401,0.0,3228.679581384992,3228.679581384992,2338.009352037408
2020-05-21,SE,Siriri,6,0,29,8982,2807204,8.3,50,29,21,4.166666666666667,2.5,,,,,,,,,,,,0.0,0.0,5566.688933422401,0.0,3228.679581384992,3228.679581384992,2338.009352037408
2020-05-22,SE,Siriri,6,0,29,8982,2807204,8.3,50,29,21,4.0,2.6666666666666665,,,,,,,,,,,,0.0,0.0,5566.688933422401,0.0,3228.679581384992,3228.679581384992,2338.009352037408
2020-05-23,SE,Siriri,6,0,29,8982,2807204,8.3,50,29,21,1.3333333333333333,1.1666666666666667,,,,-0.47222222222222215,-0.19444444444444442,,,,,,,0.0,0.0,5566.688933422401,0.0,3228.679581384992,3228.679581384992,2338.009352037408
2020-05-24,SE,Siriri,6,0,30,8982,2807204,8.3,50,30,20,1.3333333333333333,1.1666666666666667,,,,0.22222222222222218,0.13888888888888892,,,,,,,0.0,0.0,5566.688933422401,0.0,3340.01336005344,3340.01336005344,2226.67557336896
2020-05-25,SE,Siriri,8,0,41,8982,2807204,8.3,66,41,25,1.3333333333333333,1.1666666666666667,,,,0.02777777777777783,-0.027777777777777752,,,,,,,0.0,0.0,7348.029392117568,0.0,4564.684925406368,4564.684925406368,2783.3444667112003
2020-05-26,SE,Siriri,7,0,36,8982,2807204,8.3,58,36,22,4.166666666666667,2.8333333333333335,,,,0.9444444444444445,0.5833333333333334,,,,0.11805555555555558,,,0.0,0.0,6457.359162769984,0.0,4008.0160320641285,4008.0160320641285,2449.3431307058563
2020-05-27,SE,Siriri,7,0,36,8982,2807204,8.3,58,36,22,5.5,3.3333333333333335,,,,0.6944444444444445,0.4166666666666667,,,,-0.06944444444444448,,,0.0,0.0,6457.359162769984,0.0,4008.0160320641285,4008.0160320641285,2449.3431307058563
2020-05-28,SE,Siriri,7,0,36,8982,2807204,8.3,58,36,22,4.166666666666667,2.5,,,,0.6944444444444445,0.4166666666666667,,,,-0.40972222222222227,-0.08854166666666669,,0.0,0.0,6457.359162769984,0.0,4008.0160320641285,4008.0160320641285,2449.3431307058563
2020-05-29,SE,Siriri,9,0,46,8982,2807204,8.3,75,46,29,7.0,4.666666666666667,,,,-0.25000000000000006,-0.13888888888888892,,,,-0.055555555555555594,,,0.0,0.0,8350.033400133601,0.0,5121.353818748608,5121.353818748608,3228.679581384992
2020-05-30,SE,Siriri,10,0,50,8982,2807204,8.3,83,50,33,5.5,3.6666666666666665,,,,-0.6944444444444445,-0.3333333333333333,,,,-0.23611111111111113,,,0.0,0.0,9240.703629481184,0.0,5566.688933422401,5566.688933422401,3674.014696058784
2020-05-31,SE,Siriri,11,0,56,8982,2807204,8.3,91,56,35,5.5,3.6666666666666665,,,,0.47222222222222215,0.38888888888888884,,,,,,,0.0,0.0,10131.373858828769,0.0,6234.691605433089,6234.691605433089,3896.68225339568
2020-06-01,SE,Siriri,12,0,64,8982,2807204,8.3,100,64,36,2.6666666666666665,2.0,,,,-0.25,-0.13888888888888892,,,,,,,0.0,0.0,11133.377866844801,0.0,7125.361834780672,7125.361834780672,4008.0160320641285
2020-06-02,SE,Siriri,11,0,58,8982,2807204,8.3,91,58,33,1.3333333333333333,1.3333333333333333,,,,0.4722222222222223,0.3888888888888889,,,,0.3472222222222223,,,0.0,0.0,10131.373858828769,0.0,6457.359162769984,6457.359162769984,3674.014696058784
