date,state,confirmed,deaths,recovered,estimated_population,city_ibge_code,infected_per_confirmed,infected,closed,active,diff_infected,diff_recovered,diff_deaths,diff_closed,diff_active,diff2_infected,diff2_recovered,diff2_deaths,diff2_closed,diff2_active,diff3_infected,diff4_infected,diff5_infected,μ_closed,μ_infected,infected_per_1mi,deaths_per_1mi,recovered_per_1mi,closed_per_1mi,active_per_1mi
2020-03-10,RS,1,0,2,11491011,43,8.4,8,2,6,,,,,,,,,,,,,,0.0,0.0,0.6961963573092046,0.0,0.17404908932730115,0.17404908932730115,0.5221472679819035
2020-03-11,RS,2,0,4,11491011,43,8.4,17,4,13,,,,,,,,,,,,,,0.0,0.0,1.4794172592820596,0.0,0.3480981786546023,0.3480981786546023,1.1313190806274573
2020-03-12,RS,4,0,8,11491011,43,8.4,34,8,26,,,,,,,,,,,,,,0.0,0.0,2.958834518564119,0.0,0.6961963573092046,0.6961963573092046,2.2626381612549147
2020-03-13,RS,4,0,3,11491011,43,8.4,34,3,31,,,,,,,,,,,,,,0.0,0.0,2.958834518564119,0.0,0.26107363399095174,0.26107363399095174,2.6977608845731678
2020-03-16,RS,8,0,17,11491011,43,8.4,67,17,50,,,,,,,,,,,,,,0.0,0.0,5.830644492464589,0.0,1.4794172592820596,1.4794172592820596,4.351227233182528
2020-03-18,RS,19,0,37,11491011,43,8.4,160,37,123,,,,,,,,,,,,,,0.0,0.0,13.923927146184091,0.0,3.219908152555071,3.219908152555071,10.70401899362902
2020-03-19,RS,31,0,47,11491011,43,8.4,260,47,213,,,,,,,,,,,,,,0.0,0.0,22.62638161254915,0.0,4.090153599191577,4.090153599191577,18.536228013357572
2020-03-20,RS,43,0,72,11491011,43,8.4,361,72,289,,,,,,,,,,,,,,0.0,0.0,31.415860623577856,0.0,6.265767215782841,6.265767215782841,25.150093407795016
2020-03-21,RS,69,0,122,11491011,43,8.4,580,122,458,130.16666666666666,31.333333333333332,,,,,,,,,,,,0.0,0.0,50.47423590491733,0.0,10.61699444896537,10.61699444896537,39.857241455951964
2020-03-22,RS,77,0,120,11491011,43,8.4,647,120,527,183.5,53.5,,,,,,,,,,,,0.0,0.0,56.30488039738192,0.0,10.442945359638069,10.442945359638069,45.86193503774385
2020-03-23,RS,96,0,168,11491011,43,8.4,806,168,638,205.83333333333334,64.33333333333333,,,,,,,,,,,,0.0,0.0,70.14178299890236,0.0,14.620123503493296,14.620123503493296,55.52165949540906
2020-03-24,RS,112,0,225,11491011,43,8.4,941,225,716,179.16666666666666,64.16666666666667,,,,11.444444444444448,11.083333333333334,,,,,,,0.0,0.0,81.89009652849519,0.0,19.58052254932138,19.58052254932138,62.309573979173805
2020-03-25,RS,162,1,368,11491011,43,8.4,1361,369,992,172.16666666666666,70.33333333333333,,,,2.7777777777777763,5.666666666666667,,,,,,,0.0027100271002710027,0.0007347538574577516,118.44040528722843,0.08702454466365057,32.02503243622341,32.11205698088706,86.32834830634137
2020-03-26,RS,190,1,458,11491011,43,8.4,1596,459,1137,187.66666666666666,85.16666666666667,,,,-4.916666666666667,1.6388888888888904,,,,2.2152777777777772,,,0.002178649237472767,0.0006265664160401002,138.8911732831863,0.08702454466365057,39.857241455951964,39.94426600061561,98.94690728257069
