date,state,city,confirmed,deaths,recovered,estimated_population,city_ibge_code,infected_per_confirmed,infected,closed,active,diff_infected,diff_recovered,diff_deaths,diff_closed,diff_active,diff2_infected,diff2_recovered,diff2_deaths,diff2_closed,diff2_active,diff3_infected,diff4_infected,diff5_infected,μ_closed,μ_infected,infected_per_1mi,deaths_per_1mi,recovered_per_1mi,closed_per_1mi,active_per_1mi
2020-03-31,MG,Alfenas,1,0,6,80796,3101607,16.5,16,6,10,,,,,,,,,,,,,,0.0,0.0,198.03,0.0,74.261,74.261,123.769
2020-04-01,MG,Alfenas,1,0,6,80796,3101607,16.5,16,6,10,,,,,,,,,,,,,,0.0,0.0,198.03,0.0,74.261,74.261,123.769
2020-04-02,MG,Alfenas,1,0,6,80796,3101607,16.5,16,6,10,,,,,,,,,,,,,,0.0,0.0,198.03,0.0,74.261,74.261,123.769
2020-04-03,MG,Alfenas,1,0,6,80796,3101607,16.5,16,6,10,0.0,0.1667,,,,,,,,,,,,0.0,0.0,198.03,0.0,74.261,74.261,123.769
2020-04-04,MG,Alfenas,1,0,6,80796,3101607,16.5,16,6,10,0.0,0.1667,,,,,,,,,,,,0.0,0.0,198.03,0.0,74.261,74.261,123.769
2020-04-05,MG,Alfenas,1,0,7,80796,3101607,16.5,16,7,9,0.0,0.1667,,,,,,,,,,,,0.0,0.0,198.03,0.0,86.638,86.638,111.392
2020-04-06,MG,Alfenas,1,0,7,80796,3101607,16.5,16,7,9,0.0,0.1667,,,,,0.0,,,,,,,0.0,0.0,198.03,0.0,86.638,86.638,111.392
2020-04-07,MG,Alfenas,1,0,7,80796,3101607,16.5,16,7,9,0.0,0.1667,,,,,0.0,,,,,,,0.0,0.0,198.03,0.0,86.638,86.638,111.392
2020-04-08,MG,Alfenas,1,0,7,80796,3101607,16.5,16,7,9,0.0,0.1667,,,,,0.0,,,,,,,0.0,0.0,198.03,0.0,86.638,86.638,111.392
2020-04-09,MG,Alfenas,1,0,7,80796,3101607,16.5,16,7,9,0.0,0.1667,,,,,0.0,,,,,,,0.0,0.0,198.03,0.0,86.638,86.638,111.392
2020-04-10,MG,Alfenas,1,0,7,80796,3101607,16.5,16,7,9,0.0,0.1667,,,,,0.25,,,,,,,0.0,0.0,198.03,0.0,86.638,86.638,111.392
2020-04-11,MG,Alfenas,1,0,8,80796,3101607,16.5,16,8,8,0.0,0.1667,,,,,0.2222,,,,,,,0.0,0.0,198.03,0.0,99.015,99.015,99.015
2020-04-12,MG,Alfenas,1,0,8,80796,3101607,16.5,16,8,8,0.0,0.1667,,,,,0.2222,,,,,,,0.0,0.0,198.03,0.0,99.015,99.015,99.015
2020-04-13,MG,Alfenas,1,0,8,80796,3101607,16.5,16,8,8,2.833,1.667,,,,,0.25,,,,,,,0.0,0.0,198.03,0.0,99.015,99.015,99.015
2020-04-14,MG,Alfenas,1,0,8,80796,3101607,16.5,16,8,8,2.833,1.5,,,,,0.25,,,,,,,0.0,0.0,198.03,0.0,99.015,99.015,99.015
2020-04-15,MG,Alfenas,1,0,8,80796,3101607,16.5,16,8,8,2.833,1.5,,,,,0.2778,,,,,,,0.0,0.0,198.03,0.0,99.015,99.015,99.015
2020-04-16,MG,Alfenas,2,0,17,80796,3101607,16.5,33,17,16,2.833,1.667,,,,-0.47222,-0.22222,,,,,,,0.0,0.0,408.436,0.0,210.406,210.406,198.03
2020-04-17,MG,Alfenas,2,0,17,80796,3101607,16.5,33,17,16,2.833,1.667,,,,-0.47222,-0.19444,,,,,,,0.0,0.0,408.436,0.0,210.406,210.406,198.03
2020-04-18,MG,Alfenas,2,0,17,80796,3101607,16.5,33,17,16,2.833,1.833,,,,-0.47222,-0.19444,,,,,,,0.0,0.0,408.436,0.0,210.406,210.406,198.03
