date,state,city,confirmed,deaths,recovered,estimated_population,city_ibge_code,infected_per_confirmed,infected,closed,active,diff_infected,diff_recovered,diff_deaths,diff_closed,diff_active,diff2_infected,diff2_recovered,diff2_deaths,diff2_closed,diff2_active,diff3_infected,diff4_infected,diff5_infected,μ_closed,μ_infected,infected_per_1mi,deaths_per_1mi,recovered_per_1mi,closed_per_1mi,active_per_1mi
2020-04-07,RR,Alto Alegre,1,0,3,15665,1400050,8.3,8,3,5,,,,,,,,,,,,,,0.0,0.0,510.693,0.0,191.51,191.51,319.183
2020-04-08,RR,Alto Alegre,1,0,3,15665,1400050,8.3,8,3,5,,,,,,,,,,,,,,0.0,0.0,510.693,0.0,191.51,191.51,319.183
2020-04-09,RR,Alto Alegre,1,0,3,15665,1400050,8.3,8,3,5,,,,,,,,,,,,,,0.0,0.0,510.693,0.0,191.51,191.51,319.183
2020-04-10,RR,Alto Alegre,1,1,4,15665,1400050,8.3,8,5,3,0.0,0.1667,,,,,,,,,,,,0.2,0.125,510.693,63.837,255.346,319.183,191.51
2020-04-11,RR,Alto Alegre,1,1,4,15665,1400050,8.3,8,5,3,0.0,0.1667,,,,,,,,,,,,0.2,0.125,510.693,63.837,255.346,319.183,191.51
2020-04-12,RR,Alto Alegre,1,1,4,15665,1400050,8.3,8,5,3,0.0,0.1667,,,,,,,,,,,,0.2,0.125,510.693,63.837,255.346,319.183,191.51
2020-04-13,RR,Alto Alegre,1,1,4,15665,1400050,8.3,8,5,3,0.0,0.0,0.0,0.0,0.0,,-0.02778,,,,,,,0.2,0.125,510.693,63.837,255.346,319.183,191.51
2020-04-14,RR,Alto Alegre,1,1,4,15665,1400050,8.3,8,5,3,0.0,0.0,0.0,0.0,0.0,,-0.02778,,,,,,,0.2,0.125,510.693,63.837,255.346,319.183,191.51
2020-04-15,RR,Alto Alegre,1,1,4,15665,1400050,8.3,8,5,3,0.0,0.0,0.0,0.0,0.0,,0.1389,,,,,,,0.2,0.125,510.693,63.837,255.346,319.183,191.51
2020-04-16,RR,Alto Alegre,1,1,4,15665,1400050,8.3,8,5,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.2,0.125,510.693,63.837,255.346,319.183,191.51
