date,state,city,confirmed,deaths,recovered,estimated_population,city_ibge_code,infected_per_confirmed,infected,closed,active,diff_infected,diff_recovered,diff_deaths,diff_closed,diff_active,diff2_infected,diff2_recovered,diff2_deaths,diff2_closed,diff2_active,diff3_infected,diff4_infected,diff5_infected,μ_closed,μ_infected,infected_per_1mi,deaths_per_1mi,recovered_per_1mi,closed_per_1mi,active_per_1mi
2020-03-23,PE,Caruaru,1,0,2,364729,2604106,8.3,8,2,6,,,,,,,,,,,,,,0.0,0.0,21.934,0.0,5.484,5.484,16.451
2020-03-24,PE,Caruaru,1,0,2,364729,2604106,8.3,8,2,6,,,,,,,,,,,,,,0.0,0.0,21.934,0.0,5.484,5.484,16.451
2020-03-25,PE,Caruaru,1,0,2,364729,2604106,8.3,8,2,6,,,,,,,,,,,,,,0.0,0.0,21.934,0.0,5.484,5.484,16.451
2020-03-26,PE,Caruaru,1,0,3,364729,2604106,8.3,8,3,5,0.0,0.1667,,,,,,,,,,,,0.0,0.0,21.934,0.0,8.225,8.225,13.709
2020-03-27,PE,Caruaru,1,0,3,364729,2604106,8.3,8,3,5,0.0,0.1667,,,,,,,,,,,,0.0,0.0,21.934,0.0,8.225,8.225,13.709
2020-03-28,PE,Caruaru,1,0,3,364729,2604106,8.3,8,3,5,0.0,0.1667,,,,,,,,,,,,0.0,0.0,21.934,0.0,8.225,8.225,13.709
2020-03-29,PE,Caruaru,1,0,3,364729,2604106,8.3,8,3,5,0.0,0.0,,,,,0.08333,,,,,,,0.0,0.0,21.934,0.0,8.225,8.225,13.709
2020-03-30,PE,Caruaru,1,0,3,364729,2604106,8.3,8,3,5,0.0,0.0,,,,,0.08333,,,,,,,0.0,0.0,21.934,0.0,8.225,8.225,13.709
2020-03-31,PE,Caruaru,1,0,3,364729,2604106,8.3,8,3,5,0.0,0.0,,,,,0.1944,,,,,,,0.0,0.0,21.934,0.0,8.225,8.225,13.709
2020-04-01,PE,Caruaru,1,0,3,364729,2604106,8.3,8,3,5,1.5,0.6667,,,,,,,,,,,,0.0,0.0,21.934,0.0,8.225,8.225,13.709
2020-04-02,PE,Caruaru,1,0,3,364729,2604106,8.3,8,3,5,1.5,0.6667,,,,,,,,,,,,0.0,0.0,21.934,0.0,8.225,8.225,13.709
2020-04-03,PE,Caruaru,1,0,3,364729,2604106,8.3,8,3,5,2.833,1.333,,,,,,,,,,,,0.0,0.0,21.934,0.0,8.225,8.225,13.709
2020-04-04,PE,Caruaru,2,0,7,364729,2604106,8.3,17,7,10,2.833,1.333,,,,0.6667,0.3333,,,,,,,0.0,0.0,46.61,0.0,19.192,19.192,27.418
2020-04-05,PE,Caruaru,2,0,7,364729,2604106,8.3,17,7,10,2.833,1.333,,,,0.6667,0.3611,,,,,,,0.0,0.0,46.61,0.0,19.192,19.192,27.418
2020-04-06,PE,Caruaru,3,0,11,364729,2604106,8.3,25,11,14,5.667,2.5,,,,0.4444,0.2778,,,,-0.05556,,,0.0,0.0,68.544,0.0,30.159,30.159,38.385
2020-04-07,PE,Caruaru,3,0,11,364729,2604106,8.3,25,11,14,5.5,2.667,,,,0.4444,0.3056,,,,-0.23611,,,0.0,0.0,68.544,0.0,30.159,30.159,38.385
2020-04-08,PE,Caruaru,3,0,11,364729,2604106,8.3,25,11,14,5.5,2.833,,,,0.4444,0.3333,,,,-0.11111,,,0.0,0.0,68.544,0.0,30.159,30.159,38.385
2020-04-09,PE,Caruaru,5,0,18,364729,2604106,8.3,42,18,24,5.5,3.0,,,,-0.27778,0.02778,,,,0.0625,,,0.0,0.0,115.154,0.0,49.352,49.352,65.802
2020-04-10,PE,Caruaru,6,1,23,364729,2604106,8.3,50,24,26,5.5,3.167,,,,0.0,0.1389,,,,0.125,,,0.04167,0.02,137.088,2.742,63.061,65.802,71.286
2020-04-11,PE,Caruaru,6,1,24,364729,2604106,8.3,50,25,25,5.5,3.333,,,,0.6944,0.4167,,,,,0.00174,,0.04,0.02,137.088,2.742,65.802,68.544,68.544
2020-04-12,PE,Caruaru,7,1,29,364729,2604106,8.3,58,30,28,4.0,2.667,,,,0.9444,0.5,,,,,-0.07465,,0.03333,0.01724,159.022,2.742,79.511,82.253,76.769
2020-04-13,PE,Caruaru,7,1,30,364729,2604106,8.3,58,31,27,5.5,3.5,0.0,3.5,2.0,0.9444,0.5278,,,,0.06944,,-0.0421,0.03226,0.01724,159.022,2.742,82.253,84.995,74.028
2020-04-14,PE,Caruaru,7,1,31,364729,2604106,8.3,58,32,26,9.667,5.333,0.0,5.333,4.333,0.9444,0.5278,,,,-0.17361,,,0.03125,0.01724,159.022,2.742,84.995,87.736,71.286
2020-04-15,PE,Caruaru,8,1,34,364729,2604106,8.3,66,35,31,11.167,6.0,0.0,6.0,5.167,0.9722,0.5833,,,,-0.46528,-0.16667,,0.02857,0.01515,180.956,2.742,93.22,95.962,84.995
2020-04-16,PE,Caruaru,10,1,44,364729,2604106,8.3,83,45,38,11.167,6.333,0.0,6.333,4.833,0.25,0.1944,,,,-0.59028,,,0.02222,0.01205,227.566,2.742,120.638,123.379,104.187
2020-04-17,PE,Caruaru,13,1,56,364729,2604106,8.3,108,57,51,11.167,6.5,0.1667,6.667,4.5,-0.91667,-0.33333,,,,-0.59722,,,0.01754,0.00926,296.11,2.742,153.539,156.28,139.83
2020-04-18,PE,Caruaru,15,1,65,364729,2604106,8.3,125,66,59,9.833,6.167,0.1667,6.333,3.5,-1.41667,-0.58333,,,,-0.125,,,0.01515,0.008,342.72,2.742,178.215,180.956,161.764
2020-04-19,PE,Caruaru,15,1,68,364729,2604106,8.3,125,69,56,7.0,4.667,0.1667,4.833,2.167,-1.41667,-0.77778,,,,,,,0.01449,0.008,342.72,2.742,186.44,189.182,153.539
2020-04-20,PE,Caruaru,15,2,70,364729,2604106,8.3,125,72,53,4.167,3.333,0.1667,3.5,0.6667,-0.25,-0.16667,0.0,-0.16667,-0.08333,,,,0.02778,0.016,342.72,5.484,191.923,197.407,145.313
2020-04-21,PE,Caruaru,15,2,71,364729,2604106,8.3,125,73,52,2.667,2.5,0.3333,2.833,-0.16667,0.1944,0.02778,0.0,0.02778,0.1667,,,,0.0274,0.016,342.72,5.484,194.665,200.149,142.572
