date,state,city,confirmed,deaths,recovered,estimated_population,city_ibge_code,infected_per_confirmed,infected,closed,active,diff_infected,diff_recovered,diff_deaths,diff_closed,diff_active,diff2_infected,diff2_recovered,diff2_deaths,diff2_closed,diff2_active,diff3_infected,diff4_infected,diff5_infected,μ_closed,μ_infected,infected_per_1mi,deaths_per_1mi,recovered_per_1mi,closed_per_1mi,active_per_1mi
2020-05-17,PB,Catolé do Rocha,2,0,11,30851,2504306,8.3,17,11,6,,,,,,,,,,,,,,0.0,0.0,551.036,0.0,356.552,356.552,194.483
2020-05-18,PB,Catolé do Rocha,4,0,21,30851,2504306,8.3,33,21,12,,,,,,,,,,,,,,0.0,0.0,1069.657,0.0,680.691,680.691,388.966
2020-05-19,PB,Catolé do Rocha,6,0,31,30851,2504306,8.3,50,31,19,,,,,,,,,,,,,,0.0,0.0,1620.693,0.0,1004.83,1004.83,615.863
2020-05-20,PB,Catolé do Rocha,7,0,36,30851,2504306,8.3,58,36,22,13.833,8.5,,,,,,,,,,,,0.0,0.0,1880.004,0.0,1166.899,1166.899,713.105
2020-05-21,PB,Catolé do Rocha,12,0,62,30851,2504306,8.3,100,62,38,16.667,10.5,,,,,,,,,,,,0.0,0.0,3241.386,0.0,2009.659,2009.659,1231.727
2020-05-22,PB,Catolé do Rocha,12,0,62,30851,2504306,8.3,100,62,38,20.667,13.667,,,,,,,,,,,,0.0,0.0,3241.386,0.0,2009.659,2009.659,1231.727
2020-05-23,PB,Catolé do Rocha,12,0,62,30851,2504306,8.3,100,62,38,22.167,15.0,,,,3.667,2.528,,,,,,,0.0,0.0,3241.386,0.0,2009.659,2009.659,1231.727
2020-05-24,PB,Catolé do Rocha,16,0,84,30851,2504306,8.3,133,84,49,26.167,17.833,,,,2.75,1.806,,,,,,,0.0,0.0,4311.043,0.0,2722.764,2722.764,1588.279
2020-05-25,PB,Catolé do Rocha,21,0,113,30851,2504306,8.3,174,113,61,27.667,18.5,,,,2.111,1.361,,,,-0.79167,,,0.0,0.0,5640.012,0.0,3662.766,3662.766,1977.245
2020-05-26,PB,Catolé do Rocha,23,0,126,30851,2504306,8.3,191,126,65,35.833,23.667,,,,1.389,1.0,,,,-0.57639,,,0.0,0.0,6191.047,0.0,4084.146,4084.146,2106.901
