date,state,city,confirmed,deaths,recovered,estimated_population,city_ibge_code,infected_per_confirmed,infected,closed,active,diff_infected,diff_recovered,diff_deaths,diff_closed,diff_active,diff2_infected,diff2_recovered,diff2_deaths,diff2_closed,diff2_active,diff3_infected,diff4_infected,diff5_infected,μ_closed,μ_infected,infected_per_1mi,deaths_per_1mi,recovered_per_1mi,closed_per_1mi,active_per_1mi
2020-05-08,PI,Cocal de Telha,1,0,20,4940,2202711,36.0,36,20,16,,,,,,,,,,,,,,0.0,0.0,7287.449,0.0,4048.583,4048.583,3238.866
2020-05-09,PI,Cocal de Telha,1,0,20,4940,2202711,36.0,36,20,16,,,,,,,,,,,,,,0.0,0.0,7287.449,0.0,4048.583,4048.583,3238.866
2020-05-10,PI,Cocal de Telha,1,0,20,4940,2202711,36.0,36,20,16,,,,,,,,,,,,,,0.0,0.0,7287.449,0.0,4048.583,4048.583,3238.866
2020-05-11,PI,Cocal de Telha,1,0,21,4940,2202711,36.0,36,21,15,54.0,31.5,,,,,,,,,,,,0.0,0.0,7287.449,0.0,4251.012,4251.012,3036.437
2020-05-12,PI,Cocal de Telha,9,0,190,4940,2202711,36.0,324,190,134,90.0,51.333,,,,,,,,,,,,0.0,0.0,65587.045,0.0,38461.538,38461.538,27125.506
2020-05-13,PI,Cocal de Telha,10,0,210,4940,2202711,36.0,360,210,150,90.0,51.667,,,,,,,,,,,,0.0,0.0,72874.494,0.0,42510.121,42510.121,30364.372
2020-05-14,PI,Cocal de Telha,10,0,209,4940,2202711,36.0,360,209,151,90.0,53.333,,,,4.0,2.361,,,,,,,0.0,0.0,72874.494,0.0,42307.692,42307.692,30566.802
2020-05-15,PI,Cocal de Telha,16,0,328,4940,2202711,36.0,576,328,248,72.0,43.0,,,,-7.0,-3.66667,,,,,,,0.0,0.0,116599.19,0.0,66396.761,66396.761,50202.429
2020-05-16,PI,Cocal de Telha,16,0,330,4940,2202711,36.0,576,330,246,84.0,50.0,,,,-6.0,-3.25,,,,-3.0,,,0.0,0.0,116599.19,0.0,66801.619,66801.619,49797.571
2020-05-17,PI,Cocal de Telha,16,0,341,4940,2202711,36.0,576,341,235,78.0,45.667,,,,-6.0,-3.63889,,,,,,,0.0,0.0,116599.19,0.0,69028.34,69028.34,47570.85
2020-05-18,PI,Cocal de Telha,21,0,448,4940,2202711,36.0,756,448,308,48.0,29.333,,,,-8.0,-4.66667,,,,,,,0.0,0.0,153036.437,0.0,90688.259,90688.259,62348.178
2020-05-19,PI,Cocal de Telha,24,0,510,4940,2202711,36.0,864,510,354,54.0,32.167,,,,-13.0,-7.16667,,,,,,,0.0,0.0,174898.785,0.0,103238.866,103238.866,71659.919
2020-05-20,PI,Cocal de Telha,23,0,483,4940,2202711,36.0,828,483,345,54.0,31.5,,,,-10.0,-4.88889,,,,,,,0.0,0.0,167611.336,0.0,97773.279,97773.279,69838.057
2020-05-21,PI,Cocal de Telha,24,0,504,4940,2202711,36.0,864,504,360,24.0,15.0,,,,-6.0,-2.72222,,,,,,,0.0,0.0,174898.785,0.0,102024.291,102024.291,72874.494
2020-05-22,PI,Cocal de Telha,25,0,523,4940,2202711,36.0,900,523,377,6.0,7.0,,,,-8.0,-3.88889,,,,,,,0.0,0.0,182186.235,0.0,105870.445,105870.445,76315.789
2020-05-23,PI,Cocal de Telha,25,0,530,4940,2202711,36.0,900,530,370,18.0,16.333,,,,-8.0,-4.05556,,,,,,,0.0,0.0,182186.235,0.0,107287.449,107287.449,74898.785
2020-05-24,PI,Cocal de Telha,25,0,538,4940,2202711,36.0,900,538,362,12.0,13.0,,,,-3.0,-1.75,,,,,,,0.0,0.0,182186.235,0.0,108906.883,108906.883,73279.352
2020-05-25,PI,Cocal de Telha,25,0,552,4940,2202711,36.0,900,552,348,6.0,8.833,,,,0.0,-0.41667,,,,,,,0.0,0.0,182186.235,0.0,111740.891,111740.891,70445.344
2020-05-26,PI,Cocal de Telha,26,0,581,4940,2202711,36.0,936,581,355,6.0,7.167,,,,-3.0,-2.27778,,,,,,,0.0,0.0,189473.684,0.0,117611.336,117611.336,71862.348
2020-05-27,PI,Cocal de Telha,26,0,582,4940,2202711,36.0,936,582,354,6.0,4.5,,,,-2.0,-1.83333,,,,,,,0.0,0.0,189473.684,0.0,117813.765,117813.765,71659.919
