date,state,city,confirmed,deaths,recovered,estimated_population,city_ibge_code,infected_per_confirmed,infected,closed,active,diff_infected,diff_recovered,diff_deaths,diff_closed,diff_active,diff2_infected,diff2_recovered,diff2_deaths,diff2_closed,diff2_active,diff3_infected,diff4_infected,diff5_infected,μ_closed,μ_infected,infected_per_1mi,deaths_per_1mi,recovered_per_1mi,closed_per_1mi,active_per_1mi
2020-05-19,BA,Cocos,1,0,5,18965,2908101,8.3,8,5,3,,,,,,,,,,,,,,0.0,0.0,421.83,0.0,263.644,263.644,158.186
2020-05-20,BA,Cocos,1,0,5,18965,2908101,8.3,8,5,3,,,,,,,,,,,,,,0.0,0.0,421.83,0.0,263.644,263.644,158.186
2020-05-21,BA,Cocos,1,0,5,18965,2908101,8.3,8,5,3,,,,,,,,,,,,,,0.0,0.0,421.83,0.0,263.644,263.644,158.186
2020-05-22,BA,Cocos,4,0,19,18965,2908101,8.3,33,19,14,8.333,5.167,,,,,,,,,,,,0.0,0.0,1740.047,0.0,1001.846,1001.846,738.202
2020-05-23,BA,Cocos,6,0,29,18965,2908101,8.3,50,29,21,7.0,4.333,,,,,,,,,,,,0.0,0.0,2636.436,0.0,1529.133,1529.133,1107.303
2020-05-24,BA,Cocos,6,0,30,18965,2908101,8.3,50,30,20,8.333,5.167,,,,,,,,,,,,0.0,0.0,2636.436,0.0,1581.861,1581.861,1054.574
2020-05-25,BA,Cocos,7,0,36,18965,2908101,8.3,58,36,22,5.5,3.667,,,,-1.16667,-0.72222,,,,,,,0.0,0.0,3058.265,0.0,1898.234,1898.234,1160.032
2020-05-26,BA,Cocos,6,0,31,18965,2908101,8.3,50,31,19,2.667,1.833,,,,-0.72222,-0.41667,,,,,,,0.0,0.0,2636.436,0.0,1634.59,1634.59,1001.846
2020-05-27,BA,Cocos,7,0,36,18965,2908101,8.3,58,36,22,2.667,1.667,,,,-1.16667,-0.69444,,,,,,,0.0,0.0,3058.265,0.0,1898.234,1898.234,1160.032
2020-05-28,BA,Cocos,8,0,41,18965,2908101,8.3,66,41,25,1.333,0.8333,,,,-0.91667,-0.58333,,,,,,,0.0,0.0,3480.095,0.0,2161.877,2161.877,1318.218
2020-05-29,BA,Cocos,8,0,40,18965,2908101,8.3,66,40,26,2.667,1.833,,,,-0.44444,-0.25,,,,,,,0.0,0.0,3480.095,0.0,2109.148,2109.148,1370.946
2020-05-30,BA,Cocos,8,0,40,18965,2908101,8.3,66,40,26,1.333,1.0,,,,-0.44444,-0.22222,,,,,,,0.0,0.0,3480.095,0.0,2109.148,2109.148,1370.946
2020-05-31,BA,Cocos,8,0,41,18965,2908101,8.3,66,41,25,0.0,0.1667,,,,-0.66667,-0.38889,,,,,,,0.0,0.0,3480.095,0.0,2161.877,2161.877,1318.218
2020-06-01,BA,Cocos,8,0,42,18965,2908101,8.3,66,42,24,0.0,0.3333,,,,-0.88889,-0.55556,,,,,,,0.0,0.0,3480.095,0.0,2214.606,2214.606,1265.489
2020-06-02,BA,Cocos,8,0,42,18965,2908101,8.3,66,42,24,0.0,0.3333,,,,-0.66667,-0.41667,,,,,,,0.0,0.0,3480.095,0.0,2214.606,2214.606,1265.489
2020-06-03,BA,Cocos,8,0,42,18965,2908101,8.3,66,42,24,-2.66667,-1.5,,,,,-0.27778,,,,,,,0.0,0.0,3480.095,0.0,2214.606,2214.606,1265.489
2020-06-04,BA,Cocos,8,0,42,18965,2908101,8.3,66,42,24,-2.66667,-1.5,,,,,-0.30556,,,,,,,0.0,0.0,3480.095,0.0,2214.606,2214.606,1265.489
2020-06-05,BA,Cocos,8,0,42,18965,2908101,8.3,66,42,24,-2.66667,-1.5,,,,,-0.13889,,,,,,,0.0,0.0,3480.095,0.0,2214.606,2214.606,1265.489
2020-06-06,BA,Cocos,6,0,32,18965,2908101,8.3,50,32,18,-2.66667,-1.5,,,,,,,,,,,,0.0,0.0,2636.436,0.0,1687.319,1687.319,949.117
2020-06-07,BA,Cocos,6,0,33,18965,2908101,8.3,50,33,17,-2.66667,-1.5,,,,,,,,,,,,0.0,0.0,2636.436,0.0,1740.047,1740.047,896.388
2020-06-08,BA,Cocos,6,0,33,18965,2908101,8.3,50,33,17,-1.33333,-0.5,,,,,,,,,,,,0.0,0.0,2636.436,0.0,1740.047,1740.047,896.388
