date,state,city,confirmed,deaths,recovered,estimated_population,city_ibge_code,infected_per_confirmed,infected,closed,active,diff_infected,diff_recovered,diff_deaths,diff_closed,diff_active,diff2_infected,diff2_recovered,diff2_deaths,diff2_closed,diff2_active,diff3_infected,diff4_infected,diff5_infected,μ_closed,μ_infected,infected_per_1mi,deaths_per_1mi,recovered_per_1mi,closed_per_1mi,active_per_1mi
2020-03-18,SP,Cotia,1,0,2,251702,3513009,7.3,7,2,5,,,,,,,,,,,,,,0.0,0.0,27.811,0.0,7.946,7.946,19.865
2020-03-19,SP,Cotia,2,0,3,251702,3513009,7.3,15,3,12,,,,,,,,,,,,,,0.0,0.0,59.594,0.0,11.919,11.919,47.675
2020-03-20,SP,Cotia,2,0,3,251702,3513009,7.3,15,3,12,,,,,,,,,,,,,,0.0,0.0,59.594,0.0,11.919,11.919,47.675
2020-03-25,SP,Cotia,6,0,13,251702,3513009,7.3,44,13,31,,,,,,,,,,,,,,0.0,0.0,174.81,0.0,51.648,51.648,123.162
2020-03-26,SP,Cotia,5,0,12,251702,3513009,7.3,36,12,24,,,,,,,,,,,,,,0.0,0.0,143.026,0.0,47.675,47.675,95.351
2020-03-27,SP,Cotia,6,0,15,251702,3513009,7.3,44,15,29,,,,,,,,,,,,,,0.0,0.0,174.81,0.0,59.594,59.594,115.216
2020-03-30,SP,Cotia,6,0,19,251702,3513009,7.3,44,19,25,,,,,,,,,,,,,,0.0,0.0,174.81,0.0,75.486,75.486,99.324
2020-03-31,SP,Cotia,12,0,34,251702,3513009,7.3,88,34,54,,,,,,,,,,,,,,0.0,0.0,349.62,0.0,135.08,135.08,214.539
2020-04-01,SP,Cotia,21,2,57,251702,3513009,7.3,153,59,94,,,,,,,,,,,,,,0.0339,0.01307,607.862,7.946,226.458,234.404,373.458
2020-04-02,SP,Cotia,23,2,63,251702,3513009,7.3,168,65,103,28.0,11.833,,,,,,,,,,,,0.03077,0.0119,667.456,7.946,250.296,258.242,409.214
2020-04-03,SP,Cotia,27,2,77,251702,3513009,7.3,197,79,118,23.0,11.0,,,,,,,,,,,,0.02532,0.01015,782.672,7.946,305.917,313.863,468.808
2020-04-04,SP,Cotia,28,2,81,251702,3513009,7.3,204,83,121,17.167,9.0,0.1667,9.167,8.0,,,,,,,,,0.0241,0.0098,810.482,7.946,321.809,329.755,480.727
2020-04-05,SP,Cotia,29,3,90,251702,3513009,7.3,212,93,119,28.0,13.333,0.1667,13.5,14.5,1.417,1.306,,,,,,,0.03226,0.01415,842.266,11.919,357.566,369.485,472.781
2020-04-06,SP,Cotia,31,3,100,251702,3513009,7.3,226,103,123,23.167,11.5,0.1667,11.667,11.5,2.472,1.694,,,,,,,0.02913,0.01327,897.887,11.919,397.295,409.214,488.673
2020-04-07,SP,Cotia,35,3,111,251702,3513009,7.3,256,114,142,30.5,15.667,0.1667,15.833,14.667,2.611,2.0,0.0,2.0,0.6111,-0.10417,,,0.02632,0.01172,1017.076,11.919,440.998,452.917,564.159
2020-04-08,SP,Cotia,46,3,143,251702,3513009,7.3,336,146,190,36.5,19.667,0.1667,19.833,16.667,-1.02778,0.6667,0.0,0.6667,-1.69444,-0.92361,,,0.02055,0.00893,1334.912,11.919,568.132,580.051,754.861
