date,state,city,confirmed,deaths,recovered,estimated_population,city_ibge_code,infected_per_confirmed,infected,closed,active,diff_infected,diff_recovered,diff_deaths,diff_closed,diff_active,diff2_infected,diff2_recovered,diff2_deaths,diff2_closed,diff2_active,diff3_infected,diff4_infected,diff5_infected,μ_closed,μ_infected,infected_per_1mi,deaths_per_1mi,recovered_per_1mi,closed_per_1mi,active_per_1mi
2020-05-18,PR,Cruzeiro do Iguaçu,2,0,10,4295,4106571,8.3,17,10,7,,,,,,,,,,,,,,0.0,0.0,3958.091,0.0,2328.289,2328.289,1629.802
2020-05-19,PR,Cruzeiro do Iguaçu,2,0,10,4295,4106571,8.3,17,10,7,,,,,,,,,,,,,,0.0,0.0,3958.091,0.0,2328.289,2328.289,1629.802
2020-05-20,PR,Cruzeiro do Iguaçu,2,0,10,4295,4106571,8.3,17,10,7,,,,,,,,,,,,,,0.0,0.0,3958.091,0.0,2328.289,2328.289,1629.802
2020-05-21,PR,Cruzeiro do Iguaçu,2,0,10,4295,4106571,8.3,17,10,7,1.333,0.8333,,,,,,,,,,,,0.0,0.0,3958.091,0.0,2328.289,2328.289,1629.802
2020-05-22,PR,Cruzeiro do Iguaçu,3,0,15,4295,4106571,8.3,25,15,10,1.333,1.0,,,,,,,,,,,,0.0,0.0,5820.722,0.0,3492.433,3492.433,2328.289
2020-05-23,PR,Cruzeiro do Iguaçu,3,0,15,4295,4106571,8.3,25,15,10,1.333,1.0,,,,,,,,,,,,0.0,0.0,5820.722,0.0,3492.433,3492.433,2328.289
2020-05-24,PR,Cruzeiro do Iguaçu,3,0,15,4295,4106571,8.3,25,15,10,1.333,1.0,,,,0.4722,0.3333,,,,,,,0.0,0.0,5820.722,0.0,3492.433,3492.433,2328.289
2020-05-25,PR,Cruzeiro do Iguaçu,3,0,16,4295,4106571,8.3,25,16,9,0.0,0.1667,,,,0.4722,0.3056,,,,,,,0.0,0.0,5820.722,0.0,3725.262,3725.262,2095.46
2020-05-26,PR,Cruzeiro do Iguaçu,3,0,16,4295,4106571,8.3,25,16,9,4.167,2.833,,,,0.4722,0.3056,,,,,,,0.0,0.0,5820.722,0.0,3725.262,3725.262,2095.46
2020-05-27,PR,Cruzeiro do Iguaçu,3,0,16,4295,4106571,8.3,25,16,9,4.167,2.833,,,,0.4722,0.3056,,,,-0.29167,,,0.0,0.0,5820.722,0.0,3725.262,3725.262,2095.46
2020-05-28,PR,Cruzeiro do Iguaçu,3,0,16,4295,4106571,8.3,25,16,9,4.167,2.833,,,,,0.4167,,,,,,,0.0,0.0,5820.722,0.0,3725.262,3725.262,2095.46
2020-05-29,PR,Cruzeiro do Iguaçu,6,0,32,4295,4106571,8.3,50,32,18,4.167,2.833,,,,-0.69444,-0.47222,,,,,,,0.0,0.0,11641.444,0.0,7450.524,7450.524,4190.92
2020-05-30,PR,Cruzeiro do Iguaçu,6,0,32,4295,4106571,8.3,50,32,18,4.167,2.833,,,,,,,,,,,,0.0,0.0,11641.444,0.0,7450.524,7450.524,4190.92
2020-05-31,PR,Cruzeiro do Iguaçu,6,0,33,4295,4106571,8.3,50,33,17,4.167,2.667,,,,,,,,,,,,0.0,0.0,11641.444,0.0,7683.353,7683.353,3958.091
2020-06-01,PR,Cruzeiro do Iguaçu,6,0,33,4295,4106571,8.3,50,33,17,0.0,0.0,,,,,,,,,,,,0.0,0.0,11641.444,0.0,7683.353,7683.353,3958.091
2020-06-02,PR,Cruzeiro do Iguaçu,6,0,33,4295,4106571,8.3,50,33,17,,,,,,,,,,,,,,0.0,0.0,11641.444,0.0,7683.353,7683.353,3958.091
2020-06-03,PR,Cruzeiro do Iguaçu,6,0,32,4295,4106571,8.3,50,32,18,,,,,,,,,,,,,,0.0,0.0,11641.444,0.0,7450.524,7450.524,4190.92
2020-06-04,PR,Cruzeiro do Iguaçu,6,0,32,4295,4106571,8.3,50,32,18,,,,,,,,,,,,,,0.0,0.0,11641.444,0.0,7450.524,7450.524,4190.92
2020-06-06,PR,Cruzeiro do Iguaçu,6,0,33,4295,4106571,8.3,50,33,17,,,,,,,,,,,,,,0.0,0.0,11641.444,0.0,7683.353,7683.353,3958.091
