date,state,city,confirmed,deaths,recovered,estimated_population,city_ibge_code,infected_per_confirmed,infected,closed,active,diff_infected,diff_recovered,diff_deaths,diff_closed,diff_active,diff2_infected,diff2_recovered,diff2_deaths,diff2_closed,diff2_active,diff3_infected,diff4_infected,diff5_infected,μ_closed,μ_infected,infected_per_1mi,deaths_per_1mi,recovered_per_1mi,closed_per_1mi,active_per_1mi
2020-06-04,GO,Damolândia,1,0,5,2967,5206800,8.3,8,5,3,,,,,,,,,,,,,,0.0,0.0,2696.326,0.0,1685.204,1685.204,1011.122
2020-06-05,GO,Damolândia,1,0,5,2967,5206800,8.3,8,5,3,,,,,,,,,,,,,,0.0,0.0,2696.326,0.0,1685.204,1685.204,1011.122
2020-06-06,GO,Damolândia,1,0,5,2967,5206800,8.3,8,5,3,,,,,,,,,,,,,,0.0,0.0,2696.326,0.0,1685.204,1685.204,1011.122
2020-06-07,GO,Damolândia,1,0,5,2967,5206800,8.3,8,5,3,0.0,0.0,,,,,,,,,,,,0.0,0.0,2696.326,0.0,1685.204,1685.204,1011.122
2020-06-08,GO,Damolândia,1,0,5,2967,5206800,8.3,8,5,3,0.0,0.0,,,,,,,,,,,,0.0,0.0,2696.326,0.0,1685.204,1685.204,1011.122
2020-06-09,GO,Damolândia,1,0,5,2967,5206800,8.3,8,5,3,0.0,0.0,,,,,,,,,,,,0.0,0.0,2696.326,0.0,1685.204,1685.204,1011.122
2020-06-10,GO,Damolândia,1,0,5,2967,5206800,8.3,8,5,3,0.0,0.1667,,,,,,,,,,,,0.0,0.0,2696.326,0.0,1685.204,1685.204,1011.122
2020-06-11,GO,Damolândia,1,0,5,2967,5206800,8.3,8,5,3,0.0,0.1667,,,,,,,,,,,,0.0,0.0,2696.326,0.0,1685.204,1685.204,1011.122
2020-06-12,GO,Damolândia,1,0,5,2967,5206800,8.3,8,5,3,1.5,1.167,,,,,,,,,,,,0.0,0.0,2696.326,0.0,1685.204,1685.204,1011.122
2020-06-13,GO,Damolândia,1,0,6,2967,5206800,8.3,8,6,2,2.833,2.167,,,,,,,,,,,,0.0,0.0,2696.326,0.0,2022.245,2022.245,674.082
2020-06-14,GO,Damolândia,1,0,6,2967,5206800,8.3,8,6,2,,,,,,,,,,,,,,0.0,0.0,2696.326,0.0,2022.245,2022.245,674.082
2020-06-15,GO,Damolândia,2,0,12,2967,5206800,8.3,17,12,5,,,,,,,,,,,,,,0.0,0.0,5729.693,0.0,4044.489,4044.489,1685.204
2020-06-16,GO,Damolândia,3,0,18,2967,5206800,8.3,25,18,7,,,,,,,,,,,,,,0.0,0.0,8426.02,0.0,6066.734,6066.734,2359.285
