date,state,city,confirmed,deaths,recovered,estimated_population,city_ibge_code,infected_per_confirmed,infected,closed,active,diff_infected,diff_recovered,diff_deaths,diff_closed,diff_active,diff2_infected,diff2_recovered,diff2_deaths,diff2_closed,diff2_active,diff3_infected,diff4_infected,diff5_infected,μ_closed,μ_infected,infected_per_1mi,deaths_per_1mi,recovered_per_1mi,closed_per_1mi,active_per_1mi
2020-05-11,PB,Duas Estradas,1,0,5,3632,2505808,8.3,8,5,3,,,,,,,,,,,,,,0.0,0.0,2202.643,0.0,1376.652,1376.652,825.991
2020-05-12,PB,Duas Estradas,1,0,5,3632,2505808,8.3,8,5,3,,,,,,,,,,,,,,0.0,0.0,2202.643,0.0,1376.652,1376.652,825.991
2020-05-13,PB,Duas Estradas,1,0,5,3632,2505808,8.3,8,5,3,,,,,,,,,,,,,,0.0,0.0,2202.643,0.0,1376.652,1376.652,825.991
2020-05-14,PB,Duas Estradas,1,0,5,3632,2505808,8.3,8,5,3,0.0,0.0,,,,,,,,,,,,0.0,0.0,2202.643,0.0,1376.652,1376.652,825.991
2020-05-15,PB,Duas Estradas,1,0,5,3632,2505808,8.3,8,5,3,0.0,0.0,,,,,,,,,,,,0.0,0.0,2202.643,0.0,1376.652,1376.652,825.991
2020-05-16,PB,Duas Estradas,1,0,5,3632,2505808,8.3,8,5,3,4.167,2.667,,,,,,,,,,,,0.0,0.0,2202.643,0.0,1376.652,1376.652,825.991
2020-05-17,PB,Duas Estradas,1,0,5,3632,2505808,8.3,8,5,3,8.333,5.167,,,,,,,,,,,,0.0,0.0,2202.643,0.0,1376.652,1376.652,825.991
2020-05-18,PB,Duas Estradas,1,0,5,3632,2505808,8.3,8,5,3,8.333,5.167,,,,,,,,,,,,0.0,0.0,2202.643,0.0,1376.652,1376.652,825.991
2020-05-19,PB,Duas Estradas,4,0,21,3632,2505808,8.3,33,21,12,8.333,5.167,,,,1.167,0.7778,,,,,,,0.0,0.0,9085.903,0.0,5781.938,5781.938,3303.965
2020-05-20,PB,Duas Estradas,7,0,36,3632,2505808,8.3,58,36,22,15.333,9.5,,,,0.2222,0.25,,,,,,,0.0,0.0,15969.163,0.0,9911.894,9911.894,6057.269
2020-05-21,PB,Duas Estradas,7,0,36,3632,2505808,8.3,58,36,22,15.333,9.667,,,,0.4722,0.4167,,,,-0.64583,,,0.0,0.0,15969.163,0.0,9911.894,9911.894,6057.269
2020-05-22,PB,Duas Estradas,7,0,36,3632,2505808,8.3,58,36,22,11.167,7.333,,,,0.4722,0.3889,,,,-0.40972,,,0.0,0.0,15969.163,0.0,9911.894,9911.894,6057.269
2020-05-23,PB,Duas Estradas,12,0,62,3632,2505808,8.3,100,62,38,9.667,6.667,,,,-1.41667,-0.77778,,,,-0.125,,,0.0,0.0,27533.04,0.0,17070.485,17070.485,10462.555
