date,state,city,confirmed,deaths,recovered,estimated_population,city_ibge_code,infected_per_confirmed,infected,closed,active,diff_infected,diff_recovered,diff_deaths,diff_closed,diff_active,diff2_infected,diff2_recovered,diff2_deaths,diff2_closed,diff2_active,diff3_infected,diff4_infected,diff5_infected,μ_closed,μ_infected,infected_per_1mi,deaths_per_1mi,recovered_per_1mi,closed_per_1mi,active_per_1mi
2020-05-15,MA,Graça Aranha,2,0,10,6325,2104701,8.3,17,10,7,,,,,,,,,,,,,,0.0,0.0,2687.747,0.0,1581.028,1581.028,1106.719
2020-05-16,MA,Graça Aranha,2,0,10,6325,2104701,8.3,17,10,7,,,,,,,,,,,,,,0.0,0.0,2687.747,0.0,1581.028,1581.028,1106.719
2020-05-17,MA,Graça Aranha,2,0,10,6325,2104701,8.3,17,10,7,,,,,,,,,,,,,,0.0,0.0,2687.747,0.0,1581.028,1581.028,1106.719
2020-05-18,MA,Graça Aranha,2,0,10,6325,2104701,8.3,17,10,7,0.0,0.0,,,,,,,,,,,,0.0,0.0,2687.747,0.0,1581.028,1581.028,1106.719
2020-05-19,MA,Graça Aranha,2,0,10,6325,2104701,8.3,17,10,7,4.167,2.333,,,,,,,,,,,,0.0,0.0,2687.747,0.0,1581.028,1581.028,1106.719
2020-05-20,MA,Graça Aranha,2,0,10,6325,2104701,8.3,17,10,7,4.167,2.5,,,,,,,,,,,,0.0,0.0,2687.747,0.0,1581.028,1581.028,1106.719
2020-05-21,MA,Graça Aranha,2,0,10,6325,2104701,8.3,17,10,7,6.833,4.167,,,,,,,,,,,,0.0,0.0,2687.747,0.0,1581.028,1581.028,1106.719
2020-05-22,MA,Graça Aranha,5,0,24,6325,2104701,8.3,42,24,18,9.667,6.0,,,,0.2222,0.2222,,,,,,,0.0,0.0,6640.316,0.0,3794.466,3794.466,2845.85
2020-05-23,MA,Graça Aranha,5,0,25,6325,2104701,8.3,42,25,17,9.667,6.167,,,,0.9167,0.5833,,,,,,,0.0,0.0,6640.316,0.0,3952.569,3952.569,2687.747
2020-05-24,MA,Graça Aranha,7,0,35,6325,2104701,8.3,58,35,23,9.667,6.167,,,,0.02778,0.0,,,,-0.11111,,,0.0,0.0,9169.96,0.0,5533.597,5533.597,3636.364
2020-05-25,MA,Graça Aranha,9,0,46,6325,2104701,8.3,75,46,29,5.5,3.667,,,,-0.22222,-0.13889,,,,0.0,,,0.0,0.0,11857.708,0.0,7272.727,7272.727,4584.98
2020-05-26,MA,Graça Aranha,9,0,47,6325,2104701,8.3,75,47,28,9.667,6.0,,,,-0.22222,-0.11111,,,,0.5694,,,0.0,0.0,11857.708,0.0,7430.83,7430.83,4426.877
2020-05-27,MA,Graça Aranha,9,0,47,6325,2104701,8.3,75,47,28,7.0,4.167,,,,0.9167,0.5833,,,,,0.01389,,0.0,0.0,11857.708,0.0,7430.83,7430.83,4426.877
