date,state,city,confirmed,deaths,recovered,estimated_population,city_ibge_code,infected_per_confirmed,infected,closed,active,diff_infected,diff_recovered,diff_deaths,diff_closed,diff_active,diff2_infected,diff2_recovered,diff2_deaths,diff2_closed,diff2_active,diff3_infected,diff4_infected,diff5_infected,μ_closed,μ_infected,infected_per_1mi,deaths_per_1mi,recovered_per_1mi,closed_per_1mi,active_per_1mi
2020-04-02,RS,Guaíba,1,0,3,99124,4309308,8.4,8,3,5,,,,,,,,,,,,,,0.0,0.0,80.707,0.0,30.265,30.265,50.442
2020-04-03,RS,Guaíba,1,0,3,99124,4309308,8.4,8,3,5,,,,,,,,,,,,,,0.0,0.0,80.707,0.0,30.265,30.265,50.442
2020-04-04,RS,Guaíba,1,0,3,99124,4309308,8.4,8,3,5,,,,,,,,,,,,,,0.0,0.0,80.707,0.0,30.265,30.265,50.442
2020-04-05,RS,Guaíba,1,0,3,99124,4309308,8.4,8,3,5,0.0,0.0,,,,,,,,,,,,0.0,0.0,80.707,0.0,30.265,30.265,50.442
2020-04-06,RS,Guaíba,1,0,3,99124,4309308,8.4,8,3,5,0.0,0.0,,,,,,,,,,,,0.0,0.0,80.707,0.0,30.265,30.265,50.442
2020-04-07,RS,Guaíba,1,0,3,99124,4309308,8.4,8,3,5,0.0,0.0,,,,,,,,,,,,0.0,0.0,80.707,0.0,30.265,30.265,50.442
2020-04-08,RS,Guaíba,1,0,3,99124,4309308,8.4,8,3,5,0.0,0.1667,,,,,,,,,,,,0.0,0.0,80.707,0.0,30.265,30.265,50.442
2020-04-09,RS,Guaíba,1,0,3,99124,4309308,8.4,8,3,5,0.0,0.1667,,,,,,,,,,,,0.0,0.0,80.707,0.0,30.265,30.265,50.442
2020-04-10,RS,Guaíba,1,0,3,99124,4309308,8.4,8,3,5,0.0,0.1667,,,,,,,,,,,,0.0,0.0,80.707,0.0,30.265,30.265,50.442
2020-04-11,RS,Guaíba,1,0,4,99124,4309308,8.4,8,4,4,0.0,0.1667,,,,,0.08333,,,,,,,0.0,0.0,80.707,0.0,40.353,40.353,40.353
