date,state,city,confirmed,deaths,recovered,estimated_population,city_ibge_code,infected_per_confirmed,infected,closed,active,diff_infected,diff_recovered,diff_deaths,diff_closed,diff_active,diff2_infected,diff2_recovered,diff2_deaths,diff2_closed,diff2_active,diff3_infected,diff4_infected,diff5_infected,μ_closed,μ_infected,infected_per_1mi,deaths_per_1mi,recovered_per_1mi,closed_per_1mi,active_per_1mi
2020-04-25,SP,Itajobi,1,0,4,15415,3521903,7.3,7,4,3,,,,,,,,,,,,,,0.0,0.0,454.103,0.0,259.488,259.488,194.616
2020-04-26,SP,Itajobi,1,0,4,15415,3521903,7.3,7,4,3,,,,,,,,,,,,,,0.0,0.0,454.103,0.0,259.488,259.488,194.616
2020-04-27,SP,Itajobi,2,0,9,15415,3521903,7.3,15,9,6,,,,,,,,,,,,,,0.0,0.0,973.078,0.0,583.847,583.847,389.231
2020-04-28,SP,Itajobi,4,0,16,15415,3521903,7.3,29,16,13,6.167,3.5,,,,,,,,,,,,0.0,0.0,1881.284,0.0,1037.95,1037.95,843.334
2020-04-29,SP,Itajobi,4,0,16,15415,3521903,7.3,29,16,13,6.167,3.5,,,,,,,,,,,,0.0,0.0,1881.284,0.0,1037.95,1037.95,843.334
2020-04-30,SP,Itajobi,5,1,20,15415,3521903,7.3,36,21,15,4.833,2.833,,,,,,,,,,,,0.04762,0.02778,2335.388,64.872,1297.438,1362.309,973.078
2020-05-01,SP,Itajobi,6,1,25,15415,3521903,7.3,44,26,18,2.5,1.667,,,,-0.63889,-0.33333,,,,,,,0.03846,0.02273,2854.363,64.872,1621.797,1686.669,1167.694
2020-05-02,SP,Itajobi,6,1,25,15415,3521903,7.3,44,26,18,2.5,1.667,,,,-0.22222,-0.11111,,,,,,,0.03846,0.02273,2854.363,64.872,1621.797,1686.669,1167.694
2020-05-03,SP,Itajobi,6,1,26,15415,3521903,7.3,44,27,17,1.333,1.0,0.0,1.0,0.3333,0.0,0.0,,,,,,,0.03704,0.02273,2854.363,64.872,1686.669,1751.541,1102.822
2020-05-04,SP,Itajobi,6,1,26,15415,3521903,7.3,44,27,17,2.333,1.5,0.0,1.5,0.8333,0.3889,0.2222,,,,,,,0.03704,0.02273,2854.363,64.872,1686.669,1751.541,1102.822
2020-05-05,SP,Itajobi,6,1,26,15415,3521903,7.3,44,27,17,4.833,2.833,0.0,2.833,2.0,0.3889,0.25,,,,,,,0.03704,0.02273,2854.363,64.872,1686.669,1751.541,1102.822
2020-05-06,SP,Itajobi,6,1,26,15415,3521903,7.3,44,27,17,4.833,2.833,0.0,2.833,2.0,0.5833,0.3889,,,,-0.25,,,0.03704,0.02273,2854.363,64.872,1686.669,1751.541,1102.822
2020-05-07,SP,Itajobi,8,1,34,15415,3521903,7.3,58,35,23,4.833,3.0,0.0,3.0,1.833,0.02778,0.05556,,,,-0.25,,,0.02857,0.01724,3762.569,64.872,2205.644,2270.516,1492.053
2020-05-08,SP,Itajobi,10,1,42,15415,3521903,7.3,73,43,30,4.833,3.167,0.0,3.167,1.667,-0.61111,-0.27778,,,,-0.29861,,,0.02326,0.0137,4735.647,64.872,2724.619,2789.491,1946.156
2020-05-09,SP,Itajobi,10,1,43,15415,3521903,7.3,73,44,29,4.833,3.333,0.0,3.333,1.5,-0.61111,-0.33333,,,,-0.15972,,,0.02273,0.0137,4735.647,64.872,2789.491,2854.363,1881.284
