date,state,city,confirmed,deaths,recovered,estimated_population,city_ibge_code,infected_per_confirmed,infected,closed,active,diff_infected,diff_recovered,diff_deaths,diff_closed,diff_active,diff2_infected,diff2_recovered,diff2_deaths,diff2_closed,diff2_active,diff3_infected,diff4_infected,diff5_infected,μ_closed,μ_infected,infected_per_1mi,deaths_per_1mi,recovered_per_1mi,closed_per_1mi,active_per_1mi
2020-04-27,RJ,Italva,1,0,6,15359,3302056,9.8,10,6,4,,,,,,,,,,,,,,0.0,0.0,651.084,0.0,390.65,390.65,260.434
2020-04-28,RJ,Italva,0,0,0,15359,3302056,9.8,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2020-04-29,RJ,Italva,0,0,0,15359,3302056,9.8,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2020-04-30,RJ,Italva,0,0,0,15359,3302056,9.8,0,0,0,0.0,-0.16667,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2020-05-01,RJ,Italva,1,0,5,15359,3302056,9.8,10,5,5,,,,,,,,,,,,,,0.0,0.0,651.084,0.0,325.542,325.542,325.542
2020-05-02,RJ,Italva,1,0,5,15359,3302056,9.8,10,5,5,,,,,,,,,,,,,,0.0,0.0,651.084,0.0,325.542,325.542,325.542
2020-05-03,RJ,Italva,1,0,5,15359,3302056,9.8,10,5,5,,,,,,,,,,,,,,0.0,0.0,651.084,0.0,325.542,325.542,325.542
2020-05-04,RJ,Italva,1,0,6,15359,3302056,9.8,10,6,4,0.0,0.1667,,,,,,,,,,,,0.0,0.0,651.084,0.0,390.65,390.65,260.434
2020-05-05,RJ,Italva,1,0,6,15359,3302056,9.8,10,6,4,3.167,1.833,,,,,,,,,,,,0.0,0.0,651.084,0.0,390.65,390.65,260.434
2020-05-06,RJ,Italva,1,0,5,15359,3302056,9.8,10,5,5,3.167,1.833,,,,,,,,,,,,0.0,0.0,651.084,0.0,325.542,325.542,325.542
2020-05-07,RJ,Italva,1,0,6,15359,3302056,9.8,10,6,4,3.167,1.833,,,,,0.2778,,,,,,,0.0,0.0,651.084,0.0,390.65,390.65,260.434
2020-05-08,RJ,Italva,3,0,16,15359,3302056,9.8,29,16,13,3.167,1.833,,,,-0.52778,-0.27778,,,,,,,0.0,0.0,1888.144,0.0,1041.734,1041.734,846.409
2020-05-09,RJ,Italva,3,0,16,15359,3302056,9.8,29,16,13,3.167,2.0,,,,-0.52778,-0.27778,,,,,,,0.0,0.0,1888.144,0.0,1041.734,1041.734,846.409
2020-05-10,RJ,Italva,3,0,17,15359,3302056,9.8,29,17,12,3.167,1.833,,,,-0.52778,-0.30556,,,,,,,0.0,0.0,1888.144,0.0,1106.843,1106.843,781.301
2020-05-11,RJ,Italva,3,0,17,15359,3302056,9.8,29,17,12,0.0,0.1667,,,,-0.52778,-0.27778,,,,,,,0.0,0.0,1888.144,0.0,1106.843,1106.843,781.301
2020-05-12,RJ,Italva,3,0,17,15359,3302056,9.8,29,17,12,0.0,0.1667,,,,1.667,1.056,,,,,,,0.0,0.0,1888.144,0.0,1106.843,1106.843,781.301
2020-05-13,RJ,Italva,3,0,17,15359,3302056,9.8,29,17,12,0.0,0.0,,,,1.944,1.194,,,,,,,0.0,0.0,1888.144,0.0,1106.843,1106.843,781.301
2020-05-14,RJ,Italva,3,0,17,15359,3302056,9.8,29,17,12,0.0,0.1667,,,,,1.417,,,,,,,0.0,0.0,1888.144,0.0,1106.843,1106.843,781.301
2020-05-15,RJ,Italva,3,0,17,15359,3302056,9.8,29,17,12,13.167,8.333,,,,,1.417,,,,,,,0.0,0.0,1888.144,0.0,1106.843,1106.843,781.301
2020-05-16,RJ,Italva,3,0,17,15359,3302056,9.8,29,17,12,14.833,9.0,,,,,,,,,,,,0.0,0.0,1888.144,0.0,1106.843,1106.843,781.301
2020-05-17,RJ,Italva,3,0,18,15359,3302056,9.8,29,18,11,14.833,8.667,,,,,1.444,,,,,,,0.0,0.0,1888.144,0.0,1171.951,1171.951,716.192
2020-05-18,RJ,Italva,11,0,67,15359,3302056,9.8,108,67,41,14.833,8.667,,,,0.5278,0.2778,,,,,,,0.0,0.0,7031.708,0.0,4362.263,4362.263,2669.445
2020-05-19,RJ,Italva,12,1,71,15359,3302056,9.8,118,72,46,14.833,8.667,,,,-0.02778,0.1111,,,,,,,0.01389,0.00847,7682.792,65.108,4622.697,4687.805,2994.987
2020-05-20,RJ,Italva,12,1,69,15359,3302056,9.8,118,70,48,14.833,8.833,,,,0.5,0.5556,,,,1.222,,,0.01429,0.00847,7682.792,65.108,4492.48,4557.588,3125.203
2020-05-21,RJ,Italva,12,1,69,15359,3302056,9.8,118,70,48,16.333,10.0,,,,4.861,3.361,,,,,,,0.01429,0.00847,7682.792,65.108,4492.48,4557.588,3125.203
2020-05-22,RJ,Italva,12,1,69,15359,3302056,9.8,118,70,48,14.667,9.667,0.0,9.667,5.0,5.417,3.722,,,,1.507,-0.26736,,0.01429,0.00847,7682.792,65.108,4492.48,4557.588,3125.203
2020-05-23,RJ,Italva,12,1,71,15359,3302056,9.8,118,72,46,17.833,12.0,0.0,12.0,5.833,6.222,4.222,,,,0.5556,,,0.01389,0.00847,7682.792,65.108,4622.697,4687.805,2994.987
2020-05-24,RJ,Italva,21,1,127,15359,3302056,9.8,206,128,78,44.0,28.833,0.1667,29.0,15.0,6.528,4.333,,,,0.1528,-0.75,,0.00781,0.00485,13412.332,65.108,8268.767,8333.876,5078.456
