date,state,city,confirmed,deaths,recovered,estimated_population,city_ibge_code,infected_per_confirmed,infected,closed,active,diff_infected,diff_recovered,diff_deaths,diff_closed,diff_active,diff2_infected,diff2_recovered,diff2_deaths,diff2_closed,diff2_active,diff3_infected,diff4_infected,diff5_infected,μ_closed,μ_infected,infected_per_1mi,deaths_per_1mi,recovered_per_1mi,closed_per_1mi,active_per_1mi
2020-04-08,BA,Itatim,1,0,3,14632,2916856,8.3,8,3,5,,,,,,,,,,,,,,0.0,0.0,546.747,0.0,205.03,205.03,341.717
2020-04-09,BA,Itatim,1,0,3,14632,2916856,8.3,8,3,5,,,,,,,,,,,,,,0.0,0.0,546.747,0.0,205.03,205.03,341.717
2020-04-10,BA,Itatim,1,0,4,14632,2916856,8.3,8,4,4,,,,,,,,,,,,,,0.0,0.0,546.747,0.0,273.373,273.373,273.373
2020-04-11,BA,Itatim,1,0,4,14632,2916856,8.3,8,4,4,0.0,0.1667,,,,,,,,,,,,0.0,0.0,546.747,0.0,273.373,273.373,273.373
2020-04-12,BA,Itatim,1,0,4,14632,2916856,8.3,8,4,4,0.0,0.1667,,,,,,,,,,,,0.0,0.0,546.747,0.0,273.373,273.373,273.373
2020-04-13,BA,Itatim,1,0,4,14632,2916856,8.3,8,4,4,0.0,0.0,,,,,,,,,,,,0.0,0.0,546.747,0.0,273.373,273.373,273.373
2020-04-14,BA,Itatim,1,0,4,14632,2916856,8.3,8,4,4,0.0,0.0,,,,,-0.02778,,,,,,,0.0,0.0,546.747,0.0,273.373,273.373,273.373
2020-04-15,BA,Itatim,1,0,4,14632,2916856,8.3,8,4,4,0.0,0.0,,,,,0.0,,,,,,,0.0,0.0,546.747,0.0,273.373,273.373,273.373
2020-04-16,BA,Itatim,1,0,4,14632,2916856,8.3,8,4,4,0.0,0.0,,,,,,,,,,,,0.0,0.0,546.747,0.0,273.373,273.373,273.373
2020-04-17,BA,Itatim,1,0,4,14632,2916856,8.3,8,4,4,0.0,0.0,,,,,,,,,,,,0.0,0.0,546.747,0.0,273.373,273.373,273.373
