date,state,city,confirmed,deaths,recovered,estimated_population,city_ibge_code,infected_per_confirmed,infected,closed,active,diff_infected,diff_recovered,diff_deaths,diff_closed,diff_active,diff2_infected,diff2_recovered,diff2_deaths,diff2_closed,diff2_active,diff3_infected,diff4_infected,diff5_infected,μ_closed,μ_infected,infected_per_1mi,deaths_per_1mi,recovered_per_1mi,closed_per_1mi,active_per_1mi
2020-04-11,MG,Jaboticatubas,1,0,6,20344,3134608,16.5,16,6,10,,,,,,,,,,,,,,0.0,0.0,786.473,0.0,294.927,294.927,491.545
2020-04-12,MG,Jaboticatubas,1,0,7,20344,3134608,16.5,16,7,9,,,,,,,,,,,,,,0.0,0.0,786.473,0.0,344.082,344.082,442.391
2020-04-13,MG,Jaboticatubas,1,0,7,20344,3134608,16.5,16,7,9,,,,,,,,,,,,,,0.0,0.0,786.473,0.0,344.082,344.082,442.391
2020-04-14,MG,Jaboticatubas,1,0,7,20344,3134608,16.5,16,7,9,0.0,0.3333,,,,,,,,,,,,0.0,0.0,786.473,0.0,344.082,344.082,442.391
2020-04-15,MG,Jaboticatubas,1,0,7,20344,3134608,16.5,16,7,9,0.0,0.1667,,,,,,,,,,,,0.0,0.0,786.473,0.0,344.082,344.082,442.391
2020-04-16,MG,Jaboticatubas,1,0,8,20344,3134608,16.5,16,8,8,0.0,0.1667,,,,,,,,,,,,0.0,0.0,786.473,0.0,393.236,393.236,393.236
2020-04-17,MG,Jaboticatubas,1,0,8,20344,3134608,16.5,16,8,8,0.0,0.1667,,,,,0.1944,,,,,,,0.0,0.0,786.473,0.0,393.236,393.236,393.236
2020-04-18,MG,Jaboticatubas,1,0,8,20344,3134608,16.5,16,8,8,0.0,0.1667,,,,,0.25,,,,,,,0.0,0.0,786.473,0.0,393.236,393.236,393.236
2020-04-19,MG,Jaboticatubas,1,0,8,20344,3134608,16.5,16,8,8,2.833,1.5,,,,,0.25,,,,,,,0.0,0.0,786.473,0.0,393.236,393.236,393.236
2020-04-20,MG,Jaboticatubas,1,0,8,20344,3134608,16.5,16,8,8,2.833,1.5,,,,,0.25,,,,,,,0.0,0.0,786.473,0.0,393.236,393.236,393.236
2020-04-21,MG,Jaboticatubas,1,0,8,20344,3134608,16.5,16,8,8,2.833,1.667,,,,,0.25,,,,,,,0.0,0.0,786.473,0.0,393.236,393.236,393.236
2020-04-22,MG,Jaboticatubas,2,0,17,20344,3134608,16.5,33,17,16,2.833,1.667,,,,-0.47222,-0.22222,,,,,,,0.0,0.0,1622.1,0.0,835.627,835.627,786.473
2020-04-23,MG,Jaboticatubas,2,0,17,20344,3134608,16.5,33,17,16,2.833,1.667,,,,-0.47222,-0.25,,,,,,,0.0,0.0,1622.1,0.0,835.627,835.627,786.473
2020-04-24,MG,Jaboticatubas,2,0,18,20344,3134608,16.5,33,18,15,2.833,1.667,,,,-0.47222,-0.30556,,,,,,,0.0,0.0,1622.1,0.0,884.782,884.782,737.318
2020-04-25,MG,Jaboticatubas,2,0,18,20344,3134608,16.5,33,18,15,0.0,0.1667,,,,-0.47222,-0.30556,,,,,,,0.0,0.0,1622.1,0.0,884.782,884.782,737.318
2020-04-26,MG,Jaboticatubas,2,0,18,20344,3134608,16.5,33,18,15,0.0,0.0,,,,-0.47222,-0.30556,,,,,,,0.0,0.0,1622.1,0.0,884.782,884.782,737.318
2020-04-27,MG,Jaboticatubas,2,0,18,20344,3134608,16.5,33,18,15,0.0,-0.16667,,,,-0.47222,-0.27778,,,,,,,0.0,0.0,1622.1,0.0,884.782,884.782,737.318
2020-04-28,MG,Jaboticatubas,2,0,18,20344,3134608,16.5,33,18,15,0.0,-0.16667,,,,,-0.02778,,,,,,,0.0,0.0,1622.1,0.0,884.782,884.782,737.318
2020-04-29,MG,Jaboticatubas,2,0,17,20344,3134608,16.5,33,17,16,0.0,-0.16667,,,,,,,,,,,,0.0,0.0,1622.1,0.0,835.627,835.627,786.473
2020-04-30,MG,Jaboticatubas,2,0,17,20344,3134608,16.5,33,17,16,0.0,0.0,,,,,,,,,,,,0.0,0.0,1622.1,0.0,835.627,835.627,786.473
2020-05-01,MG,Jaboticatubas,2,0,17,20344,3134608,16.5,33,17,16,0.0,0.0,,,,,,,,,,,,0.0,0.0,1622.1,0.0,835.627,835.627,786.473
2020-05-02,MG,Jaboticatubas,2,0,17,20344,3134608,16.5,33,17,16,0.0,0.1667,,,,,,,,,,,,0.0,0.0,1622.1,0.0,835.627,835.627,786.473
2020-05-03,MG,Jaboticatubas,2,0,18,20344,3134608,16.5,33,18,15,0.0,0.1667,,,,,,,,,,,,0.0,0.0,1622.1,0.0,884.782,884.782,737.318
2020-05-04,MG,Jaboticatubas,2,0,18,20344,3134608,16.5,33,18,15,0.0,0.1667,,,,,,,,,,,,0.0,0.0,1622.1,0.0,884.782,884.782,737.318
2020-05-05,MG,Jaboticatubas,2,0,18,20344,3134608,16.5,33,18,15,0.0,0.1667,,,,,0.0,,,,,,,0.0,0.0,1622.1,0.0,884.782,884.782,737.318
2020-05-06,MG,Jaboticatubas,2,0,18,20344,3134608,16.5,33,18,15,0.0,0.1667,,,,,0.0,,,,,,,0.0,0.0,1622.1,0.0,884.782,884.782,737.318
2020-05-07,MG,Jaboticatubas,2,0,18,20344,3134608,16.5,33,18,15,0.0,0.1667,,,,,0.0,,,,,,,0.0,0.0,1622.1,0.0,884.782,884.782,737.318
2020-05-08,MG,Jaboticatubas,2,0,18,20344,3134608,16.5,33,18,15,0.0,0.1667,,,,,0.0,,,,,,,0.0,0.0,1622.1,0.0,884.782,884.782,737.318
2020-05-09,MG,Jaboticatubas,2,0,19,20344,3134608,16.5,33,19,14,0.0,0.1667,,,,,-0.02778,,,,,,,0.0,0.0,1622.1,0.0,933.936,933.936,688.164
