date,state,city,confirmed,deaths,recovered,estimated_population,city_ibge_code,infected_per_confirmed,infected,closed,active,diff_infected,diff_recovered,diff_deaths,diff_closed,diff_active,diff2_infected,diff2_recovered,diff2_deaths,diff2_closed,diff2_active,diff3_infected,diff4_infected,diff5_infected,μ_closed,μ_infected,infected_per_1mi,deaths_per_1mi,recovered_per_1mi,closed_per_1mi,active_per_1mi
2020-04-25,GO,Jaraguá,1,0,4,51016,5211800,8.3,8,4,4,,,,,,,,,,,,,,0.0,0.0,156.814,0.0,78.407,78.407,78.407
2020-04-26,GO,Jaraguá,1,0,4,51016,5211800,8.3,8,4,4,,,,,,,,,,,,,,0.0,0.0,156.814,0.0,78.407,78.407,78.407
2020-04-27,GO,Jaraguá,1,0,4,51016,5211800,8.3,8,4,4,,,,,,,,,,,,,,0.0,0.0,156.814,0.0,78.407,78.407,78.407
2020-04-28,GO,Jaraguá,1,0,4,51016,5211800,8.3,8,4,4,1.5,0.8333,,,,,,,,,,,,0.0,0.0,156.814,0.0,78.407,78.407,78.407
2020-04-29,GO,Jaraguá,1,0,4,51016,5211800,8.3,8,4,4,1.5,0.8333,,,,,,,,,,,,0.0,0.0,156.814,0.0,78.407,78.407,78.407
2020-04-30,GO,Jaraguá,2,0,9,51016,5211800,8.3,17,9,8,1.5,0.8333,,,,,,,,,,,,0.0,0.0,333.229,0.0,176.415,176.415,156.814
2020-05-01,GO,Jaraguá,2,0,9,51016,5211800,8.3,17,9,8,1.5,0.8333,,,,0.8889,0.5,,,,,,,0.0,0.0,333.229,0.0,176.415,176.415,156.814
2020-05-02,GO,Jaraguá,2,0,9,51016,5211800,8.3,17,9,8,1.5,0.8333,,,,0.8889,0.5,,,,,,,0.0,0.0,333.229,0.0,176.415,176.415,156.814
2020-05-03,GO,Jaraguá,2,0,9,51016,5211800,8.3,17,9,8,0.0,0.0,,,,0.8889,0.5278,,,,0.0,,,0.0,0.0,333.229,0.0,176.415,176.415,156.814
2020-05-04,GO,Jaraguá,2,0,9,51016,5211800,8.3,17,9,8,6.833,3.833,,,,0.8889,0.5278,,,,,,,0.0,0.0,333.229,0.0,176.415,176.415,156.814
2020-05-05,GO,Jaraguá,2,0,9,51016,5211800,8.3,17,9,8,6.833,3.833,,,,0.8889,0.5556,,,,-0.50694,,,0.0,0.0,333.229,0.0,176.415,176.415,156.814
2020-05-06,GO,Jaraguá,2,0,9,51016,5211800,8.3,17,9,8,6.833,4.0,,,,,,,,,-0.50694,,,0.0,0.0,333.229,0.0,176.415,176.415,156.814
2020-05-07,GO,Jaraguá,7,0,32,51016,5211800,8.3,58,32,26,6.833,4.0,,,,-1.13889,-0.58333,,,,-0.50694,,,0.0,0.0,1136.898,0.0,627.254,627.254,509.644
2020-05-08,GO,Jaraguá,7,0,32,51016,5211800,8.3,58,32,26,6.833,4.167,,,,-1.13889,-0.58333,,,,,,,0.0,0.0,1136.898,0.0,627.254,627.254,509.644
2020-05-09,GO,Jaraguá,7,0,33,51016,5211800,8.3,58,33,25,6.833,4.167,,,,-1.13889,-0.63889,,,,,,,0.0,0.0,1136.898,0.0,646.856,646.856,490.042
2020-05-10,GO,Jaraguá,7,0,33,51016,5211800,8.3,58,33,25,0.0,0.3333,,,,-1.13889,-0.61111,,,,,,,0.0,0.0,1136.898,0.0,646.856,646.856,490.042
2020-05-11,GO,Jaraguá,7,0,34,51016,5211800,8.3,58,34,24,0.0,0.3333,,,,-1.13889,-0.63889,,,,,,,0.0,0.0,1136.898,0.0,666.458,666.458,470.441
2020-05-12,GO,Jaraguá,7,0,34,51016,5211800,8.3,58,34,24,0.0,0.1667,,,,-1.13889,-0.63889,,,,,,,0.0,0.0,1136.898,0.0,666.458,666.458,470.441
2020-05-13,GO,Jaraguá,7,0,34,51016,5211800,8.3,58,34,24,0.0,0.3333,,,,,0.1111,,,,,,,0.0,0.0,1136.898,0.0,666.458,666.458,470.441
2020-05-14,GO,Jaraguá,7,0,34,51016,5211800,8.3,58,34,24,0.0,0.3333,,,,,0.2222,,,,,,,0.0,0.0,1136.898,0.0,666.458,666.458,470.441
2020-05-15,GO,Jaraguá,7,0,34,51016,5211800,8.3,58,34,24,0.0,0.3333,,,,,0.9167,,,,,,,0.0,0.0,1136.898,0.0,666.458,666.458,470.441
2020-05-16,GO,Jaraguá,7,0,35,51016,5211800,8.3,58,35,23,1.333,1.0,,,,,0.8611,,,,,,,0.0,0.0,1136.898,0.0,686.059,686.059,450.839
2020-05-17,GO,Jaraguá,7,0,36,51016,5211800,8.3,58,36,22,2.833,1.667,,,,,0.8889,,,,,,,0.0,0.0,1136.898,0.0,705.661,705.661,431.237
2020-05-18,GO,Jaraguá,7,0,36,51016,5211800,8.3,58,36,22,9.667,5.667,,,,,0.9444,,,,,,,0.0,0.0,1136.898,0.0,705.661,705.661,431.237
2020-05-19,GO,Jaraguá,8,0,40,51016,5211800,8.3,66,40,26,9.667,5.5,,,,1.167,0.75,,,,,,,0.0,0.0,1293.712,0.0,784.068,784.068,509.644
2020-05-20,GO,Jaraguá,9,0,44,51016,5211800,8.3,75,44,31,9.667,5.667,,,,0.6667,0.5278,,,,,,,0.0,0.0,1470.127,0.0,862.475,862.475,607.653
2020-05-21,GO,Jaraguá,14,0,68,51016,5211800,8.3,116,68,48,9.667,6.0,,,,-1.36111,-0.63889,,,,-0.57639,,,0.0,0.0,2273.796,0.0,1332.915,1332.915,940.881
2020-05-22,GO,Jaraguá,14,0,68,51016,5211800,8.3,116,68,48,8.333,5.5,,,,-1.13889,-0.44444,,,,-0.45139,,,0.0,0.0,2273.796,0.0,1332.915,1332.915,940.881
2020-05-23,GO,Jaraguá,14,0,70,51016,5211800,8.3,116,70,46,6.833,4.833,,,,-1.13889,-0.52778,,,,,,,0.0,0.0,2273.796,0.0,1372.119,1372.119,901.678
2020-05-24,GO,Jaraguá,14,0,72,51016,5211800,8.3,116,72,44,1.5,1.833,,,,-1.13889,-0.63889,,,,,,,0.0,0.0,2273.796,0.0,1411.322,1411.322,862.475
2020-05-25,GO,Jaraguá,14,0,73,51016,5211800,8.3,116,73,43,2.833,2.833,,,,-0.91667,-0.52778,,,,,,,0.0,0.0,2273.796,0.0,1430.924,1430.924,842.873
2020-05-26,GO,Jaraguá,14,0,73,51016,5211800,8.3,116,73,43,2.833,2.5,,,,-0.66667,-0.36111,,,,,,,0.0,0.0,2273.796,0.0,1430.924,1430.924,842.873
