date,state,city,confirmed,deaths,recovered,estimated_population,city_ibge_code,infected_per_confirmed,infected,closed,active,diff_infected,diff_recovered,diff_deaths,diff_closed,diff_active,diff2_infected,diff2_recovered,diff2_deaths,diff2_closed,diff2_active,diff3_infected,diff4_infected,diff5_infected,μ_closed,μ_infected,infected_per_1mi,deaths_per_1mi,recovered_per_1mi,closed_per_1mi,active_per_1mi
2020-05-09,MA,Lajeado Novo,1,0,5,7626,2105989,8.3,8,5,3,,,,,,,,,,,,,,0.0,0.0,1049.043,0.0,655.652,655.652,393.391
2020-05-10,MA,Lajeado Novo,0,0,0,7626,2105989,8.3,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2020-05-11,MA,Lajeado Novo,0,0,0,7626,2105989,8.3,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2020-05-12,MA,Lajeado Novo,0,0,0,7626,2105989,8.3,0,0,0,-1.33333,-0.83333,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2020-05-13,MA,Lajeado Novo,0,0,0,7626,2105989,8.3,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2020-05-14,MA,Lajeado Novo,0,0,0,7626,2105989,8.3,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2020-05-15,MA,Lajeado Novo,0,0,0,7626,2105989,8.3,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2020-05-16,MA,Lajeado Novo,0,0,0,7626,2105989,8.3,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2020-05-17,MA,Lajeado Novo,1,0,5,7626,2105989,8.3,8,5,3,,,,,,,,,,,,,,0.0,0.0,1049.043,0.0,655.652,655.652,393.391
2020-05-18,MA,Lajeado Novo,1,0,5,7626,2105989,8.3,8,5,3,,,,,,,,,,,,,,0.0,0.0,1049.043,0.0,655.652,655.652,393.391
2020-05-19,MA,Lajeado Novo,1,0,5,7626,2105989,8.3,8,5,3,,,,,,,,,,,,,,0.0,0.0,1049.043,0.0,655.652,655.652,393.391
2020-05-20,MA,Lajeado Novo,1,0,5,7626,2105989,8.3,8,5,3,0.0,0.0,,,,,,,,,,,,0.0,0.0,1049.043,0.0,655.652,655.652,393.391
2020-05-21,MA,Lajeado Novo,1,0,5,7626,2105989,8.3,8,5,3,0.0,0.0,,,,,,,,,,,,0.0,0.0,1049.043,0.0,655.652,655.652,393.391
2020-05-22,MA,Lajeado Novo,1,0,5,7626,2105989,8.3,8,5,3,0.0,0.0,,,,,,,,,,,,0.0,0.0,1049.043,0.0,655.652,655.652,393.391
2020-05-23,MA,Lajeado Novo,1,0,5,7626,2105989,8.3,8,5,3,0.0,0.0,,,,,,,,,,,,0.0,0.0,1049.043,0.0,655.652,655.652,393.391
2020-05-24,MA,Lajeado Novo,1,0,5,7626,2105989,8.3,8,5,3,0.0,0.0,,,,,,,,,,,,0.0,0.0,1049.043,0.0,655.652,655.652,393.391
2020-05-25,MA,Lajeado Novo,1,0,5,7626,2105989,8.3,8,5,3,0.0,0.0,,,,,,,,,,,,0.0,0.0,1049.043,0.0,655.652,655.652,393.391
2020-05-26,MA,Lajeado Novo,1,0,5,7626,2105989,8.3,8,5,3,0.0,0.0,,,,,,,,,,,,0.0,0.0,1049.043,0.0,655.652,655.652,393.391
2020-05-27,MA,Lajeado Novo,1,0,5,7626,2105989,8.3,8,5,3,0.0,0.0,,,,,,,,,,,,0.0,0.0,1049.043,0.0,655.652,655.652,393.391
2020-05-28,MA,Lajeado Novo,1,0,5,7626,2105989,8.3,8,5,3,0.0,0.0,,,,,,,,,,,,0.0,0.0,1049.043,0.0,655.652,655.652,393.391
2020-05-29,MA,Lajeado Novo,1,0,5,7626,2105989,8.3,8,5,3,1.5,1.0,,,,,,,,,,,,0.0,0.0,1049.043,0.0,655.652,655.652,393.391
2020-05-30,MA,Lajeado Novo,1,0,5,7626,2105989,8.3,8,5,3,1.5,1.0,,,,,,,,,,,,0.0,0.0,1049.043,0.0,655.652,655.652,393.391
2020-05-31,MA,Lajeado Novo,1,0,5,7626,2105989,8.3,8,5,3,4.167,2.833,,,,,,,,,,,,0.0,0.0,1049.043,0.0,655.652,655.652,393.391
2020-06-01,MA,Lajeado Novo,2,0,11,7626,2105989,8.3,17,11,6,5.667,3.833,,,,0.8889,0.6389,,,,,,,0.0,0.0,2229.216,0.0,1442.434,1442.434,786.782
2020-06-02,MA,Lajeado Novo,2,0,11,7626,2105989,8.3,17,11,6,8.333,5.667,,,,0.8889,0.6667,,,,,,,0.0,0.0,2229.216,0.0,1442.434,1442.434,786.782
2020-06-03,MA,Lajeado Novo,4,0,22,7626,2105989,8.3,33,22,11,8.333,5.667,,,,0.0,0.05556,,,,0.2986,,,0.0,0.0,4327.301,0.0,2884.868,2884.868,1442.434
2020-06-04,MA,Lajeado Novo,5,0,28,7626,2105989,8.3,42,28,14,6.833,4.833,,,,2.5,1.833,,,,0.2986,,,0.0,0.0,5507.474,0.0,3671.65,3671.65,1835.825
2020-06-05,MA,Lajeado Novo,7,0,39,7626,2105989,8.3,58,39,19,6.833,5.0,,,,2.083,1.556,,,,,,,0.0,0.0,7605.56,0.0,5114.083,5114.083,2491.477
2020-06-06,MA,Lajeado Novo,7,0,39,7626,2105989,8.3,58,39,19,4.167,3.167,,,,2.083,1.583,,,,,,,0.0,0.0,7605.56,0.0,5114.083,5114.083,2491.477
2020-06-07,MA,Lajeado Novo,7,0,40,7626,2105989,8.3,58,40,18,20.667,14.833,,,,,,,,,,,,0.0,0.0,7605.56,0.0,5245.214,5245.214,2360.346
2020-06-08,MA,Lajeado Novo,7,0,41,7626,2105989,8.3,58,41,17,20.833,15.0,,,,,,,,,,,,0.0,0.0,7605.56,0.0,5376.344,5376.344,2229.216
2020-06-09,MA,Lajeado Novo,7,0,41,7626,2105989,8.3,58,41,17,20.833,15.167,,,,,,,,,,,,0.0,0.0,7605.56,0.0,5376.344,5376.344,2229.216
