date,state,city,confirmed,deaths,recovered,estimated_population,city_ibge_code,infected_per_confirmed,infected,closed,active,diff_infected,diff_recovered,diff_deaths,diff_closed,diff_active,diff2_infected,diff2_recovered,diff2_deaths,diff2_closed,diff2_active,diff3_infected,diff4_infected,diff5_infected,μ_closed,μ_infected,infected_per_1mi,deaths_per_1mi,recovered_per_1mi,closed_per_1mi,active_per_1mi
2020-03-25,GO,Luziânia,1,0,2,210382,5212501,8.3,8,2,6,,,,,,,,,,,,,,0.0,0.0,38.026,0.0,9.507,9.507,28.52
2020-03-26,GO,Luziânia,1,1,2,210382,5212501,8.3,8,3,5,,,,,,,,,,,,,,0.3333,0.125,38.026,4.753,9.507,14.26,23.766
2020-03-27,GO,Luziânia,1,1,2,210382,5212501,8.3,8,3,5,,,,,,,,,,,,,,0.3333,0.125,38.026,4.753,9.507,14.26,23.766
2020-03-28,GO,Luziânia,1,1,3,210382,5212501,8.3,8,4,4,0.0,0.1667,,,,,,,,,,,,0.25,0.125,38.026,4.753,14.26,19.013,19.013
2020-03-29,GO,Luziânia,1,1,3,210382,5212501,8.3,8,4,4,0.0,0.1667,0.0,0.1667,-0.16667,,,,,,,,,0.25,0.125,38.026,4.753,14.26,19.013,19.013
2020-03-30,GO,Luziânia,1,1,3,210382,5212501,8.3,8,4,4,0.0,0.1667,0.0,0.1667,-0.16667,,,,,,,,,0.25,0.125,38.026,4.753,14.26,19.013,19.013
2020-03-31,GO,Luziânia,1,1,3,210382,5212501,8.3,8,4,4,0.0,0.0,0.0,0.0,0.0,,0.4444,,,,,,,0.25,0.125,38.026,4.753,14.26,19.013,19.013
2020-04-01,GO,Luziânia,1,1,3,210382,5212501,8.3,8,4,4,0.0,0.0,0.0,0.0,0.0,,0.4444,,,,,,,0.25,0.125,38.026,4.753,14.26,19.013,19.013
2020-04-02,GO,Luziânia,1,1,3,210382,5212501,8.3,8,4,4,0.0,0.0,0.0,0.0,0.0,,0.4167,,,,,,,0.25,0.125,38.026,4.753,14.26,19.013,19.013
2020-04-03,GO,Luziânia,1,1,3,210382,5212501,8.3,8,4,4,7.0,2.833,0.0,2.833,4.167,,,,,,,,,0.25,0.125,38.026,4.753,14.26,19.013,19.013
2020-04-04,GO,Luziânia,1,1,3,210382,5212501,8.3,8,4,4,7.0,2.833,0.0,2.833,4.167,,,,,,,,,0.25,0.125,38.026,4.753,14.26,19.013,19.013
