date,state,city,confirmed,deaths,recovered,estimated_population,city_ibge_code,infected_per_confirmed,infected,closed,active,diff_infected,diff_recovered,diff_deaths,diff_closed,diff_active,diff2_infected,diff2_recovered,diff2_deaths,diff2_closed,diff2_active,diff3_infected,diff4_infected,diff5_infected,μ_closed,μ_infected,infected_per_1mi,deaths_per_1mi,recovered_per_1mi,closed_per_1mi,active_per_1mi
2020-04-09,RJ,Paraty,1,0,4,43597,3303807,9.8,10,4,6,,,,,,,,,,,,,,0.0,0.0,229.374,0.0,91.749,91.749,137.624
2020-04-10,RJ,Paraty,1,0,5,43597,3303807,9.8,10,5,5,,,,,,,,,,,,,,0.0,0.0,229.374,0.0,114.687,114.687,114.687
2020-04-11,RJ,Paraty,1,0,5,43597,3303807,9.8,10,5,5,,,,,,,,,,,,,,0.0,0.0,229.374,0.0,114.687,114.687,114.687
2020-04-12,RJ,Paraty,1,0,5,43597,3303807,9.8,10,5,5,3.167,1.833,,,,,,,,,,,,0.0,0.0,229.374,0.0,114.687,114.687,114.687
2020-04-13,RJ,Paraty,1,0,5,43597,3303807,9.8,10,5,5,3.167,1.667,,,,,,,,,,,,0.0,0.0,229.374,0.0,114.687,114.687,114.687
2020-04-14,RJ,Paraty,1,0,5,43597,3303807,9.8,10,5,5,4.833,2.5,,,,,,,,,,,,0.0,0.0,229.374,0.0,114.687,114.687,114.687
2020-04-15,RJ,Paraty,3,0,15,43597,3303807,9.8,29,15,14,4.833,2.5,,,,-0.25,-0.11111,,,,,,,0.0,0.0,665.183,0.0,344.06,344.06,321.123
2020-04-16,RJ,Paraty,3,0,15,43597,3303807,9.8,29,15,14,4.833,2.667,,,,-0.25,-0.05556,,,,,,,0.0,0.0,665.183,0.0,344.06,344.06,321.123
2020-04-17,RJ,Paraty,4,0,20,43597,3303807,9.8,39,20,19,4.833,2.833,,,,-0.80556,-0.36111,,,,,,,0.0,0.0,894.557,0.0,458.747,458.747,435.81
2020-04-18,RJ,Paraty,4,1,20,43597,3303807,9.8,39,21,18,1.667,1.167,,,,-0.80556,-0.36111,,,,,,,0.04762,0.02564,894.557,22.937,458.747,481.685,412.872
2020-04-19,RJ,Paraty,4,1,21,43597,3303807,9.8,39,22,17,1.667,1.333,,,,-0.52778,-0.27778,,,,,,,0.04545,0.02564,894.557,22.937,481.685,504.622,389.935
2020-04-20,RJ,Paraty,4,1,22,43597,3303807,9.8,39,23,16,0.0,0.3333,,,,-0.52778,-0.30556,,,,,,,0.04348,0.02564,894.557,22.937,504.622,527.559,366.998
2020-04-21,RJ,Paraty,4,1,22,43597,3303807,9.8,39,23,16,0.0,0.3333,0.0,0.3333,-0.33333,0.0,-0.02778,,,,,,,0.04348,0.02564,894.557,22.937,504.622,527.559,366.998
2020-04-22,RJ,Paraty,4,1,23,43597,3303807,9.8,39,24,15,1.667,1.0,0.0,1.0,0.6667,0.2778,0.05556,,,,,,,0.04167,0.02564,894.557,22.937,527.559,550.497,344.06
2020-04-23,RJ,Paraty,4,1,22,43597,3303807,9.8,39,23,16,1.667,1.0,0.0,1.0,0.6667,,0.25,,,,,,,0.04348,0.02564,894.557,22.937,504.622,527.559,366.998
2020-04-24,RJ,Paraty,4,1,22,43597,3303807,9.8,39,23,16,1.667,1.0,0.0,1.0,0.6667,,0.3889,,,,0.0,,,0.04348,0.02564,894.557,22.937,504.622,527.559,366.998
2020-04-25,RJ,Paraty,5,1,27,43597,3303807,9.8,49,28,21,3.333,1.667,0.0,1.667,1.667,0.2778,0.1667,,,,,,,0.03571,0.02041,1123.931,22.937,619.309,642.246,481.685
2020-04-26,RJ,Paraty,5,1,28,43597,3303807,9.8,49,29,20,3.333,1.833,0.0,1.833,1.5,0.2778,0.1667,,,,,,,0.03448,0.02041,1123.931,22.937,642.246,665.183,458.747
2020-04-27,RJ,Paraty,5,1,28,43597,3303807,9.8,49,29,20,5.0,2.667,0.0,2.667,2.333,0.2778,0.1944,,,,-0.13889,,,0.03448,0.02041,1123.931,22.937,642.246,665.183,458.747
2020-04-28,RJ,Paraty,6,1,33,43597,3303807,9.8,59,34,25,3.333,2.0,0.0,2.0,1.333,-0.27778,-0.05556,,,,-0.27778,,,0.02941,0.01695,1353.304,22.937,756.933,779.87,573.434
2020-04-29,RJ,Paraty,6,1,33,43597,3303807,9.8,59,34,25,3.333,2.0,0.0,2.0,1.333,-0.27778,-0.08333,,,,-0.00694,,,0.02941,0.01695,1353.304,22.937,756.933,779.87,573.434
2020-04-30,RJ,Paraty,7,1,38,43597,3303807,9.8,69,39,30,3.333,2.167,0.0,2.167,1.167,-0.83333,-0.38889,,,,,,,0.02564,0.01449,1582.678,22.937,871.62,894.557,688.121
2020-05-01,RJ,Paraty,7,1,39,43597,3303807,9.8,69,40,29,1.667,1.333,0.0,1.333,0.3333,0.25,0.1667,,,,,,,0.025,0.01449,1582.678,22.937,894.557,917.494,665.183
2020-05-02,RJ,Paraty,7,1,40,43597,3303807,9.8,69,41,28,1.667,1.333,0.0,1.333,0.3333,0.25,0.1389,,,,,,,0.02439,0.01449,1582.678,22.937,917.494,940.432,642.246
