date,state,city,confirmed,deaths,recovered,estimated_population,city_ibge_code,infected_per_confirmed,infected,closed,active,diff_infected,diff_recovered,diff_deaths,diff_closed,diff_active,diff2_infected,diff2_recovered,diff2_deaths,diff2_closed,diff2_active,diff3_infected,diff4_infected,diff5_infected,μ_closed,μ_infected,infected_per_1mi,deaths_per_1mi,recovered_per_1mi,closed_per_1mi,active_per_1mi
2020-05-29,BA,Poções,0,0,0,47340,2925105,8.3,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2020-05-30,BA,Poções,1,0,5,47340,2925105,8.3,8,5,3,,,,,,,,,,,,,,0.0,0.0,168.99,0.0,105.619,105.619,63.371
2020-05-31,BA,Poções,1,0,5,47340,2925105,8.3,8,5,3,,,,,,,,,,,,,,0.0,0.0,168.99,0.0,105.619,105.619,63.371
2020-06-01,BA,Poções,0,0,0,47340,2925105,8.3,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2020-06-02,BA,Poções,0,0,0,47340,2925105,8.3,0,0,0,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2020-06-03,BA,Poções,0,0,0,47340,2925105,8.3,0,0,0,1.5,1.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2020-06-04,BA,Poções,0,0,0,47340,2925105,8.3,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2020-06-05,BA,Poções,1,0,5,47340,2925105,8.3,8,5,3,,,,,,,,,,,,,,0.0,0.0,168.99,0.0,105.619,105.619,63.371
2020-06-06,BA,Poções,2,0,11,47340,2925105,8.3,17,11,6,,,,,,4.806,3.472,,,,,,,0.0,0.0,359.104,0.0,232.362,232.362,126.743
2020-06-07,BA,Poções,7,0,40,47340,2925105,8.3,58,40,18,,,,,,,,,,,,,,0.0,0.0,1225.18,0.0,844.951,844.951,380.228
2020-06-08,BA,Poções,7,0,41,47340,2925105,8.3,58,41,17,31.833,22.5,,,,,,,,,,,,0.0,0.0,1225.18,0.0,866.075,866.075,359.104
2020-06-09,BA,Poções,12,0,70,47340,2925105,8.3,100,70,30,30.333,21.833,,,,,,,,,,,,0.0,0.0,2112.379,0.0,1478.665,1478.665,633.714
2020-06-10,BA,Poções,21,0,122,47340,2925105,8.3,174,122,52,,,,,,,,,,,,,,0.0,0.0,3675.539,0.0,2577.102,2577.102,1098.437
2020-06-11,BA,Poções,24,0,140,47340,2925105,8.3,199,140,59,,,,,,,,,,,,,,0.0,0.0,4203.633,0.0,2957.33,2957.33,1246.303
2020-06-12,BA,Poções,24,0,142,47340,2925105,8.3,199,142,57,,,,,,,,,,,,,,0.0,0.0,4203.633,0.0,2999.578,2999.578,1204.056
