date,state,city,confirmed,deaths,recovered,estimated_population,city_ibge_code,infected_per_confirmed,infected,closed,active,diff_infected,diff_recovered,diff_deaths,diff_closed,diff_active,diff2_infected,diff2_recovered,diff2_deaths,diff2_closed,diff2_active,diff3_infected,diff4_infected,diff5_infected,μ_closed,μ_infected,infected_per_1mi,deaths_per_1mi,recovered_per_1mi,closed_per_1mi,active_per_1mi
2020-05-01,RN,Riacho da Cruz,1,0,4,3615,2410702,8.3,8,4,4,,,,,,,,,,,,,,0.0,0.0,2213.001,0.0,1106.501,1106.501,1106.501
2020-05-02,RN,Riacho da Cruz,1,0,4,3615,2410702,8.3,8,4,4,,,,,,,,,,,,,,0.0,0.0,2213.001,0.0,1106.501,1106.501,1106.501
2020-05-03,RN,Riacho da Cruz,1,0,4,3615,2410702,8.3,8,4,4,,,,,,,,,,,,,,0.0,0.0,2213.001,0.0,1106.501,1106.501,1106.501
2020-05-04,RN,Riacho da Cruz,1,0,4,3615,2410702,8.3,8,4,4,0.0,0.0,,,,,,,,,,,,0.0,0.0,2213.001,0.0,1106.501,1106.501,1106.501
2020-05-05,RN,Riacho da Cruz,1,0,4,3615,2410702,8.3,8,4,4,0.0,0.0,,,,,,,,,,,,0.0,0.0,2213.001,0.0,1106.501,1106.501,1106.501
2020-05-06,RN,Riacho da Cruz,1,0,4,3615,2410702,8.3,8,4,4,,,,,,,,,,,,,,0.0,0.0,2213.001,0.0,1106.501,1106.501,1106.501
2020-05-07,RN,Riacho da Cruz,1,0,4,3615,2410702,8.3,8,4,4,,,,,,,,,,,,,,0.0,0.0,2213.001,0.0,1106.501,1106.501,1106.501
2020-05-08,RN,Riacho da Cruz,1,0,4,3615,2410702,8.3,8,4,4,,,,,,,,,,,,,,0.0,0.0,2213.001,0.0,1106.501,1106.501,1106.501
2020-05-10,RN,Riacho da Cruz,1,0,5,3615,2410702,8.3,8,5,3,,,,,,,,,,,,,,0.0,0.0,2213.001,0.0,1383.126,1383.126,829.876
2020-05-11,RN,Riacho da Cruz,1,0,5,3615,2410702,8.3,8,5,3,,,,,,,,,,,,,,0.0,0.0,2213.001,0.0,1383.126,1383.126,829.876
2020-05-12,RN,Riacho da Cruz,1,0,5,3615,2410702,8.3,8,5,3,,,,,,,,,,,,,,0.0,0.0,2213.001,0.0,1383.126,1383.126,829.876
2020-05-13,RN,Riacho da Cruz,1,0,5,3615,2410702,8.3,8,5,3,,,,,,,,,,,,,,0.0,0.0,2213.001,0.0,1383.126,1383.126,829.876
2020-05-14,RN,Riacho da Cruz,1,0,5,3615,2410702,8.3,8,5,3,,,,,,,,,,,,,,0.0,0.0,2213.001,0.0,1383.126,1383.126,829.876
2020-05-16,RN,Riacho da Cruz,1,0,5,3615,2410702,8.3,8,5,3,,,,,,,,,,,,,,0.0,0.0,2213.001,0.0,1383.126,1383.126,829.876
2020-05-17,RN,Riacho da Cruz,1,0,5,3615,2410702,8.3,8,5,3,,,,,,,,,,,,,,0.0,0.0,2213.001,0.0,1383.126,1383.126,829.876
2020-05-18,RN,Riacho da Cruz,2,1,10,3615,2410702,8.3,17,11,6,,,,,,,,,,,,,,0.09091,0.05882,4702.628,276.625,2766.252,3042.877,1659.751
2020-05-19,RN,Riacho da Cruz,3,1,15,3615,2410702,8.3,25,16,9,2.833,1.667,,,,,,,,,,,,0.0625,0.04,6915.629,276.625,4149.378,4426.003,2489.627
2020-05-20,RN,Riacho da Cruz,3,1,15,3615,2410702,8.3,25,16,9,,,,,,,,,,,,,,0.0625,0.04,6915.629,276.625,4149.378,4426.003,2489.627
2020-05-21,RN,Riacho da Cruz,3,1,15,3615,2410702,8.3,25,16,9,,,,,,,,,,,,,,0.0625,0.04,6915.629,276.625,4149.378,4426.003,2489.627
2020-05-22,RN,Riacho da Cruz,3,1,15,3615,2410702,8.3,25,16,9,,,,,,,,,,,,,,0.0625,0.04,6915.629,276.625,4149.378,4426.003,2489.627
2020-05-24,RN,Riacho da Cruz,3,1,15,3615,2410702,8.3,25,16,9,,,,,,,,,,,,,,0.0625,0.04,6915.629,276.625,4149.378,4426.003,2489.627
2020-05-25,RN,Riacho da Cruz,3,1,15,3615,2410702,8.3,25,16,9,,,,,,,,,,,,,,0.0625,0.04,6915.629,276.625,4149.378,4426.003,2489.627
2020-05-26,RN,Riacho da Cruz,6,1,31,3615,2410702,8.3,50,32,18,,,,,,,,,,,,,,0.03125,0.02,13831.259,276.625,8575.38,8852.006,4979.253
2020-05-28,RN,Riacho da Cruz,6,1,31,3615,2410702,8.3,50,32,18,,,,,,,,,,,,,,0.03125,0.02,13831.259,276.625,8575.38,8852.006,4979.253
2020-05-29,RN,Riacho da Cruz,6,1,31,3615,2410702,8.3,50,32,18,,,,,,,,,,,,,,0.03125,0.02,13831.259,276.625,8575.38,8852.006,4979.253
2020-05-31,RN,Riacho da Cruz,7,1,36,3615,2410702,8.3,58,37,21,,,,,,,,,,,,,,0.02703,0.01724,16044.26,276.625,9958.506,10235.131,5809.129
2020-06-01,RN,Riacho da Cruz,7,1,37,3615,2410702,8.3,58,38,20,,,,,,,,,,,,,,0.02632,0.01724,16044.26,276.625,10235.131,10511.757,5532.503
2020-06-02,RN,Riacho da Cruz,7,1,37,3615,2410702,8.3,58,38,20,,,,,,,,,,,,,,0.02632,0.01724,16044.26,276.625,10235.131,10511.757,5532.503
2020-06-03,RN,Riacho da Cruz,7,1,37,3615,2410702,8.3,58,38,20,,,,,,,,,,,,,,0.02632,0.01724,16044.26,276.625,10235.131,10511.757,5532.503
2020-06-04,RN,Riacho da Cruz,7,1,37,3615,2410702,8.3,58,38,20,,,,,,,,,,,,,,0.02632,0.01724,16044.26,276.625,10235.131,10511.757,5532.503
2020-06-05,RN,Riacho da Cruz,7,1,37,3615,2410702,8.3,58,38,20,,,,,,,,,,,,,,0.02632,0.01724,16044.26,276.625,10235.131,10511.757,5532.503
2020-06-07,RN,Riacho da Cruz,7,1,38,3615,2410702,8.3,58,39,19,,,,,,,,,,,,,,0.02564,0.01724,16044.26,276.625,10511.757,10788.382,5255.878
2020-06-08,RN,Riacho da Cruz,7,1,39,3615,2410702,8.3,58,40,18,,,,,,,,,,,,,,0.025,0.01724,16044.26,276.625,10788.382,11065.007,4979.253
2020-06-09,RN,Riacho da Cruz,9,1,50,3615,2410702,8.3,75,51,24,,,,,,,,,,,,,,0.01961,0.01333,20746.888,276.625,13831.259,14107.884,6639.004
2020-06-10,RN,Riacho da Cruz,9,1,50,3615,2410702,8.3,75,51,24,2.833,2.333,0.0,2.333,0.5,,,,,,,,,0.01961,0.01333,20746.888,276.625,13831.259,14107.884,6639.004
2020-06-11,RN,Riacho da Cruz,9,1,50,3615,2410702,8.3,75,51,24,,,,,,,,,,,,,,0.01961,0.01333,20746.888,276.625,13831.259,14107.884,6639.004
2020-06-12,RN,Riacho da Cruz,9,1,51,3615,2410702,8.3,75,52,23,,,,,,,,,,,,,,0.01923,0.01333,20746.888,276.625,14107.884,14384.509,6362.379
2020-06-13,RN,Riacho da Cruz,9,1,52,3615,2410702,8.3,75,53,22,,,,,,,,,,,,,,0.01887,0.01333,20746.888,276.625,14384.509,14661.134,6085.754
