date,state,city,confirmed,deaths,recovered,estimated_population,city_ibge_code,infected_per_confirmed,infected,closed,active,diff_infected,diff_recovered,diff_deaths,diff_closed,diff_active,diff2_infected,diff2_recovered,diff2_deaths,diff2_closed,diff2_active,diff3_infected,diff4_infected,diff5_infected,μ_closed,μ_infected,infected_per_1mi,deaths_per_1mi,recovered_per_1mi,closed_per_1mi,active_per_1mi
2020-03-17,AC,Rio Branco,3,0,6,411392,1200401,8.3,25,6,19,,,,,,,,,,,,,,0.0,0.0,60.769,0.0,14.585,14.585,46.185
2020-03-18,AC,Rio Branco,3,0,7,411392,1200401,8.3,25,7,18,,,,,,,,,,,,,,0.0,0.0,60.769,0.0,17.015,17.015,43.754
2020-03-19,AC,Rio Branco,4,0,7,411392,1200401,8.3,33,7,26,,,,,,,,,,,,,,0.0,0.0,80.215,0.0,17.015,17.015,63.2
2020-03-20,AC,Rio Branco,7,0,13,411392,1200401,8.3,58,13,45,19.333,4.5,,,,,,,,,,,,0.0,0.0,140.985,0.0,31.6,31.6,109.385
2020-03-21,AC,Rio Branco,11,0,22,411392,1200401,8.3,91,22,69,24.833,6.667,,,,,,,,,,,,0.0,0.0,221.2,0.0,53.477,53.477,167.723
2020-03-22,AC,Rio Branco,11,0,19,411392,1200401,8.3,91,19,72,26.333,8.5,,,,,,,,,,,,0.0,0.0,221.2,0.0,46.185,46.185,175.016
2020-03-23,AC,Rio Branco,17,0,33,411392,1200401,8.3,141,33,108,22.167,8.0,,,,0.0,1.111,,,,,,,0.0,0.0,342.739,0.0,80.215,80.215,262.523
2020-03-24,AC,Rio Branco,21,0,47,411392,1200401,8.3,174,47,127,19.5,8.167,,,,-1.13889,0.8889,,,,,,,0.0,0.0,422.954,0.0,114.246,114.246,308.708
2020-03-25,AC,Rio Branco,23,0,58,411392,1200401,8.3,191,58,133,19.5,9.333,,,,-1.86111,0.0,,,,,,,0.0,0.0,464.277,0.0,140.985,140.985,323.293
2020-03-26,AC,Rio Branco,23,0,61,411392,1200401,8.3,191,61,130,19.333,11.167,,,,-1.16667,-0.08333,,,,,,,0.0,0.0,464.277,0.0,148.277,148.277,316.0
2020-03-27,AC,Rio Branco,25,0,71,411392,1200401,8.3,208,71,137,18.0,12.0,,,,-0.72222,-0.22222,,,,,,,0.0,0.0,505.6,0.0,172.585,172.585,333.016
2020-03-28,AC,Rio Branco,25,0,75,411392,1200401,8.3,208,75,133,15.167,8.5,,,,-0.72222,-0.41667,,,,,,,0.0,0.0,505.6,0.0,182.308,182.308,323.293
2020-03-29,AC,Rio Branco,31,0,100,411392,1200401,8.3,257,100,157,15.167,7.5,,,,-2.05556,-1.36111,,,,,,,0.0,0.0,624.708,0.0,243.077,243.077,381.631
2020-03-30,AC,Rio Branco,34,0,119,411392,1200401,8.3,282,119,163,15.167,6.833,,,,-2.08333,-1.58333,,,,,,,0.0,0.0,685.478,0.0,289.262,289.262,396.216
2020-03-31,AC,Rio Branco,34,0,109,411392,1200401,8.3,282,109,173,15.167,6.833,,,,-1.36111,-0.44444,,,,,,,0.0,0.0,685.478,0.0,264.954,264.954,420.523
2020-04-01,AC,Rio Branco,34,0,106,411392,1200401,8.3,282,106,176,7.0,3.0,,,,-1.36111,-0.27778,,,,,,,0.0,0.0,685.478,0.0,257.662,257.662,427.816
2020-04-02,AC,Rio Branco,36,0,112,411392,1200401,8.3,299,112,187,5.5,2.5,,,,-0.44444,0.1944,,,,,,,0.0,0.0,726.801,0.0,272.246,272.246,454.554
2020-04-03,AC,Rio Branco,36,0,116,411392,1200401,8.3,299,116,183,7.0,5.833,,,,0.2222,0.4444,,,,,,,0.0,0.0,726.801,0.0,281.97,281.97,444.831
