date,state,city,confirmed,deaths,recovered,estimated_population,city_ibge_code,infected_per_confirmed,infected,closed,active,diff_infected,diff_recovered,diff_deaths,diff_closed,diff_active,diff2_infected,diff2_recovered,diff2_deaths,diff2_closed,diff2_active,diff3_infected,diff4_infected,diff5_infected,μ_closed,μ_infected,infected_per_1mi,deaths_per_1mi,recovered_per_1mi,closed_per_1mi,active_per_1mi
2020-05-05,SC,Rodeio,1,0,14,11667,4215109,25.0,25,14,11,,,,,,,,,,,,,,0.0,0.0,2142.796,0.0,1199.966,1199.966,942.83
2020-05-06,SC,Rodeio,1,0,14,11667,4215109,25.0,25,14,11,,,,,,,,,,,,,,0.0,0.0,2142.796,0.0,1199.966,1199.966,942.83
2020-05-07,SC,Rodeio,1,0,14,11667,4215109,25.0,25,14,11,,,,,,,,,,,,,,0.0,0.0,2142.796,0.0,1199.966,1199.966,942.83
2020-05-08,SC,Rodeio,1,0,14,11667,4215109,25.0,25,14,11,0.0,0.0,,,,,,,,,,,,0.0,0.0,2142.796,0.0,1199.966,1199.966,942.83
2020-05-09,SC,Rodeio,1,0,14,11667,4215109,25.0,25,14,11,0.0,0.1667,,,,,,,,,,,,0.0,0.0,2142.796,0.0,1199.966,1199.966,942.83
2020-05-10,SC,Rodeio,1,0,14,11667,4215109,25.0,25,14,11,0.0,0.1667,,,,,,,,,,,,0.0,0.0,2142.796,0.0,1199.966,1199.966,942.83
2020-05-11,SC,Rodeio,1,0,14,11667,4215109,25.0,25,14,11,0.0,0.0,,,,,,,,,,,,0.0,0.0,2142.796,0.0,1199.966,1199.966,942.83
2020-05-12,SC,Rodeio,1,0,15,11667,4215109,25.0,25,15,10,0.0,0.0,,,,,0.3889,,,,,,,0.0,0.0,2142.796,0.0,1285.678,1285.678,857.118
2020-05-13,SC,Rodeio,1,0,15,11667,4215109,25.0,25,15,10,0.0,0.0,,,,,0.7778,,,,,,,0.0,0.0,2142.796,0.0,1285.678,1285.678,857.118
2020-05-14,SC,Rodeio,1,0,14,11667,4215109,25.0,25,14,11,0.0,0.1667,,,,,,,,,,,,0.0,0.0,2142.796,0.0,1199.966,1199.966,942.83
