date,state,city,confirmed,deaths,recovered,estimated_population,city_ibge_code,infected_per_confirmed,infected,closed,active,diff_infected,diff_recovered,diff_deaths,diff_closed,diff_active,diff2_infected,diff2_recovered,diff2_deaths,diff2_closed,diff2_active,diff3_infected,diff4_infected,diff5_infected,μ_closed,μ_infected,infected_per_1mi,deaths_per_1mi,recovered_per_1mi,closed_per_1mi,active_per_1mi
2020-04-27,RN,Santa Maria,1,0,4,5607,2409332,8.3,8,4,4,,,,,,,,,,,,,,0.0,0.0,1426.788,0.0,713.394,713.394,713.394
2020-04-28,RN,Santa Maria,1,0,4,5607,2409332,8.3,8,4,4,,,,,,,,,,,,,,0.0,0.0,1426.788,0.0,713.394,713.394,713.394
2020-04-29,RN,Santa Maria,1,0,4,5607,2409332,8.3,8,4,4,,,,,,,,,,,,,,0.0,0.0,1426.788,0.0,713.394,713.394,713.394
2020-04-30,RN,Santa Maria,1,0,4,5607,2409332,8.3,8,4,4,0.0,0.0,,,,,,,,,,,,0.0,0.0,1426.788,0.0,713.394,713.394,713.394
2020-05-01,RN,Santa Maria,1,0,4,5607,2409332,8.3,8,4,4,0.0,0.0,,,,,,,,,,,,0.0,0.0,1426.788,0.0,713.394,713.394,713.394
2020-05-02,RN,Santa Maria,1,0,4,5607,2409332,8.3,8,4,4,0.0,0.0,,,,,,,,,,,,0.0,0.0,1426.788,0.0,713.394,713.394,713.394
2020-05-03,RN,Santa Maria,1,0,4,5607,2409332,8.3,8,4,4,0.0,0.0,,,,,,,,,,,,0.0,0.0,1426.788,0.0,713.394,713.394,713.394
2020-05-04,RN,Santa Maria,1,0,4,5607,2409332,8.3,8,4,4,0.0,0.0,,,,,,,,,,,,0.0,0.0,1426.788,0.0,713.394,713.394,713.394
2020-05-05,RN,Santa Maria,1,0,4,5607,2409332,8.3,8,4,4,1.5,0.8333,,,,,,,,,,,,0.0,0.0,1426.788,0.0,713.394,713.394,713.394
2020-05-06,RN,Santa Maria,1,0,4,5607,2409332,8.3,8,4,4,,,,,,,,,,,,,,0.0,0.0,1426.788,0.0,713.394,713.394,713.394
2020-05-07,RN,Santa Maria,1,0,4,5607,2409332,8.3,8,4,4,,,,,,,,,,,,,,0.0,0.0,1426.788,0.0,713.394,713.394,713.394
2020-05-08,RN,Santa Maria,2,0,9,5607,2409332,8.3,17,9,8,,,,,,,,,,,,,,0.0,0.0,3031.924,0.0,1605.136,1605.136,1426.788
2020-05-10,RN,Santa Maria,2,0,10,5607,2409332,8.3,17,10,7,,,,,,,,,,,,,,0.0,0.0,3031.924,0.0,1783.485,1783.485,1248.439
2020-05-11,RN,Santa Maria,2,0,10,5607,2409332,8.3,17,10,7,,,,,,,,,,,,,,0.0,0.0,3031.924,0.0,1783.485,1783.485,1248.439
2020-05-12,RN,Santa Maria,2,0,10,5607,2409332,8.3,17,10,7,,,,,,,,,,,,,,0.0,0.0,3031.924,0.0,1783.485,1783.485,1248.439
2020-05-13,RN,Santa Maria,2,0,10,5607,2409332,8.3,17,10,7,,,,,,,,,,,,,,0.0,0.0,3031.924,0.0,1783.485,1783.485,1248.439
2020-05-14,RN,Santa Maria,2,0,10,5607,2409332,8.3,17,10,7,,,,,,,,,,,,,,0.0,0.0,3031.924,0.0,1783.485,1783.485,1248.439
2020-05-16,RN,Santa Maria,3,0,14,5607,2409332,8.3,25,14,11,,,,,,,,,,,,,,0.0,0.0,4458.712,0.0,2496.879,2496.879,1961.833
2020-05-17,RN,Santa Maria,4,0,20,5607,2409332,8.3,33,20,13,,,,,,,,,,,,,,0.0,0.0,5885.5,0.0,3566.97,3566.97,2318.53
2020-05-18,RN,Santa Maria,2,0,10,5607,2409332,8.3,17,10,7,,,,,,,,,,,,,,0.0,0.0,3031.924,0.0,1783.485,1783.485,1248.439
2020-05-19,RN,Santa Maria,2,0,10,5607,2409332,8.3,17,10,7,0.0,0.1667,,,,,,,,,,,,0.0,0.0,3031.924,0.0,1783.485,1783.485,1248.439
2020-05-20,RN,Santa Maria,2,0,10,5607,2409332,8.3,17,10,7,,,,,,,,,,,,,,0.0,0.0,3031.924,0.0,1783.485,1783.485,1248.439
2020-05-21,RN,Santa Maria,2,0,10,5607,2409332,8.3,17,10,7,,,,,,,,,,,,,,0.0,0.0,3031.924,0.0,1783.485,1783.485,1248.439
2020-05-22,RN,Santa Maria,3,0,15,5607,2409332,8.3,25,15,10,,,,,,,,,,,,,,0.0,0.0,4458.712,0.0,2675.227,2675.227,1783.485
2020-05-24,RN,Santa Maria,4,0,20,5607,2409332,8.3,33,20,13,,,,,,,,,,,,,,0.0,0.0,5885.5,0.0,3566.97,3566.97,2318.53
2020-05-25,RN,Santa Maria,4,0,20,5607,2409332,8.3,33,20,13,,,,,,,,,,,,,,0.0,0.0,5885.5,0.0,3566.97,3566.97,2318.53
2020-05-26,RN,Santa Maria,4,0,20,5607,2409332,8.3,33,20,13,,,,,,,,,,,,,,0.0,0.0,5885.5,0.0,3566.97,3566.97,2318.53
2020-05-28,RN,Santa Maria,7,0,36,5607,2409332,8.3,58,36,22,,,,,,,,,,,,,,0.0,0.0,10344.213,0.0,6420.546,6420.546,3923.667
2020-05-29,RN,Santa Maria,8,0,40,5607,2409332,8.3,66,40,26,,,,,,,,,,,,,,0.0,0.0,11771.001,0.0,7133.94,7133.94,4637.061
2020-05-31,RN,Santa Maria,9,0,46,5607,2409332,8.3,75,46,29,,,,,,,,,,,,,,0.0,0.0,13376.137,0.0,8204.031,8204.031,5172.106
2020-06-01,RN,Santa Maria,9,0,48,5607,2409332,8.3,75,48,27,,,,,,,,,,,,,,0.0,0.0,13376.137,0.0,8560.728,8560.728,4815.409
2020-06-02,RN,Santa Maria,9,0,48,5607,2409332,8.3,75,48,27,,,,,,,,,,,,,,0.0,0.0,13376.137,0.0,8560.728,8560.728,4815.409
2020-06-03,RN,Santa Maria,11,0,58,5607,2409332,8.3,91,58,33,,,,,,,,,,,,,,0.0,0.0,16229.713,0.0,10344.213,10344.213,5885.5
2020-06-04,RN,Santa Maria,11,0,58,5607,2409332,8.3,91,58,33,,,,,,,,,,,,,,0.0,0.0,16229.713,0.0,10344.213,10344.213,5885.5
2020-06-05,RN,Santa Maria,11,0,58,5607,2409332,8.3,91,58,33,,,,,,,,,,,,,,0.0,0.0,16229.713,0.0,10344.213,10344.213,5885.5
2020-06-07,RN,Santa Maria,12,0,65,5607,2409332,8.3,100,65,35,,,,,,,,,,,,,,0.0,0.0,17834.849,0.0,11592.652,11592.652,6242.197
2020-06-08,RN,Santa Maria,12,0,67,5607,2409332,8.3,100,67,33,,,,,,,,,,,,,,0.0,0.0,17834.849,0.0,11949.349,11949.349,5885.5
