date,state,city,confirmed,deaths,recovered,estimated_population,city_ibge_code,infected_per_confirmed,infected,closed,active,diff_infected,diff_recovered,diff_deaths,diff_closed,diff_active,diff2_infected,diff2_recovered,diff2_deaths,diff2_closed,diff2_active,diff3_infected,diff4_infected,diff5_infected,μ_closed,μ_infected,infected_per_1mi,deaths_per_1mi,recovered_per_1mi,closed_per_1mi,active_per_1mi
2020-05-02,PB,Serra da Raiz,1,0,5,3179,2515609,8.3,8,5,3,,,,,,,,,,,,,,0.0,0.0,2516.515,0.0,1572.822,1572.822,943.693
2020-05-03,PB,Serra da Raiz,1,0,5,3179,2515609,8.3,8,5,3,,,,,,,,,,,,,,0.0,0.0,2516.515,0.0,1572.822,1572.822,943.693
2020-05-04,PB,Serra da Raiz,1,0,5,3179,2515609,8.3,8,5,3,,,,,,,,,,,,,,0.0,0.0,2516.515,0.0,1572.822,1572.822,943.693
2020-05-05,PB,Serra da Raiz,1,0,5,3179,2515609,8.3,8,5,3,1.5,0.8333,,,,,,,,,,,,0.0,0.0,2516.515,0.0,1572.822,1572.822,943.693
2020-05-06,PB,Serra da Raiz,1,0,5,3179,2515609,8.3,8,5,3,2.833,1.667,,,,,,,,,,,,0.0,0.0,2516.515,0.0,1572.822,1572.822,943.693
2020-05-07,PB,Serra da Raiz,2,0,10,3179,2515609,8.3,17,10,7,2.833,1.667,,,,,,,,,,,,0.0,0.0,5347.594,0.0,3145.643,3145.643,2201.95
2020-05-08,PB,Serra da Raiz,2,0,10,3179,2515609,8.3,17,10,7,2.833,1.667,,,,0.1944,0.1389,,,,,,,0.0,0.0,5347.594,0.0,3145.643,3145.643,2201.95
2020-05-09,PB,Serra da Raiz,3,0,15,3179,2515609,8.3,25,15,10,2.833,1.833,,,,-0.25,-0.13889,,,,,,,0.0,0.0,7864.108,0.0,4718.465,4718.465,3145.643
2020-05-10,PB,Serra da Raiz,3,0,15,3179,2515609,8.3,25,15,10,1.333,1.0,,,,0.0,0.02778,,,,-0.04861,,,0.0,0.0,7864.108,0.0,4718.465,4718.465,3145.643
2020-05-11,PB,Serra da Raiz,3,0,15,3179,2515609,8.3,25,15,10,2.667,1.667,,,,0.0,0.02778,,,,,,,0.0,0.0,7864.108,0.0,4718.465,4718.465,3145.643
2020-05-12,PB,Serra da Raiz,3,0,16,3179,2515609,8.3,25,16,9,1.333,0.8333,,,,0.0,-0.02778,,,,,,,0.0,0.0,7864.108,0.0,5033.029,5033.029,2831.079
2020-05-13,PB,Serra da Raiz,3,0,16,3179,2515609,8.3,25,16,9,2.833,1.833,,,,0.25,0.1111,,,,,,,0.0,0.0,7864.108,0.0,5033.029,5033.029,2831.079
2020-05-14,PB,Serra da Raiz,4,0,20,3179,2515609,8.3,33,20,13,2.833,1.833,,,,-0.19444,-0.11111,,,,,,,0.0,0.0,10380.623,0.0,6291.287,6291.287,4089.336
2020-05-15,PB,Serra da Raiz,4,0,20,3179,2515609,8.3,33,20,13,2.833,1.667,,,,0.02778,0.02778,,,,-0.06944,,,0.0,0.0,10380.623,0.0,6291.287,6291.287,4089.336
2020-05-16,PB,Serra da Raiz,5,0,26,3179,2515609,8.3,42,26,16,2.833,1.667,,,,-0.25,-0.16667,,,,,,,0.0,0.0,13211.702,0.0,8178.673,8178.673,5033.029
2020-05-17,PB,Serra da Raiz,5,0,26,3179,2515609,8.3,42,26,16,1.5,1.0,,,,-0.02778,-0.02778,,,,-0.06944,,,0.0,0.0,13211.702,0.0,8178.673,8178.673,5033.029
2020-05-18,PB,Serra da Raiz,5,0,26,3179,2515609,8.3,42,26,16,1.5,1.0,,,,-0.02778,0.02778,,,,,,,0.0,0.0,13211.702,0.0,8178.673,8178.673,5033.029
2020-05-19,PB,Serra da Raiz,5,0,26,3179,2515609,8.3,42,26,16,1.333,0.8333,,,,-0.25,-0.08333,,,,,,,0.0,0.0,13211.702,0.0,8178.673,8178.673,5033.029
2020-05-20,PB,Serra da Raiz,5,0,26,3179,2515609,8.3,42,26,16,2.667,1.667,,,,-0.02778,0.02778,,,,,,,0.0,0.0,13211.702,0.0,8178.673,8178.673,5033.029
2020-05-21,PB,Serra da Raiz,5,0,26,3179,2515609,8.3,42,26,16,2.667,1.833,,,,-0.02778,0.02778,,,,,,,0.0,0.0,13211.702,0.0,8178.673,8178.673,5033.029
2020-05-22,PB,Serra da Raiz,6,0,31,3179,2515609,8.3,50,31,19,1.333,1.167,,,,0.4722,0.3611,,,,,,,0.0,0.0,15728.216,0.0,9751.494,9751.494,5976.722
2020-05-23,PB,Serra da Raiz,7,0,36,3179,2515609,8.3,58,36,22,1.333,1.167,,,,0.25,0.2222,,,,,,,0.0,0.0,18244.731,0.0,11324.316,11324.316,6920.415
2020-05-24,PB,Serra da Raiz,7,0,37,3179,2515609,8.3,58,37,21,1.333,1.167,,,,0.25,0.1389,,,,0.1111,,,0.0,0.0,18244.731,0.0,11638.88,11638.88,6605.851
2020-05-25,PB,Serra da Raiz,6,0,33,3179,2515609,8.3,50,33,17,4.167,3.0,,,,0.6944,0.3889,,,,0.1667,,,0.0,0.0,15728.216,0.0,10380.623,10380.623,5347.594
2020-05-26,PB,Serra da Raiz,6,0,33,3179,2515609,8.3,50,33,17,4.167,3.0,,,,0.9167,0.5833,,,,-0.125,-0.11458,,0.0,0.0,15728.216,0.0,10380.623,10380.623,5347.594
2020-05-27,PB,Serra da Raiz,6,0,33,3179,2515609,8.3,50,33,17,4.167,2.667,,,,0.9167,0.5833,,,,-0.29167,-0.14236,,0.0,0.0,15728.216,0.0,10380.623,10380.623,5347.594
2020-05-28,PB,Serra da Raiz,9,0,49,3179,2515609,8.3,75,49,26,5.5,3.5,,,,-0.25,-0.16667,,,,-0.34722,,,0.0,0.0,23592.325,0.0,15413.652,15413.652,8178.673
2020-05-29,PB,Serra da Raiz,10,0,54,3179,2515609,8.3,83,54,29,6.833,4.667,,,,-0.47222,-0.30556,,,,-0.40278,,,0.0,0.0,26108.839,0.0,16986.474,16986.474,9122.366
2020-05-30,PB,Serra da Raiz,10,0,53,3179,2515609,8.3,83,53,30,6.833,4.667,,,,-0.47222,-0.22222,,,,,,,0.0,0.0,26108.839,0.0,16671.909,16671.909,9436.93
2020-05-31,PB,Serra da Raiz,10,0,54,3179,2515609,8.3,83,54,29,2.667,2.0,,,,-0.69444,-0.38889,,,,,,,0.0,0.0,26108.839,0.0,16986.474,16986.474,9122.366
2020-06-01,PB,Serra da Raiz,11,0,61,3179,2515609,8.3,91,61,30,1.333,1.167,,,,-1.13889,-0.72222,,,,,,,0.0,0.0,28625.354,0.0,19188.424,19188.424,9436.93
2020-06-02,PB,Serra da Raiz,11,0,61,3179,2515609,8.3,91,61,30,1.333,1.333,,,,-1.13889,-0.69444,,,,,,,0.0,0.0,28625.354,0.0,19188.424,19188.424,9436.93
2020-06-03,PB,Serra da Raiz,11,0,61,3179,2515609,8.3,91,61,30,1.333,1.167,,,,-0.44444,-0.25,,,,,,,0.0,0.0,28625.354,0.0,19188.424,19188.424,9436.93
2020-06-04,PB,Serra da Raiz,11,0,61,3179,2515609,8.3,91,61,30,0.0,0.3333,,,,0.02778,0.05556,,,,,,,0.0,0.0,28625.354,0.0,19188.424,19188.424,9436.93
2020-06-05,PB,Serra da Raiz,11,0,61,3179,2515609,8.3,91,61,30,0.0,0.5,,,,0.02778,0.02778,,,,,,,0.0,0.0,28625.354,0.0,19188.424,19188.424,9436.93
2020-06-06,PB,Serra da Raiz,11,0,61,3179,2515609,8.3,91,61,30,0.0,0.5,,,,0.02778,0.08333,,,,,,,0.0,0.0,28625.354,0.0,19188.424,19188.424,9436.93
2020-06-07,PB,Serra da Raiz,11,0,63,3179,2515609,8.3,91,63,28,1.5,1.5,,,,,,,,,,,,0.0,0.0,28625.354,0.0,19817.553,19817.553,8807.801
2020-06-08,PB,Serra da Raiz,11,0,64,3179,2515609,8.3,91,64,27,1.5,1.5,,,,,,,,,,,,0.0,0.0,28625.354,0.0,20132.117,20132.117,8493.237
2020-06-09,PB,Serra da Raiz,11,0,64,3179,2515609,8.3,91,64,27,1.5,1.667,,,,,,,,,,,,0.0,0.0,28625.354,0.0,20132.117,20132.117,8493.237
2020-06-10,PB,Serra da Raiz,12,0,70,3179,2515609,8.3,100,70,30,,,,,,,,,,,,,,0.0,0.0,31456.433,0.0,22019.503,22019.503,9436.93
2020-06-11,PB,Serra da Raiz,12,0,70,3179,2515609,8.3,100,70,30,,,,,,,,,,,,,,0.0,0.0,31456.433,0.0,22019.503,22019.503,9436.93
2020-06-12,PB,Serra da Raiz,12,0,71,3179,2515609,8.3,100,71,29,,,,,,,,,,,,,,0.0,0.0,31456.433,0.0,22334.067,22334.067,9122.366
