date,state,city,confirmed,deaths,recovered,estimated_population,city_ibge_code,infected_per_confirmed,infected,closed,active,diff_infected,diff_recovered,diff_deaths,diff_closed,diff_active,diff2_infected,diff2_recovered,diff2_deaths,diff2_closed,diff2_active,diff3_infected,diff4_infected,diff5_infected,μ_closed,μ_infected,infected_per_1mi,deaths_per_1mi,recovered_per_1mi,closed_per_1mi,active_per_1mi
2020-04-16,CE,São Gonçalo do Amarante,1,0,9,48906,2312403,19.3,19,9,10,,,,,,,,,,,,,,0.0,0.0,388.5,0.0,184.026,184.026,204.474
2020-04-17,CE,São Gonçalo do Amarante,2,1,19,48906,2312403,19.3,39,20,19,,,,,,,,,,,,,,0.05,0.02564,797.448,20.447,388.5,408.948,388.5
2020-04-18,CE,São Gonçalo do Amarante,2,1,19,48906,2312403,19.3,39,20,19,,,,,,,,,,,,,,0.05,0.02564,797.448,20.447,388.5,408.948,388.5
2020-04-19,CE,São Gonçalo do Amarante,3,1,29,48906,2312403,19.3,58,30,28,16.167,8.833,,,,,,,,,,,,0.03333,0.01724,1185.949,20.447,592.974,613.422,572.527
2020-04-20,CE,São Gonçalo do Amarante,5,1,50,48906,2312403,19.3,96,51,45,12.833,7.0,0.0,7.0,5.833,,,,,,,,,0.01961,0.01042,1962.949,20.447,1022.369,1042.817,920.132
2020-04-21,CE,São Gonçalo do Amarante,5,1,51,48906,2312403,19.3,96,52,44,22.5,12.167,0.0,12.167,10.333,,,,,,,,,0.01923,0.01042,1962.949,20.447,1042.817,1063.264,899.685
2020-04-22,CE,São Gonçalo do Amarante,6,1,62,48906,2312403,19.3,116,63,53,41.833,21.833,0.0,21.833,20.0,3.194,1.611,,,,,,,0.01587,0.00862,2371.897,20.447,1267.738,1288.185,1083.712
2020-04-23,CE,São Gonçalo do Amarante,6,1,61,48906,2312403,19.3,116,62,54,38.667,20.5,0.0,20.5,18.167,6.972,3.583,,,,,,,0.01613,0.00862,2371.897,20.447,1247.291,1267.738,1104.159
2020-04-24,CE,São Gonçalo do Amarante,9,1,92,48906,2312403,19.3,174,93,81,38.667,20.667,0.0,20.667,18.0,13.389,6.778,,,,0.8056,,,0.01075,0.00575,3557.846,20.447,1881.16,1901.607,1656.238
2020-04-25,CE,São Gonçalo do Amarante,16,1,160,48906,2312403,19.3,309,161,148,35.333,18.5,0.0,18.5,16.833,6.417,3.528,,,,-0.13889,,,0.00621,0.00324,6318.243,20.447,3271.582,3292.03,3026.214
2020-04-26,CE,São Gonçalo do Amarante,17,1,173,48906,2312403,19.3,328,174,154,54.667,28.5,0.3333,28.833,25.833,6.417,3.667,,,,-0.79861,-0.90278,,0.00575,0.00305,6706.744,20.447,3537.398,3557.846,3148.898
2020-04-27,CE,São Gonçalo do Amarante,17,1,175,48906,2312403,19.3,328,176,152,102.833,52.833,0.3333,53.167,49.667,6.417,3.889,,,,-0.66667,,,0.00568,0.00305,6706.744,20.447,3578.293,3598.74,3108.003
2020-04-28,CE,São Gonçalo do Amarante,17,1,173,48906,2312403,19.3,328,174,154,80.333,43.0,0.3333,43.333,37.0,10.194,6.139,,,,-2.80556,,,0.00575,0.00305,6706.744,20.447,3537.398,3557.846,3148.898
2020-04-29,CE,São Gonçalo do Amarante,23,3,232,48906,2312403,19.3,444,235,209,77.167,42.5,0.3333,42.833,34.333,3.75,2.944,-0.05556,2.889,0.8611,2.021,,,0.01277,0.00676,9078.641,61.342,4743.794,4805.136,4273.504
2020-04-30,CE,São Gonçalo do Amarante,41,3,409,48906,2312403,19.3,791,412,379,77.167,44.0,0.3333,44.333,32.833,-4.80556,-1.41667,-0.05556,-1.47222,-3.33333,3.083,,,0.00728,0.00379,16173.885,61.342,8362.982,8424.324,7749.56
2020-05-01,CE,São Gonçalo do Amarante,41,3,418,48906,2312403,19.3,791,421,370,96.5,55.333,0.3333,55.667,40.833,14.5,8.5,-0.05556,8.444,6.056,4.965,0.8333,,0.00713,0.00379,16173.885,61.342,8547.009,8608.351,7565.534
2020-05-02,CE,São Gonçalo do Amarante,41,3,428,48906,2312403,19.3,791,431,360,77.167,46.167,0.0,46.167,31.0,22.528,12.139,-0.05556,12.083,10.444,,-0.36979,,0.00696,0.00379,16173.885,61.342,8751.482,8812.825,7361.06
2020-05-03,CE,São Gonçalo do Amarante,41,3,439,48906,2312403,19.3,791,442,349,74.0,44.333,0.0,44.333,29.667,23.611,12.528,-0.05556,12.472,11.139,5.354,-2.85243,-0.73611,0.00679,0.00379,16173.885,61.342,8976.404,9037.746,7136.139
2020-05-04,CE,São Gonçalo do Amarante,47,3,505,48906,2312403,19.3,907,508,399,167.333,94.0,0.0,94.0,73.333,18.222,10.333,-0.02778,10.306,7.917,1.604,,,0.00591,0.00331,18545.782,61.342,10325.931,10387.274,8158.508
2020-05-05,CE,São Gonçalo do Amarante,47,3,509,48906,2312403,19.3,907,512,395,212.333,115.333,0.0,115.333,97.0,35.917,20.944,,,,-6.44444,-2.11111,,0.00586,0.00331,18545.782,61.342,10407.721,10469.063,8076.719
2020-05-06,CE,São Gonçalo do Amarante,64,3,675,48906,2312403,19.3,1235,678,557,218.833,119.167,0.0,119.167,99.667,28.944,18.111,,,,-3.21528,-0.60069,,0.00442,0.00243,25252.525,61.342,13801.987,13863.33,11389.196
2020-05-07,CE,São Gonçalo do Amarante,93,3,982,48906,2312403,19.3,1795,985,810,205.833,117.333,0.1667,117.5,88.333,-2.16667,1.111,,,,-3.09028,,,0.00305,0.00167,36703.063,61.342,20079.336,20140.678,16562.385
2020-05-08,CE,São Gonçalo do Amarante,107,3,1120,48906,2312403,19.3,2065,1123,942,292.667,171.833,0.1667,172.0,120.667,5.361,6.556,,,,-0.79861,,,0.00267,0.00145,42223.858,61.342,22901.076,22962.418,19261.44
2020-05-09,CE,São Gonçalo do Amarante,109,3,1154,48906,2312403,19.3,2104,1157,947,247.667,153.0,0.1667,153.167,94.5,23.556,15.472,,,,,,,0.00259,0.00143,43021.306,61.342,23596.287,23657.629,19363.677
2020-05-10,CE,São Gonçalo do Amarante,111,4,1209,48906,2312403,19.3,2142,1213,929,154.333,100.667,0.3333,101.0,53.333,25.75,15.306,0.02778,15.333,10.417,7.375,,,0.0033,0.00187,43798.307,81.79,24720.893,24802.683,18995.624
2020-05-11,CE,São Gonçalo do Amarante,138,4,1540,48906,2312403,19.3,2663,1544,1119,244.5,154.667,0.3333,155.0,89.5,1.083,1.806,0.02778,1.833,-0.75,8.188,,,0.00259,0.0015,54451.397,81.79,31488.979,31570.768,22880.628
2020-05-12,CE,São Gonçalo do Amarante,141,4,1593,48906,2312403,19.3,2721,1597,1124,360.167,212.0,0.3333,212.333,147.833,34.861,20.083,0.08333,20.167,14.694,5.222,-1.47743,,0.0025,0.00147,55637.345,81.79,32572.69,32654.48,22982.865
2020-05-13,CE,São Gonçalo do Amarante,141,5,1586,48906,2312403,19.3,2721,1591,1130,360.333,209.167,0.3333,209.5,150.833,56.306,32.139,0.05556,32.194,24.111,1.611,-2.58333,,0.00314,0.00184,55637.345,102.237,32429.559,32531.796,23105.549
2020-05-14,CE,São Gonçalo do Amarante,183,5,2048,48906,2312403,19.3,3532,2053,1479,299.167,182.667,0.3333,183.0,116.167,46.639,25.611,0.05556,25.667,20.972,1.465,-4.52257,,0.00244,0.00142,72220.177,102.237,41876.252,41978.489,30241.688
2020-05-15,CE,São Gonçalo do Amarante,221,5,2426,48906,2312403,19.3,4265,2431,1834,456.833,273.5,0.6667,274.167,182.667,7.528,5.806,0.1667,5.972,1.556,-2.14583,-1.71007,,0.00206,0.00117,87208.114,102.237,49605.365,49707.602,37500.511
2020-05-16,CE,São Gonçalo do Amarante,223,6,2464,48906,2312403,19.3,4304,2470,1834,492.167,293.5,0.6667,294.167,198.0,40.722,24.75,0.1389,24.889,15.833,-12.86806,-5.82639,,0.00243,0.00139,88005.562,122.684,50382.366,50505.051,37500.511
2020-05-17,CE,São Gonçalo do Amarante,231,6,2636,48906,2312403,19.3,4458,2642,1816,524.333,308.333,0.6667,309.0,215.333,47.722,26.694,0.1389,26.833,20.889,-5.22917,,,0.00227,0.00135,91154.46,122.684,53899.317,54022.001,37132.458
2020-05-18,CE,São Gonçalo do Amarante,283,8,3234,48906,2312403,19.3,5462,3242,2220,405.333,246.833,1.333,248.167,157.167,-4.83333,-2.02778,0.02778,-2.0,-2.83333,-21.84028,,,0.00247,0.00146,111683.638,163.579,66126.856,66290.435,45393.203
2020-05-19,CE,São Gonçalo do Amarante,294,9,3347,48906,2312403,19.3,5674,3356,2318,604.667,357.667,1.167,358.833,245.833,-13.38889,-3.0,0.02778,-2.97222,-10.41667,-18.63194,,,0.00268,0.00159,116018.484,184.026,68437.411,68621.437,47397.047
2020-05-20,CE,São Gonçalo do Amarante,346,9,3898,48906,2312403,19.3,6678,3907,2771,585.5,342.833,1.167,344.0,241.5,-46.63889,-19.19444,0.02778,-19.16667,-27.47222,,,,0.0023,0.00135,136547.663,184.026,79703.922,79887.948,56659.715
2020-05-21,CE,São Gonçalo do Amarante,347,13,3907,48906,2312403,19.3,6697,3920,2777,427.833,261.333,0.8333,262.167,165.667,-26.80556,-8.69444,-0.16667,-8.86111,-17.94444,,,,0.00332,0.00194,136936.163,265.816,79887.948,80153.764,56782.399
2020-05-22,CE,São Gonçalo do Amarante,411,13,4610,48906,2312403,19.3,7932,4623,3309,411.833,275.5,0.8333,276.333,135.5,-94.86111,-48.41667,-0.13889,-48.55556,-46.30556,,,,0.00281,0.00164,162188.689,265.816,94262.463,94528.279,67660.41
2020-05-23,CE,São Gonçalo do Amarante,413,13,4693,48906,2312403,19.3,7971,4706,3265,244.5,193.167,0.8333,194.0,50.5,-90.08333,-47.41667,-0.13889,-47.55556,-42.52778,,,,0.00276,0.00163,162986.137,265.816,95959.596,96225.412,66760.725
2020-05-24,CE,São Gonçalo do Amarante,416,13,4802,48906,2312403,19.3,8029,4815,3214,244.5,194.667,0.3333,195.0,49.5,112.583,68.472,-0.05556,68.417,44.167,,,,0.0027,0.00162,164172.085,265.816,98188.361,98454.177,65717.908
2020-05-25,CE,São Gonçalo do Amarante,422,14,5000,48906,2312403,19.3,8145,5014,3131,35.5,67.167,0.3333,67.5,-32.0,112.556,67.056,-0.08333,66.972,45.583,,,,0.00279,0.00172,166543.982,286.263,102236.944,102523.208,64020.775
2020-05-26,CE,São Gonçalo do Amarante,422,14,5057,48906,2312403,19.3,8145,5071,3074,45.0,58.333,0.3333,58.667,-13.66667,175.278,109.361,-0.02778,109.333,65.944,28.806,,,0.00276,0.00172,166543.982,286.263,103402.446,103688.709,62855.273
2020-05-27,CE,São Gonçalo do Amarante,423,15,5075,48906,2312403,19.3,8164,5090,3074,1103.333,672.167,0.5,672.667,430.667,191.917,118.25,0.08333,118.333,73.583,,,,0.00295,0.00184,166932.483,306.711,103770.499,104077.209,62855.273
2020-05-28,CE,São Gonçalo do Amarante,422,15,5013,48906,2312403,19.3,8145,5028,3117,1087.167,677.833,0.3333,678.167,409.0,227.806,141.361,0.08333,141.444,86.361,,,,0.00298,0.00184,166543.982,306.711,102502.76,102809.471,63734.511
2020-05-29,CE,São Gonçalo do Amarante,427,15,5043,48906,2312403,19.3,8241,5058,3183,1296.167,849.333,0.6667,850.0,446.167,,,,,,,,,0.00297,0.00182,168506.932,306.711,103116.182,103422.893,65084.039
2020-05-30,CE,São Gonçalo do Amarante,759,16,8835,48906,2312403,19.3,14649,8851,5798,1396.0,904.167,0.8333,905.0,491.0,,,,,,,,,0.00181,0.00109,299533.8,327.158,180652.681,180979.839,118553.961
2020-05-31,CE,São Gonçalo do Amarante,760,16,9067,48906,2312403,19.3,14668,9083,5585,1402.333,915.333,0.8333,916.167,486.167,,,,,,,,,0.00176,0.00109,299922.3,327.158,185396.475,185723.633,114198.667
2020-06-01,CE,São Gonçalo do Amarante,825,18,10153,48906,2312403,19.3,15922,10171,5751,,,,,,,,,,,,,,0.00177,0.00113,325563.326,368.053,207602.339,207970.392,117592.933
2020-06-02,CE,São Gonçalo do Amarante,857,20,10500,48906,2312403,19.3,16540,10520,6020,,,,,,,,,,,,,,0.0019,0.00121,338199.812,408.948,214697.583,215106.531,123093.281
2020-06-03,CE,São Gonçalo do Amarante,858,20,10505,48906,2312403,19.3,16559,10525,6034,,,,,,,,,,,,,,0.0019,0.00121,338588.312,408.948,214799.82,215208.768,123379.544
2020-06-05,CE,São Gonçalo do Amarante,965,22,11807,48906,2312403,19.3,18624,11829,6795,,,,,,,,,,,,,,0.00186,0.00118,380812.17,449.843,241422.32,241872.163,138940.007
2020-06-06,CE,São Gonçalo do Amarante,993,22,12259,48906,2312403,19.3,19165,12281,6884,,,,,,,,,,,,,,0.00179,0.00115,391874.208,449.843,250664.54,251114.383,140759.825
2020-06-07,CE,São Gonçalo do Amarante,1040,22,13114,48906,2312403,19.3,20072,13136,6936,,,,,,,,,,,,,,0.00167,0.0011,410419.989,449.843,268147.058,268596.9,141823.089
2020-06-08,CE,São Gonçalo do Amarante,1090,23,14075,48906,2312403,19.3,21037,14098,6939,617.667,528.5,0.5,529.0,88.667,,,,,,,,,0.00163,0.00109,430151.72,470.29,287796.998,288267.288,141884.431
2020-06-09,CE,São Gonçalo do Amarante,1111,24,14324,48906,2312403,19.3,21442,14348,7094,627.167,547.833,0.5,548.333,78.833,,,,,,,,,0.00167,0.00112,438432.912,490.737,292888.398,293379.135,145053.777
2020-06-10,CE,São Gonçalo do Amarante,1149,24,14807,48906,2312403,19.3,22176,14831,7345,476.0,445.667,0.5,446.167,29.833,,,,,,,,,0.00162,0.00108,453441.296,490.737,302764.487,303255.224,150186.071
2020-06-11,CE,São Gonçalo do Amarante,1157,25,14978,48906,2312403,19.3,22330,15003,7327,315.167,337.333,0.3333,337.667,-22.5,,,,,,,,,0.00167,0.00112,456590.193,511.185,306260.99,306772.175,149818.018
2020-06-12,CE,São Gonçalo do Amarante,1188,25,15546,48906,2312403,19.3,22928,15571,7357,,,,,,,,,,,,,,0.00161,0.00109,468817.732,511.185,317875.107,318386.292,150431.44
2020-06-13,CE,São Gonçalo do Amarante,1188,25,15788,48906,2312403,19.3,22928,15813,7115,,,,,,,,,,,,,,0.00158,0.00109,468817.732,511.185,322823.375,323334.56,145483.172
2020-06-14,CE,São Gonçalo do Amarante,1188,25,16099,48906,2312403,19.3,22928,16124,6804,,,,,,,,,,,,,,0.00155,0.00109,468817.732,511.185,329182.513,329693.698,139124.034
