date,state,city,confirmed,deaths,recovered,estimated_population,city_ibge_code,infected_per_confirmed,infected,closed,active,diff_infected,diff_recovered,diff_deaths,diff_closed,diff_active,diff2_infected,diff2_recovered,diff2_deaths,diff2_closed,diff2_active,diff3_infected,diff4_infected,diff5_infected,μ_closed,μ_infected,infected_per_1mi,deaths_per_1mi,recovered_per_1mi,closed_per_1mi,active_per_1mi
2020-04-24,MA,São João Batista,1,0,5,20872,2111003,8.3,8,5,3,,,,,,,,,,,,,,0.0,0.0,383.289,0.0,239.555,239.555,143.733
2020-04-25,MA,São João Batista,1,0,4,20872,2111003,8.3,8,4,4,,,,,,,,,,,,,,0.0,0.0,383.289,0.0,191.644,191.644,191.644
2020-04-26,MA,São João Batista,1,0,5,20872,2111003,8.3,8,5,3,,,,,,,,,,,,,,0.0,0.0,383.289,0.0,239.555,239.555,143.733
2020-04-27,MA,São João Batista,1,0,5,20872,2111003,8.3,8,5,3,0.0,-0.16667,,,,,,,,,,,,0.0,0.0,383.289,0.0,239.555,239.555,143.733
2020-04-28,MA,São João Batista,1,0,5,20872,2111003,8.3,8,5,3,0.0,0.1667,,,,,,,,,,,,0.0,0.0,383.289,0.0,239.555,239.555,143.733
2020-04-29,MA,São João Batista,1,0,4,20872,2111003,8.3,8,4,4,2.833,1.5,,,,,,,,,,,,0.0,0.0,383.289,0.0,191.644,191.644,191.644
2020-04-30,MA,São João Batista,1,0,4,20872,2111003,8.3,8,4,4,2.833,1.667,,,,,,,,,,,,0.0,0.0,383.289,0.0,191.644,191.644,191.644
2020-05-01,MA,São João Batista,1,0,5,20872,2111003,8.3,8,5,3,2.833,1.667,,,,,0.7778,,,,,,,0.0,0.0,383.289,0.0,239.555,239.555,143.733
2020-05-02,MA,São João Batista,3,0,14,20872,2111003,8.3,25,14,11,4.167,2.667,,,,0.4444,0.3056,,,,,,,0.0,0.0,1197.777,0.0,670.755,670.755,527.022
2020-05-03,MA,São João Batista,3,0,15,20872,2111003,8.3,25,15,10,7.0,4.167,,,,0.4444,0.25,,,,,,,0.0,0.0,1197.777,0.0,718.666,718.666,479.111
2020-05-04,MA,São João Batista,3,0,15,20872,2111003,8.3,25,15,10,8.333,4.833,,,,0.4444,0.2778,,,,-0.22917,,,0.0,0.0,1197.777,0.0,718.666,718.666,479.111
2020-05-05,MA,São João Batista,4,1,20,20872,2111003,8.3,33,21,12,5.5,3.333,,,,0.0,0.0,,,,-0.34028,,,0.04762,0.0303,1581.066,47.911,958.222,1006.133,574.933
2020-05-06,MA,São João Batista,6,1,29,20872,2111003,8.3,50,30,20,5.5,3.167,,,,-0.47222,-0.19444,,,,-0.11111,,,0.03333,0.02,2395.554,47.911,1389.421,1437.332,958.222
2020-05-07,MA,São João Batista,7,1,34,20872,2111003,8.3,58,35,23,5.5,3.333,,,,-0.91667,-0.44444,,,,,,,0.02857,0.01724,2778.842,47.911,1628.977,1676.888,1101.955
2020-05-08,MA,São João Batista,7,2,34,20872,2111003,8.3,58,36,22,4.167,2.667,0.1667,2.833,1.333,0.0,0.05556,,,,,,,0.05556,0.03448,2778.842,95.822,1628.977,1724.799,1054.044
2020-05-09,MA,São João Batista,7,2,34,20872,2111003,8.3,58,36,22,4.167,3.0,0.1667,3.167,1.0,0.0,0.05556,,,,,,,0.05556,0.03448,2778.842,95.822,1628.977,1724.799,1054.044
2020-05-10,MA,São João Batista,7,2,35,20872,2111003,8.3,58,37,21,2.833,2.167,0.1667,2.333,0.5,0.25,0.1667,,,,,,,0.05405,0.03448,2778.842,95.822,1676.888,1772.71,1006.133
2020-05-11,MA,São João Batista,7,2,36,20872,2111003,8.3,58,38,20,5.5,3.667,0.0,3.667,1.833,0.4722,0.3056,-0.02778,0.2778,0.1944,,,,0.05263,0.03448,2778.842,95.822,1724.799,1820.621,958.222
2020-05-12,MA,São João Batista,9,2,47,20872,2111003,8.3,75,49,26,5.5,3.5,0.0,3.5,2.0,0.4444,0.2222,-0.02778,0.1944,0.25,0.2847,,,0.04082,0.02667,3593.331,95.822,2251.821,2347.643,1245.688
2020-05-13,MA,São João Batista,9,2,47,20872,2111003,8.3,75,49,26,7.0,4.333,0.0,4.333,2.667,2.278,1.361,-0.02778,1.333,0.9444,0.2292,,,0.04082,0.02667,3593.331,95.822,2251.821,2347.643,1245.688
2020-05-14,MA,São João Batista,11,2,56,20872,2111003,8.3,91,58,33,7.0,4.5,0.0,4.5,2.5,1.389,0.8333,,,,0.1111,-0.11285,,0.03448,0.02198,4359.908,95.822,2683.02,2778.842,1581.066
2020-05-15,MA,São João Batista,11,2,55,20872,2111003,8.3,91,57,34,6.833,4.333,0.0,4.333,2.5,1.389,0.8889,,,,-0.28472,-0.30035,,0.03509,0.02198,4359.908,95.822,2635.109,2730.931,1628.977
2020-05-16,MA,São João Batista,12,2,61,20872,2111003,8.3,100,63,37,16.5,10.333,0.0,10.333,6.167,0.8889,0.5556,,,,-0.16667,-0.12674,,0.03175,0.02,4791.108,95.822,2922.576,3018.398,1772.71
2020-05-17,MA,São João Batista,12,2,63,20872,2111003,8.3,100,65,35,13.833,8.667,0.0,8.667,5.167,1.139,0.6667,,,,-0.97222,,,0.03077,0.02,4791.108,95.822,3018.398,3114.22,1676.888
2020-05-18,MA,São João Batista,14,2,73,20872,2111003,8.3,116,75,41,13.833,8.833,0.0,8.833,5.0,0.7222,0.4722,,,,-0.39583,,,0.02667,0.01724,5557.685,95.822,3497.509,3593.331,1964.354
2020-05-19,MA,São João Batista,21,2,109,20872,2111003,8.3,174,111,63,12.333,7.667,0.0,7.667,4.667,-2.5,-1.44444,,,,-0.39583,,,0.01802,0.01149,8336.527,95.822,5222.307,5318.13,3018.398
2020-05-20,MA,São João Batista,21,2,108,20872,2111003,8.3,174,110,64,13.833,8.5,0.1667,8.667,5.167,-0.69444,-0.19444,,,,0.1736,,,0.01818,0.01149,8336.527,95.822,5174.396,5270.218,3066.309
2020-05-21,MA,São João Batista,21,2,108,20872,2111003,8.3,174,110,64,11.167,7.167,0.1667,7.333,3.833,-0.44444,-0.05556,,,,,,,0.01818,0.01149,8336.527,95.822,5174.396,5270.218,3066.309
2020-05-22,MA,São João Batista,21,2,107,20872,2111003,8.3,174,109,65,1.5,1.667,0.3333,2.0,-0.5,1.417,1.167,,,,,-0.01562,,0.01835,0.01149,8336.527,95.822,5126.485,5222.307,3114.22
2020-05-23,MA,São João Batista,22,3,114,20872,2111003,8.3,183,117,66,9.667,7.5,0.3333,7.833,1.833,2.306,1.694,0.0,1.694,0.6111,,,,0.02564,0.01639,8767.727,143.733,5461.863,5605.596,3162.131
2020-05-24,MA,São João Batista,22,3,116,20872,2111003,8.3,183,119,64,11.167,8.5,0.3333,8.833,2.333,2.75,1.75,0.0,1.75,1.0,0.1111,,,0.02521,0.01639,8767.727,143.733,5557.685,5701.418,3066.309
2020-05-25,MA,São João Batista,22,4,119,20872,2111003,8.3,183,123,60,20.833,14.667,0.3333,15.0,5.833,4.361,2.75,-0.05556,2.694,1.667,-0.23611,,,0.03252,0.02186,8767.727,191.644,5701.418,5893.062,2874.665
2020-05-26,MA,São João Batista,28,4,153,20872,2111003,8.3,232,157,75,27.667,18.667,0.1667,18.833,8.833,1.861,1.194,-0.05556,1.139,0.7222,-0.86806,-0.15972,,0.02548,0.01724,11115.37,191.644,7330.395,7522.039,3593.331
2020-05-27,MA,São João Batista,29,4,159,20872,2111003,8.3,241,163,78,27.667,17.667,0.1667,17.833,9.833,1.361,0.8056,-0.05556,0.75,0.6111,-1.90278,,,0.02454,0.0166,11546.57,191.644,7617.861,7809.506,3737.064
