date,state,city,confirmed,deaths,recovered,estimated_population,city_ibge_code,infected_per_confirmed,infected,closed,active,diff_infected,diff_recovered,diff_deaths,diff_closed,diff_active,diff2_infected,diff2_recovered,diff2_deaths,diff2_closed,diff2_active,diff3_infected,diff4_infected,diff5_infected,μ_closed,μ_infected,infected_per_1mi,deaths_per_1mi,recovered_per_1mi,closed_per_1mi,active_per_1mi
2020-06-06,MG,São Pedro do Suaçuí,1,0,10,5298,3164100,16.5,16,10,6,,,,,,,,,,,,,,0.0,0.0,3020.008,0.0,1887.505,1887.505,1132.503
2020-06-07,MG,São Pedro do Suaçuí,1,0,10,5298,3164100,16.5,16,10,6,,,,,,,,,,,,,,0.0,0.0,3020.008,0.0,1887.505,1887.505,1132.503
2020-06-08,MG,São Pedro do Suaçuí,1,0,11,5298,3164100,16.5,16,11,5,,,,,,,,,,,,,,0.0,0.0,3020.008,0.0,2076.255,2076.255,943.752
2020-06-09,MG,São Pedro do Suaçuí,1,0,11,5298,3164100,16.5,16,11,5,0.0,0.1667,,,,,,,,,,,,0.0,0.0,3020.008,0.0,2076.255,2076.255,943.752
2020-06-10,MG,São Pedro do Suaçuí,1,0,11,5298,3164100,16.5,16,11,5,0.0,0.1667,,,,,,,,,,,,0.0,0.0,3020.008,0.0,2076.255,2076.255,943.752
2020-06-11,MG,São Pedro do Suaçuí,1,0,11,5298,3164100,16.5,16,11,5,0.0,0.0,,,,,,,,,,,,0.0,0.0,3020.008,0.0,2076.255,2076.255,943.752
2020-06-12,MG,São Pedro do Suaçuí,1,0,11,5298,3164100,16.5,16,11,5,0.0,0.0,,,,,,,,,,,,0.0,0.0,3020.008,0.0,2076.255,2076.255,943.752
2020-06-13,MG,São Pedro do Suaçuí,1,0,11,5298,3164100,16.5,16,11,5,0.0,0.0,,,,,,,,,,,,0.0,0.0,3020.008,0.0,2076.255,2076.255,943.752
2020-06-14,MG,São Pedro do Suaçuí,1,0,11,5298,3164100,16.5,16,11,5,,,,,,,,,,,,,,0.0,0.0,3020.008,0.0,2076.255,2076.255,943.752
2020-06-15,MG,São Pedro do Suaçuí,1,0,11,5298,3164100,16.5,16,11,5,,,,,,,,,,,,,,0.0,0.0,3020.008,0.0,2076.255,2076.255,943.752
2020-06-16,MG,São Pedro do Suaçuí,1,0,11,5298,3164100,16.5,16,11,5,,,,,,,,,,,,,,0.0,0.0,3020.008,0.0,2076.255,2076.255,943.752
