date,state,city,confirmed,deaths,recovered,estimated_population,city_ibge_code,infected_per_confirmed,infected,closed,active,diff_infected,diff_recovered,diff_deaths,diff_closed,diff_active,diff2_infected,diff2_recovered,diff2_deaths,diff2_closed,diff2_active,diff3_infected,diff4_infected,diff5_infected,μ_closed,μ_infected,infected_per_1mi,deaths_per_1mi,recovered_per_1mi,closed_per_1mi,active_per_1mi
2020-06-04,RS,São Pedro do Sul,1,0,5,16360,4319406,8.4,8,5,3,,,,,,,,,,,,,,0.0,0.0,488.998,0.0,305.623,305.623,183.374
2020-06-05,RS,São Pedro do Sul,1,0,5,16360,4319406,8.4,8,5,3,,,,,,,,,,,,,,0.0,0.0,488.998,0.0,305.623,305.623,183.374
2020-06-06,RS,São Pedro do Sul,1,0,5,16360,4319406,8.4,8,5,3,,,,,,,,,,,,,,0.0,0.0,488.998,0.0,305.623,305.623,183.374
2020-06-07,RS,São Pedro do Sul,1,0,5,16360,4319406,8.4,8,5,3,0.0,0.0,,,,,,,,,,,,0.0,0.0,488.998,0.0,305.623,305.623,183.374
2020-06-08,RS,São Pedro do Sul,1,0,5,16360,4319406,8.4,8,5,3,0.0,0.0,,,,,,,,,,,,0.0,0.0,488.998,0.0,305.623,305.623,183.374
2020-06-09,RS,São Pedro do Sul,1,0,5,16360,4319406,8.4,8,5,3,0.0,0.0,,,,,,,,,,,,0.0,0.0,488.998,0.0,305.623,305.623,183.374
2020-06-10,RS,São Pedro do Sul,1,0,5,16360,4319406,8.4,8,5,3,0.0,0.1667,,,,,,,,,,,,0.0,0.0,488.998,0.0,305.623,305.623,183.374
2020-06-11,RS,São Pedro do Sul,1,0,5,16360,4319406,8.4,8,5,3,0.0,0.1667,,,,,,,,,,,,0.0,0.0,488.998,0.0,305.623,305.623,183.374
2020-06-12,RS,São Pedro do Sul,1,0,5,16360,4319406,8.4,8,5,3,,,,,,,,,,,,,,0.0,0.0,488.998,0.0,305.623,305.623,183.374
2020-06-13,RS,São Pedro do Sul,1,0,6,16360,4319406,8.4,8,6,2,,,,,,,,,,,,,,0.0,0.0,488.998,0.0,366.748,366.748,122.249
2020-06-14,RS,São Pedro do Sul,1,0,6,16360,4319406,8.4,8,6,2,,,,,,,,,,,,,,0.0,0.0,488.998,0.0,366.748,366.748,122.249
