date,state,city,confirmed,deaths,recovered,estimated_population,city_ibge_code,infected_per_confirmed,infected,closed,active,diff_infected,diff_recovered,diff_deaths,diff_closed,diff_active,diff2_infected,diff2_recovered,diff2_deaths,diff2_closed,diff2_active,diff3_infected,diff4_infected,diff5_infected,μ_closed,μ_infected,infected_per_1mi,deaths_per_1mi,recovered_per_1mi,closed_per_1mi,active_per_1mi
2020-05-13,SP,Tambaú,2,0,9,23439,3553302,7.3,15,9,6,,,,,,,,,,,,,,0.0,0.0,639.959,0.0,383.975,383.975,255.984
2020-05-14,SP,Tambaú,3,0,14,23439,3553302,7.3,22,14,8,,,,,,,,,,,,,,0.0,0.0,938.607,0.0,597.295,597.295,341.311
2020-05-15,SP,Tambaú,3,0,13,23439,3553302,7.3,22,13,9,,,,,,,,,,,,,,0.0,0.0,938.607,0.0,554.631,554.631,383.975
2020-05-16,SP,Tambaú,3,0,13,23439,3553302,7.3,22,13,9,4.833,3.167,,,,,,,,,,,,0.0,0.0,938.607,0.0,554.631,554.631,383.975
2020-05-17,SP,Tambaú,3,0,14,23439,3553302,7.3,22,14,8,6.0,3.667,,,,,,,,,,,,0.0,0.0,938.607,0.0,597.295,597.295,341.311
2020-05-18,SP,Tambaú,3,0,14,23439,3553302,7.3,22,14,8,12.167,7.667,,,,,,,,,,,,0.0,0.0,938.607,0.0,597.295,597.295,341.311
2020-05-19,SP,Tambaú,6,0,28,23439,3553302,7.3,44,28,16,12.167,7.667,,,,1.028,0.6944,,,,,,,0.0,0.0,1877.213,0.0,1194.59,1194.59,682.623
2020-05-20,SP,Tambaú,8,0,36,23439,3553302,7.3,58,36,22,14.667,9.167,,,,0.4444,0.3889,,,,,,,0.0,0.0,2474.508,0.0,1535.902,1535.902,938.607
2020-05-21,SP,Tambaú,13,0,59,23439,3553302,7.3,95,59,36,14.667,9.333,,,,-1.22222,-0.63889,,,,-0.72222,,,0.0,0.0,4053.074,0.0,2517.172,2517.172,1535.902
2020-05-22,SP,Tambaú,13,0,59,23439,3553302,7.3,95,59,36,11.0,7.333,,,,-1.02778,-0.55556,,,,-0.57639,,,0.0,0.0,4053.074,0.0,2517.172,2517.172,1535.902
2020-05-23,SP,Tambaú,15,0,69,23439,3553302,7.3,110,69,41,8.667,6.0,,,,-1.86111,-1.08333,,,,,,,0.0,0.0,4693.033,0.0,2943.812,2943.812,1749.221
2020-05-24,SP,Tambaú,15,0,70,23439,3553302,7.3,110,70,40,4.833,3.833,,,,-1.86111,-1.16667,,,,,,,0.0,0.0,4693.033,0.0,2986.476,2986.476,1706.557
2020-05-25,SP,Tambaú,15,0,72,23439,3553302,7.3,110,72,38,6.0,4.333,,,,-1.25,-0.83333,,,,,,,0.0,0.0,4693.033,0.0,3071.803,3071.803,1621.23
2020-05-26,SP,Tambaú,15,0,72,23439,3553302,7.3,110,72,38,3.5,2.667,,,,-0.86111,-0.55556,,,,,,,0.0,0.0,4693.033,0.0,3071.803,3071.803,1621.23
2020-05-27,SP,Tambaú,17,0,82,23439,3553302,7.3,124,82,42,3.5,2.333,,,,-0.61111,-0.47222,,,,,,,0.0,0.0,5290.328,0.0,3498.443,3498.443,1791.885
2020-05-28,SP,Tambaú,18,0,85,23439,3553302,7.3,131,85,46,3.5,2.333,,,,-1.0,-0.63889,,,,,,,0.0,0.0,5588.976,0.0,3626.435,3626.435,1962.541
2020-05-29,SP,Tambaú,18,0,85,23439,3553302,7.3,131,85,46,3.5,2.667,,,,-0.58333,-0.38889,,,,,,,0.0,0.0,5588.976,0.0,3626.435,3626.435,1962.541
2020-05-30,SP,Tambaú,18,0,84,23439,3553302,7.3,131,84,47,1.167,1.0,,,,-0.58333,-0.27778,,,,,,,0.0,0.0,5588.976,0.0,3583.771,3583.771,2005.205
2020-05-31,SP,Tambaú,18,0,86,23439,3553302,7.3,131,86,45,0.0,0.5,,,,-0.36111,-0.16667,,,,,,,0.0,0.0,5588.976,0.0,3669.099,3669.099,1919.877
2020-06-01,SP,Tambaú,18,0,88,23439,3553302,7.3,131,88,43,0.0,0.3333,,,,-0.36111,-0.22222,,,,,,,0.0,0.0,5588.976,0.0,3754.426,3754.426,1834.549
2020-06-02,SP,Tambaú,18,0,88,23439,3553302,7.3,131,88,43,0.0,0.6667,,,,0.02778,0.1111,,,,,,,0.0,0.0,5588.976,0.0,3754.426,3754.426,1834.549
2020-06-03,SP,Tambaú,18,0,88,23439,3553302,7.3,131,88,43,1.333,1.333,,,,,0.1944,,,,,,,0.0,0.0,5588.976,0.0,3754.426,3754.426,1834.549
2020-06-04,SP,Tambaú,18,0,87,23439,3553302,7.3,131,87,44,1.333,1.333,,,,,0.25,,,,-0.0625,,,0.0,0.0,5588.976,0.0,3711.762,3711.762,1877.213
2020-06-05,SP,Tambaú,18,0,88,23439,3553302,7.3,131,88,43,1.333,1.667,,,,,0.1667,,,,,,,0.0,0.0,5588.976,0.0,3754.426,3754.426,1834.549
2020-06-06,SP,Tambaú,19,0,94,23439,3553302,7.3,139,94,45,1.333,1.667,,,,-0.22222,-0.08333,,,,,,,0.0,0.0,5930.287,0.0,4010.41,4010.41,1919.877
2020-06-07,SP,Tambaú,19,0,96,23439,3553302,7.3,139,96,43,1.333,1.833,,,,,,,,,,,,0.0,0.0,5930.287,0.0,4095.738,4095.738,1834.549
2020-06-08,SP,Tambaú,19,0,98,23439,3553302,7.3,139,98,41,1.333,1.667,,,,,,,,,,,,0.0,0.0,5930.287,0.0,4181.066,4181.066,1749.221
2020-06-09,SP,Tambaú,19,0,98,23439,3553302,7.3,139,98,41,0.0,0.8333,,,,,,,,,,,,0.0,0.0,5930.287,0.0,4181.066,4181.066,1749.221
2020-06-10,SP,Tambaú,19,0,98,23439,3553302,7.3,139,98,41,,,,,,,,,,,,,,0.0,0.0,5930.287,0.0,4181.066,4181.066,1749.221
2020-06-11,SP,Tambaú,19,0,98,23439,3553302,7.3,139,98,41,,,,,,,,,,,,,,0.0,0.0,5930.287,0.0,4181.066,4181.066,1749.221
2020-06-12,SP,Tambaú,19,0,99,23439,3553302,7.3,139,99,40,,,,,,,,,,,,,,0.0,0.0,5930.287,0.0,4223.73,4223.73,1706.557
