country,date,latitude,longitude,estimated_population,gdp_per_capita,total_tests,test_kind,confirmed,recovered_confirmed,recovered,deaths,infected,closed,active,diff_infected,diff_recovered,diff_deaths,diff_closed,diff_active,diff2_infected,diff2_recovered,diff2_deaths,diff2_closed,diff2_active,diff3_infected,diff4_infected,diff5_infected,μ_closed,μ_infected,infected_per_1mi,deaths_per_1mi,recovered_per_1mi,closed_per_1mi,active_per_1mi,tests_per_confirmed,tests_per_1mi
Saudi Arabia,2020-01-22,24.0,45.0,35582072,23339,,,0,0,507.109,0,0,507.109,-507.10919,,,,,,,,,,,,,,0.0,,0.0,0.0,14.252,14.252,-14.25182,,
Saudi Arabia,2020-01-23,24.0,45.0,35582072,23339,,,0,0,461.008,0,0,461.008,-461.00836,,,,,,,,,,,,,,0.0,,0.0,0.0,12.956,12.956,-12.9562,,
Saudi Arabia,2020-01-24,24.0,45.0,35582072,23339,,,0,0,419.099,0,0,419.099,-419.09851,,,,,,,,,,,,,,0.0,,0.0,0.0,11.778,11.778,-11.77836,,
Saudi Arabia,2020-01-25,24.0,45.0,35582072,23339,,,0,0,380.999,0,0,380.999,-380.99864,,-36.80988,,,,,,,,,,,,0.0,,0.0,0.0,10.708,10.708,-10.7076,,
Saudi Arabia,2020-01-26,24.0,45.0,35582072,23339,,,0,0,346.362,0,0,346.362,-346.3624,,-33.46353,,,,,,,,,,,,0.0,,0.0,0.0,9.734,9.734,-9.73418,,
Saudi Arabia,2020-01-27,24.0,45.0,35582072,23339,,,0,0,314.875,0,0,314.875,-314.87491,,-30.42139,,,,,,,,,,,,0.0,,0.0,0.0,8.849,8.849,-8.84926,,
Saudi Arabia,2020-01-28,24.0,45.0,35582072,23339,,,0,0,286.25,0,0,286.25,-286.24992,,-27.65581,,,,,,,,,,,,0.0,,0.0,0.0,8.045,8.045,-8.04478,,
Saudi Arabia,2020-01-29,24.0,45.0,35582072,23339,,,0,0,260.227,0,0,260.227,-260.2272,,-25.14164,,,,,,,,,,,,0.0,,0.0,0.0,7.313,7.313,-7.31344,,
Saudi Arabia,2020-01-30,24.0,45.0,35582072,23339,,,0,0,236.57,0,0,236.57,-236.57018,,-22.85604,,,,,,,,,,,,0.0,,0.0,0.0,6.649,6.649,-6.64858,,
Saudi Arabia,2020-01-31,24.0,45.0,35582072,23339,,,0,0,215.064,0,0,215.064,-215.0638,,-20.77822,,,,,,,,,,,,0.0,,0.0,0.0,6.044,6.044,-6.04416,,
Saudi Arabia,2020-02-01,24.0,45.0,35582072,23339,,,0,0,195.513,0,0,195.513,-195.51255,,-18.88929,,,,,,,,,,,,0.0,,0.0,0.0,5.495,5.495,-5.49469,,
Saudi Arabia,2020-02-02,24.0,45.0,35582072,23339,,,0,0,177.739,0,0,177.739,-177.73868,,-17.17208,,,,,,,,,,,,0.0,,0.0,0.0,4.995,4.995,-4.99518,,
