country,date,latitude,longitude,estimated_population,gdp_per_capita,total_tests,test_kind,confirmed,recovered,deaths,infected,closed,active,diff_infected,diff_recovered,diff_deaths,diff_closed,diff_active,diff2_infected,diff2_recovered,diff2_deaths,diff2_closed,diff2_active,diff3_infected,diff4_infected,diff5_infected,μ_closed,μ_infected,infected_per_1mi,deaths_per_1mi,recovered_per_1mi,closed_per_1mi,active_per_1mi,tests_per_confirmed,tests_per_1mi
Afghanistan,2020-04-19,33.0,65.0,39653765,,,,996,508.197,33,996,541.197,454.803,56.0,38.621,1.667,40.288,15.712,3.778,1.573,0.05556,1.629,2.149,1.951,0.03993,,0.06098,0.03313,25.117,0.8322,12.816,13.648,11.469,,
Albania,2020-04-19,41.153,20.168,2842650,5269,,,562,371.568,26,562,397.568,164.432,19.333,15.298,0.1667,15.464,3.869,1.528,0.4,-0.05556,0.3444,1.183,-0.04167,-0.17535,,0.0654,0.04626,197.703,9.146,130.712,139.858,57.845,,
Algeria,2020-04-19,28.034,1.66,43697354,4115,,,2629,1256.85,375,2629,1631.85,997.15,107.0,79.521,9.0,88.521,18.479,-0.52778,2.1,-0.5,1.6,-2.12735,,,,0.2298,0.1426,60.164,8.582,28.763,37.344,22.819,,
Andorra,2020-04-19,42.506,1.522,78418,42030,,,713,503.868,36,713,539.868,173.132,8.333,15.016,0.6667,15.683,-7.34957,-1.16667,-0.68612,-0.08333,-0.76945,-0.39721,,,,0.06668,0.05049,9092.3,459.078,6425.409,6884.487,2207.813,,
Angola,2020-04-19,-11.2027,17.874,33046756,3432,,,24,13.64,2,24,15.64,8.36,1.0,0.6327,0.0,0.6327,0.3673,-0.11111,0.01367,,,,,,,0.1279,0.08333,0.7262,0.06052,0.4128,0.4733,0.253,,
Antigua and Barbuda,2020-04-19,17.061,-61.7964,98848,16727,,,23,14.396,3,23,17.396,5.604,0.1667,0.5414,0.0,0.5414,-0.37474,,-0.01762,-0.02778,-0.0454,,,,,0.1725,0.1304,232.68,30.35,145.64,175.989,56.691,,
Argentina,2020-04-19,-38.4161,-63.6167,45433446,11684,32712,samples tested,2839,1693.5,132,2839,1825.5,1013.5,95.5,86.849,6.167,93.016,2.484,8.611,1.37,0.5,1.87,6.741,2.167,,-0.51042,0.07231,0.0465,62.487,2.905,37.274,40.18,22.307,11.522,719.998
Armenia,2020-04-19,40.069,45.038,2938968,4212,,,1291,863.948,20,1291,883.948,407.052,52.333,35.938,1.0,36.938,15.396,3.722,1.155,0.05556,1.21,2.512,0.2014,-0.14062,-0.02951,0.02263,0.01549,439.27,6.805,293.963,300.768,138.502,,
Australia,2020-04-19,-31.99619,141.233,25731295,57396,420996,samples tested,6610,5414.094,67,6610,5481.094,1128.906,31.667,104.184,0.6667,104.851,-73.18408,-4.86111,-7.28731,0.1944,-7.09287,2.232,,,,0.01222,0.01014,256.886,2.604,210.409,213.013,43.873,63.691,16361.244
Austria,2020-04-19,47.516,14.55,8937767,51500,179243,samples tested,14749,11661.924,452,14749,12113.924,2635.076,74.833,231.485,16.667,248.152,-173.3185,-8.58333,-15.5833,0.0,-15.5833,7.0,,,,0.03731,0.03065,1650.188,50.572,1304.792,1355.364,294.825,12.153,20054.562
Azerbaijan,2020-04-19,40.143,47.577,10175641,4722,,,1398,868.178,19,1398,887.178,510.822,39.167,46.801,0.8333,47.634,-8.46763,-0.86111,-0.75459,-0.13889,-0.89348,0.03237,,,,0.02142,0.01359,137.387,1.867,85.319,87.186,50.2,,
Bahamas,2020-04-19,25.034,-77.3963,396839,32218,,,55,30.179,9,55,39.179,15.821,2.0,1.531,0.1667,1.697,0.3028,0.4167,0.02968,0.02778,0.05745,0.3592,-0.07639,-0.05556,,0.2297,0.1636,138.595,22.679,76.049,98.728,39.867,,
Bahrain,2020-04-19,26.028,50.55,1726667,24051,86732,units unclear,1881,1104.867,7,1881,1111.867,769.133,54.5,68.282,0.0,68.282,-13.7816,5.194,0.6794,0.0,0.6794,4.515,,,,0.0063,0.00372,1089.382,4.054,639.884,643.938,445.444,46.11,50230.878
Bangladesh,2020-04-19,23.685,90.356,165611088,1698,23941,samples tested,2456,683.672,91,2456,774.672,1681.328,366.667,140.892,10.0,150.892,215.775,24.694,19.65,-0.08333,19.567,5.127,-4.25,,,0.1175,0.03705,14.83,0.5495,4.128,4.678,10.152,9.748,144.562
Barbados,2020-04-19,13.194,-59.5432,288373,17949,,,75,67.597,5,75,72.597,2.403,0.0,0.2322,0.0,0.2322,-0.23221,0.02778,,0.0,,,,,,0.06887,0.06667,260.08,17.339,234.407,251.745,8.335,,
Belarus,2020-04-19,53.71,27.953,9429921,6330,98231,samples tested,4779,2239.629,47,4779,2286.629,2492.371,512.833,278.124,3.0,281.124,231.709,81.972,21.084,0.05556,21.14,60.832,6.118,-5.61285,,0.02055,0.00983,506.791,4.984,237.502,242.487,264.305,20.555,10416.948
Belgium,2020-04-19,50.833,4.0,11572730,47472,153923,units unclear,38496,19183.726,5683,38496,24866.726,13629.274,1180.0,1009.211,234.167,1243.377,-63.37735,-29.94444,16.92,-15.16667,1.753,-31.69732,,,,0.2285,0.1476,3326.441,491.068,1657.666,2148.735,1177.706,3.998,13300.492
Belize,2020-04-19,13.194,-59.5432,402155,4885,,,18,22.595,2,18,24.595,-6.59463,0.0,-0.63713,0.0,-0.63713,0.6371,,,,,,,,,0.08132,0.1111,44.759,4.973,56.184,61.157,-16.39822,,
Benin,2020-04-19,9.308,2.316,12160701,1241,,,35,25.187,1,35,26.187,8.813,3.167,1.401,0.0,1.401,1.766,,0.1178,,,,,,,0.03819,0.02857,2.878,0.08223,2.071,2.153,0.7247,,
Bhutan,2020-04-19,27.514,90.434,775132,3243,,,5,4.55,0,5,4.55,0.4503,0.1667,0.05865,,,,,0.00942,,,,,,,0.0,0.0,6.451,0.0,5.87,5.87,0.5809,,
Bolivia,2020-04-19,-16.2902,-63.5887,11736772,3549,4135,units unclear,520,243.289,32,520,275.289,244.711,28.0,21.228,1.333,22.561,5.439,4.333,1.105,0.25,1.355,2.978,1.16,-0.13021,,0.1162,0.06154,44.305,2.726,20.729,23.455,20.85,7.952,352.312
Bosnia and Herzegovina,2020-04-19,43.916,17.679,3279568,6066,,,1285,794.046,48,1285,842.046,442.954,33.5,38.712,1.667,40.379,-6.87869,-1.30556,-0.47924,0.0,-0.47924,-0.82631,,,,0.057,0.03735,391.82,14.636,242.119,256.755,135.065,,
Botswana,2020-04-19,-22.3285,24.685,2334686,8259,,,20,9.262,1,20,10.262,9.738,1.167,0.665,0.0,0.665,0.5016,-0.13889,0.04846,,,,-0.06944,,,0.09745,0.05,8.566,0.4283,3.967,4.395,4.171,,
Brazil,2020-04-19,-14.235,-51.9253,213724406,9001,,samples tested,38654,17211.45,2462,38654,19673.45,18980.55,2555.333,1497.388,163.667,1661.054,894.279,151.278,79.354,12.806,92.16,59.118,43.118,12.038,,0.1251,0.06369,180.859,11.52,80.531,92.051,88.809,,
Brunei,2020-04-19,4.535,114.728,441178,31628,,,138,270.836,1,138,271.836,-133.83617,0.3333,-13.02064,0.0,-13.02064,13.354,-0.05556,,,,,,,,0.00368,0.00725,312.799,2.267,613.893,616.16,-303.36093,,
Bulgaria,2020-04-19,42.734,25.486,6908148,9272,26417,samples tested,894,563.408,42,894,605.408,288.592,37.333,24.989,1.833,26.822,10.511,4.0,1.275,0.08333,1.358,2.642,0.6528,-0.15625,,0.06937,0.04698,129.412,6.08,81.557,87.637,41.776,29.549,3824.035
Burkina Faso,2020-04-19,12.238,-1.5616,20953200,715,,,576,377.844,36,576,413.844,162.156,10.5,13.862,1.167,15.029,-4.52893,-0.72222,-0.33602,-0.11111,-0.44713,-0.27509,,,,0.08699,0.0625,27.49,1.718,18.033,19.751,7.739,,
Burma,2020-04-19,21.916,95.956,,,,,111,41.181,5,111,46.181,64.819,6.333,5.24,0.1667,5.407,0.9264,-0.38889,0.2831,-0.02778,0.2554,-0.64424,-0.15972,,,0.1083,0.04505,,,,,,,
Burundi,2020-04-19,-3.3731,29.919,11893778,272,,,5,2.596,1,5,3.596,1.404,1.0,0.1357,0.0,0.1357,0.8643,,0.02834,,,,,,,0.2781,0.2,0.4204,0.08408,0.2182,0.3023,0.1181,,
Cabo Verde,2020-04-19,16.539,-23.0418,558398,3635,,,61,21.484,1,61,22.484,38.516,2.833,3.674,0.0,3.674,-0.8411,-0.61111,0.169,,,,,,,0.04448,0.01639,109.241,1.791,38.474,40.264,68.977,,
Cambodia,2020-04-19,11.55,104.917,16782527,1510,,,122,110.386,0,122,110.386,11.614,0.0,1.122,,,,,-0.10841,,,,,,,0.0,0.0,7.269,0.0,6.577,6.577,0.692,,
Cameroon,2020-04-19,3.848,11.502,26614607,1534,,,1017,637.528,42,1017,679.528,337.472,27.833,32.593,3.5,36.093,-8.25935,8.444,1.777,-0.52778,1.249,7.196,0.4514,-0.43576,,0.06181,0.0413,38.212,1.578,23.954,25.532,12.68,,
Central African Republic,2020-04-19,6.611,20.939,4796900,476,,,12,10.004,0,12,10.004,1.996,0.3333,0.2231,,,,0.08333,0.01446,,,,,,,0.0,0.0,2.502,0.0,2.086,2.086,0.416,,
Chad,2020-04-19,15.454,18.732,16575069,728,,,33,16.47,0,33,16.47,16.53,1.0,1.387,,,,0.08333,0.00191,,,,,,,0.0,0.0,1.991,0.0,0.9937,0.9937,0.9973,,
Chile,2020-04-19,-35.6751,-71.543,19148883,15923,113649,samples tested,10088,5979.699,133,10088,6112.699,3975.301,414.833,348.052,9.167,357.218,57.615,5.75,6.782,-0.08333,6.699,-0.94857,1.299,,0.2886,0.02176,0.01318,526.819,6.946,312.274,319.22,207.6,11.266,5935.02
China,2020-04-19,32.828,111.649,1407987086,9771,,,83805,78131.243,4636,83805,82767.243,1037.757,77.5,-121.73334,215.0,93.267,-15.76666,-13.55556,,-35.86111,,,,,,0.05601,0.05532,59.521,3.293,55.491,58.784,0.7371,,
Colombia,2020-04-19,4.571,-74.2973,50907732,6668,62674,samples tested,3792,2083.862,179,3792,2262.862,1529.138,187.167,122.453,10.333,132.787,54.38,11.389,5.262,-0.36111,4.901,6.488,0.08333,-0.23264,,0.0791,0.0472,74.488,3.516,40.934,44.45,30.037,16.528,1231.129
Comoros,2020-04-19,-11.6455,43.333,872888,1415,,,0,8.091,0,0,8.091,-8.09122,,-0.78173,,,,,,,,,,,,0.0,,0.0,0.0,9.269,9.269,-9.26948,,
Congo-Brazzaville,2020-04-19,-4.0383,21.759,5554412,2148,,,143,61.934,6,143,67.934,75.066,11.5,7.22,0.1667,7.387,4.113,-0.72222,0.3982,-0.02778,0.3704,-1.09267,,,,0.08832,0.04196,25.745,1.08,11.15,12.231,13.515,,
Congo-Kinshasa,2020-04-19,-4.0383,21.759,89656528,562,,,327,170.116,25,327,195.116,131.884,15.333,10.523,0.5,11.023,4.311,-0.08333,0.4652,-0.05556,0.4097,-0.49299,-0.09028,,,0.1281,0.07645,3.647,0.2788,1.897,2.176,1.471,,
Costa Rica,2020-04-19,9.749,-83.7534,5130266,12027,7730,people tested,660,499.084,5,660,504.084,155.916,6.5,14.292,0.3333,14.625,-8.12513,-0.41667,-0.72577,-0.02778,-0.75355,0.3369,,,,0.00992,0.00758,128.648,0.9746,97.282,98.257,30.391,11.712,1506.744
Cote d'Ivoire,2020-04-19,7.54,-5.5471,26269866,1716,,,847,450.469,9,847,459.469,387.531,49.667,30.094,1.333,31.427,18.24,0.25,1.139,0.05556,1.195,-0.94491,-1.32639,,,0.01959,0.01063,32.242,0.3426,17.148,17.49,14.752,,
Croatia,2020-04-19,45.1,15.2,4047622,14915,24186,people tested,1871,1307.002,47,1871,1354.002,516.998,26.5,45.316,2.167,47.483,-20.98286,-2.11111,-1.29264,-0.41667,-1.70931,-0.4018,,,,0.03471,0.02512,462.247,11.612,322.906,334.518,127.729,12.927,5975.36
Cuba,2020-04-19,22.0,-80.0,11361908,8822,28598,samples tested,1035,529.088,34,1035,563.088,471.912,54.5,39.764,2.167,41.93,12.57,-0.19444,0.9164,0.1111,1.027,-1.22194,-0.55556,,,0.06038,0.03285,91.094,2.992,46.567,49.559,41.535,27.631,2517.007
Cyprus,2020-04-19,35.126,33.43,1220282,28690,,,767,525.397,12,767,537.397,229.603,9.167,21.377,0.1667,21.543,-12.37665,-1.72222,-1.05141,,,,,,,0.02233,0.01565,628.543,9.834,430.554,440.388,188.155,,
Czech Republic,2020-04-19,49.818,15.473,10672417,23069,176075,samples tested,6746,4845.288,186,6746,5031.288,1714.712,116.5,153.984,6.5,160.484,-43.98356,-2.25,-3.52645,-0.30556,-3.832,1.582,,,,0.03697,0.02757,632.097,17.428,454.001,471.429,160.668,26.101,16498.137
Denmark,2020-04-19,63.288,-13.3381,5846408,61391,107923,samples tested,7580,5049.518,355,7580,5404.518,2175.482,172.333,189.162,10.5,199.662,-27.32848,-0.11111,-2.73694,-0.19444,-2.93138,2.82,,,,0.06569,0.04683,1296.523,60.721,863.696,924.417,372.106,14.238,18459.711
