Date,State,City,Confirmed,Deaths,Recovered,Estimated Population,City Ibge Code,Infected Per Confirmed,Infected,Closed,Active,Diff Infected,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Infected,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Infected,Diff4 Infected,Diff5 Infected,μ_closed,μ_infected,Infected Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi
2020-04-02,SP,Agudos,1,0,0,37586,3500709,11.9,12,0,12,,,,,,,,,,,,,,,0.0,319.268,0.0,0.0,0.0,319.268
2020-04-03,SP,Agudos,1,0,0,37586,3500709,11.9,12,0,12,,,,,,,,,,,,,,,0.0,319.268,0.0,0.0,0.0,319.268
2020-04-04,SP,Agudos,1,0,0,37586,3500709,11.9,12,0,12,,,,,,,,,,,,,,,0.0,319.268,0.0,0.0,0.0,319.268
2020-04-05,SP,Agudos,1,0,0,37586,3500709,11.9,12,0,12,0.0,,,,,,,,,,,,,,0.0,319.268,0.0,0.0,0.0,319.268
2020-04-06,SP,Agudos,1,0,0,37586,3500709,11.9,12,0,12,0.0,,,,,,,,,,,,,,0.0,319.268,0.0,0.0,0.0,319.268
2020-04-07,SP,Agudos,1,0,0,37586,3500709,11.9,12,0,12,0.0,,,,,,,,,,,,,,0.0,319.268,0.0,0.0,0.0,319.268
2020-04-08,SP,Agudos,1,1,0,37586,3500709,11.9,12,1,11,2.0,,,,,,,,,,,,,1.0,0.08333,319.268,26.606,0.0,26.606,292.662
2020-04-09,SP,Agudos,1,1,0,37586,3500709,11.9,12,1,11,2.0,,,,,,,,,,,,,1.0,0.08333,319.268,26.606,0.0,26.606,292.662
2020-04-10,SP,Agudos,1,1,0,37586,3500709,11.9,12,1,11,2.0,,,,,,,,,,,,,1.0,0.08333,319.268,26.606,0.0,26.606,292.662
2020-04-11,SP,Agudos,2,1,0,37586,3500709,11.9,24,1,23,2.0,,0.0,,,0.3333,,,,,,,,1.0,0.04167,638.536,26.606,0.0,26.606,611.93
2020-04-12,SP,Agudos,2,1,0,37586,3500709,11.9,24,1,23,6.0,,0.0,,,0.6667,,,,,,,,1.0,0.04167,638.536,26.606,0.0,26.606,611.93
