Date,State,City,Confirmed,Deaths,Recovered,Estimated Population,City Ibge Code,Closed,Active,Diff Confirmed,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Confirmed,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Confirmed,Diff4 Confirmed,Diff5 Confirmed,μ_closed,μ_confirmed,Confirmed Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi
2020-04-05,RN,Areia Branca,1,0,0,28052,2401107,0,1,,,,,,,,,,,,,,,0.0,35.648,0.0,0.0,0.0,35.648
2020-04-07,RN,Areia Branca,1,0,0,28052,2401107,0,1,,,,,,,,,,,,,,,0.0,35.648,0.0,0.0,0.0,35.648
2020-04-08,RN,Areia Branca,1,0,0,28052,2401107,0,1,,,,,,,,,,,,,,,0.0,35.648,0.0,0.0,0.0,35.648
2020-04-10,RN,Areia Branca,1,0,0,28052,2401107,0,1,,,,,,,,,,,,,,,0.0,35.648,0.0,0.0,0.0,35.648
2020-04-11,RN,Areia Branca,1,0,0,28052,2401107,0,1,,,,,,,,,,,,,,,0.0,35.648,0.0,0.0,0.0,35.648
2020-04-12,RN,Areia Branca,1,0,0,28052,2401107,0,1,,,,,,,,,,,,,,,0.0,35.648,0.0,0.0,0.0,35.648
2020-04-13,RN,Areia Branca,2,0,0,28052,2401107,0,2,0.3333,,,,,,,,,,,,,,0.0,71.296,0.0,0.0,0.0,71.296
2020-04-14,RN,Areia Branca,2,0,0,28052,2401107,0,2,0.3333,,,,,,,,,,,,,,0.0,71.296,0.0,0.0,0.0,71.296
2020-04-15,RN,Areia Branca,2,0,1,28052,2401107,1,1,0.3333,,,,,,,,,,,,,0.0,0.0,71.296,0.0,35.648,35.648,35.648
2020-04-16,RN,Areia Branca,3,0,1,28052,2401107,1,2,0.1667,,,,,-0.02778,,,,,,,,0.0,0.0,106.944,0.0,35.648,35.648,71.296
2020-04-17,RN,Areia Branca,3,0,1,28052,2401107,1,2,0.3333,,,,,-0.02778,,,,,,,,0.0,0.0,106.944,0.0,35.648,35.648,71.296
2020-04-18,RN,Areia Branca,3,0,1,28052,2401107,1,2,0.3333,0.1667,,,,-0.02778,,,,,,,,0.0,0.0,106.944,0.0,35.648,35.648,71.296
2020-04-19,RN,Areia Branca,3,0,2,28052,2401107,2,1,0.1667,0.1667,,,,0.02778,,,,,,,,0.0,0.0,106.944,0.0,71.296,71.296,35.648
2020-04-20,RN,Areia Branca,4,0,2,28052,2401107,2,2,0.1667,0.1667,,,,-0.02778,,,,,,,,0.0,0.0,142.592,0.0,71.296,71.296,71.296
2020-04-21,RN,Areia Branca,4,0,2,28052,2401107,2,2,0.1667,0.1667,,,,-0.02778,-0.02778,,,,0.03472,,,0.0,0.0,142.592,0.0,71.296,71.296,71.296
2020-04-22,RN,Areia Branca,4,0,2,28052,2401107,2,2,0.3333,0.0,,,,0.1389,0.02778,,,,,,,0.0,0.0,142.592,0.0,71.296,71.296,71.296
2020-04-23,RN,Areia Branca,4,0,2,28052,2401107,2,2,0.1667,0.0,,,,0.1667,0.05556,,,,,-0.00174,,0.0,0.0,142.592,0.0,71.296,71.296,71.296
2020-04-24,RN,Areia Branca,4,0,2,28052,2401107,2,2,0.1667,0.0,,,,0.3056,0.1111,,,,0.03472,,,0.0,0.0,142.592,0.0,71.296,71.296,71.296
2020-04-25,RN,Areia Branca,5,0,2,28052,2401107,2,3,1.0,0.3333,,,,0.25,,,,,0.02778,,,0.0,0.0,178.24,0.0,71.296,71.296,106.944
2020-04-26,RN,Areia Branca,5,0,2,28052,2401107,2,3,1.167,0.5,,,,0.2778,,,,,-0.0625,-0.02083,,0.0,0.0,178.24,0.0,71.296,71.296,106.944
2020-04-27,RN,Areia Branca,5,0,2,28052,2401107,2,3,2.0,0.8333,,,,0.2778,,,,,-0.04861,-0.01736,,0.0,0.0,178.24,0.0,71.296,71.296,106.944
2020-04-28,RN,Areia Branca,10,0,4,28052,2401107,4,6,1.833,0.8333,,,,0.05556,0.05556,,,,-0.04861,,,0.0,0.0,356.481,0.0,142.592,142.592,213.888
2020-04-29,RN,Areia Branca,11,0,5,28052,2401107,5,6,1.833,0.8333,,,,0.05556,0.0,,,,-0.04167,,,0.0,0.0,392.129,0.0,178.24,178.24,213.888
2020-04-30,RN,Areia Branca,16,0,7,28052,2401107,7,9,1.833,0.8333,,,,0.08333,0.02778,,,,0.04861,,,0.0,0.0,570.369,0.0,249.537,249.537,320.833
2020-05-01,RN,Areia Branca,16,0,7,28052,2401107,7,9,1.333,0.6667,,,,0.1111,0.02778,,,,,,,0.0,0.0,570.369,0.0,249.537,249.537,320.833
2020-05-02,RN,Areia Branca,16,0,7,28052,2401107,7,9,1.5,0.5,,,,0.25,0.08333,,,,,,,0.0,0.0,570.369,0.0,249.537,249.537,320.833
2020-05-03,RN,Areia Branca,16,0,7,28052,2401107,7,9,2.5,1.0,,,,,,,,,,,,0.0,0.0,570.369,0.0,249.537,249.537,320.833
2020-05-04,RN,Areia Branca,18,0,8,28052,2401107,8,10,2.5,1.0,,,,,,,,,,,,0.0,0.0,641.665,0.0,285.185,285.185,356.481
2020-05-05,RN,Areia Branca,20,1,8,28052,2401107,9,11,3.333,1.333,,,,,,,,,,,,0.1111,0.05,712.962,35.648,285.185,320.833,392.129
2020-05-06,RN,Areia Branca,31,1,13,28052,2401107,14,17,,,,,,,,,,,,,,0.07143,0.03226,1105.091,35.648,463.425,499.073,606.017
2020-05-07,RN,Areia Branca,31,1,13,28052,2401107,14,17,,,,,,,,,,,,,,0.07143,0.03226,1105.091,35.648,463.425,499.073,606.017
2020-05-08,RN,Areia Branca,36,1,15,28052,2401107,16,20,,,,,,,,,,,,,,0.0625,0.02778,1283.331,35.648,534.721,570.369,712.962
2020-05-10,RN,Areia Branca,37,1,15,28052,2401107,16,21,,,,,,,,,,,,,,0.0625,0.02703,1318.979,35.648,534.721,570.369,748.61
2020-05-11,RN,Areia Branca,40,3,16,28052,2401107,19,21,,,,,,,,,,,,,,0.1579,0.075,1425.923,106.944,570.369,677.314,748.61
2020-05-12,RN,Areia Branca,52,6,21,28052,2401107,27,25,,,,,,,,,,,,,,0.2222,0.1154,1853.7,213.888,748.61,962.498,891.202
2020-05-13,RN,Areia Branca,58,6,24,28052,2401107,30,28,,,,,,,,,,,,,,0.2,0.1034,2067.589,213.888,855.554,1069.442,998.146
2020-05-14,RN,Areia Branca,66,7,26,28052,2401107,33,33,,,,,,,,,,,,,,0.2121,0.1061,2352.773,249.537,926.85,1176.387,1176.387
2020-05-16,RN,Areia Branca,74,8,28,28052,2401107,36,38,,,,,,,,,,,,,,0.2222,0.1081,2637.958,285.185,998.146,1283.331,1354.627
2020-04-27,SE,Areia Branca,1,0,0,18727,2800506,0,1,,,,,,,,,,,,,,,0.0,53.399,0.0,0.0,0.0,53.399
2020-04-28,SE,Areia Branca,0,0,0,18727,2800506,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2020-04-30,SE,Areia Branca,1,0,0,18727,2800506,0,1,,,,,,,,,,,,,,,0.0,53.399,0.0,0.0,0.0,53.399
2020-05-01,SE,Areia Branca,1,0,0,18727,2800506,0,1,,,,,,,,,,,,,,,0.0,53.399,0.0,0.0,0.0,53.399
2020-05-02,SE,Areia Branca,1,0,0,18727,2800506,0,1,,,,,,,,,,,,,,,0.0,53.399,0.0,0.0,0.0,53.399
2020-05-03,SE,Areia Branca,2,0,1,18727,2800506,1,1,0.1667,,,,,,,,,,,,,0.0,0.0,106.798,0.0,53.399,53.399,53.399
2020-05-04,SE,Areia Branca,2,0,1,18727,2800506,1,1,0.5,,,,,,,,,,,,,0.0,0.0,106.798,0.0,53.399,53.399,53.399
2020-05-05,SE,Areia Branca,2,0,1,18727,2800506,1,1,0.5,,,,,,,,,,,,,0.0,0.0,106.798,0.0,53.399,53.399,53.399
2020-05-06,SE,Areia Branca,2,0,1,18727,2800506,1,1,0.5,0.1667,,,,0.1389,,,,,,,,0.0,0.0,106.798,0.0,53.399,53.399,53.399
2020-05-07,SE,Areia Branca,4,0,2,18727,2800506,2,2,0.8333,0.3333,,,,0.08333,,,,,,,,0.0,0.0,213.595,0.0,106.798,106.798,106.798
2020-05-08,SE,Areia Branca,4,0,2,18727,2800506,2,2,0.8333,0.3333,,,,0.1389,,,,,0.0,,,0.0,0.0,213.595,0.0,106.798,106.798,106.798
2020-05-09,SE,Areia Branca,5,0,2,18727,2800506,2,3,1.0,0.3333,,,,0.25,0.1111,,,,0.03472,,,0.0,0.0,266.994,0.0,106.798,106.798,160.197
2020-05-10,SE,Areia Branca,7,0,3,18727,2800506,3,4,1.0,0.3333,,,,0.1389,0.05556,,,,,,,0.0,0.0,373.792,0.0,160.197,160.197,213.595
2020-05-11,SE,Areia Branca,7,0,3,18727,2800506,3,4,1.333,0.5,,,,0.2222,0.08333,,,,,,,0.0,0.0,373.792,0.0,160.197,160.197,213.595
2020-05-12,SE,Areia Branca,8,0,3,18727,2800506,3,5,2.0,0.8333,,,,,,,,,,,,0.0,0.0,427.191,0.0,160.197,160.197,266.994
2020-05-13,SE,Areia Branca,10,0,4,18727,2800506,4,6,1.667,0.6667,,,,,,,,,,,,0.0,0.0,533.988,0.0,213.595,213.595,320.393
2020-05-14,SE,Areia Branca,12,0,5,18727,2800506,5,7,2.167,0.8333,,,,,,,,,,,,0.0,0.0,640.786,0.0,266.994,266.994,373.792
2020-05-15,SE,Areia Branca,17,0,7,18727,2800506,7,10,,,,,,,,,,,,,,0.0,0.0,907.78,0.0,373.792,373.792,533.988
2020-05-16,SE,Areia Branca,17,0,7,18727,2800506,7,10,,,,,,,,,,,,,,0.0,0.0,907.78,0.0,373.792,373.792,533.988
2020-05-17,SE,Areia Branca,20,0,8,18727,2800506,8,12,,,,,,,,,,,,,,0.0,0.0,1067.977,0.0,427.191,427.191,640.786
