Date,State,City,Confirmed,Deaths,Recovered,Estimated Population,City Ibge Code,Closed,Active,Diff Confirmed,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Confirmed,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Confirmed,Diff4 Confirmed,Diff5 Confirmed,μ_closed,μ_confirmed,Confirmed Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi
2020-04-04,SC,Balneário Gaivota,1,1,0,11089,4202073,1,0,,,,,,,,,,,,,,1.0,1.0,90.179,90.179,0.0,90.179,0.0
2020-04-05,SC,Balneário Gaivota,1,1,0,11089,4202073,1,0,,,,,,,,,,,,,,1.0,1.0,90.179,90.179,0.0,90.179,0.0
2020-04-06,SC,Balneário Gaivota,1,1,0,11089,4202073,1,0,,,,,,,,,,,,,,1.0,1.0,90.179,90.179,0.0,90.179,0.0
2020-04-07,SC,Balneário Gaivota,1,1,0,11089,4202073,1,0,0.1667,,0.0,,,,,,,,,,,1.0,1.0,90.179,90.179,0.0,90.179,0.0
2020-04-08,SC,Balneário Gaivota,1,1,0,11089,4202073,1,0,0.1667,,0.0,,,,,,,,,,,1.0,1.0,90.179,90.179,0.0,90.179,0.0
2020-04-09,SC,Balneário Gaivota,2,1,0,11089,4202073,1,1,0.1667,,0.0,,,,,,,,,,,1.0,0.5,180.359,90.179,0.0,90.179,90.179
2020-04-10,SC,Balneário Gaivota,2,1,0,11089,4202073,1,1,0.1667,,0.0,,,-0.02778,,,,,,,,1.0,0.5,180.359,90.179,0.0,90.179,90.179
2020-04-11,SC,Balneário Gaivota,2,1,0,11089,4202073,1,1,0.1667,,0.0,,,-0.02778,,,,,,,,1.0,0.5,180.359,90.179,0.0,90.179,90.179
2020-04-12,SC,Balneário Gaivota,2,1,0,11089,4202073,1,1,0.0,,0.0,,,-0.02778,,,,,,,,1.0,0.5,180.359,90.179,0.0,90.179,90.179
2020-04-13,SC,Balneário Gaivota,2,1,0,11089,4202073,1,1,0.0,,0.0,,,-0.02778,,,,,,,,1.0,0.5,180.359,90.179,0.0,90.179,90.179
2020-04-14,SC,Balneário Gaivota,2,1,0,11089,4202073,1,1,0.0,,0.0,,,-0.02778,,,,,,,,1.0,0.5,180.359,90.179,0.0,90.179,90.179
2020-04-15,SC,Balneário Gaivota,2,1,1,11089,4202073,2,0,0.0,,0.0,,,,,,,,,,,0.5,0.5,180.359,90.179,90.179,180.359,0.0
2020-04-16,SC,Balneário Gaivota,2,1,1,11089,4202073,2,0,0.0,,0.0,,,,,,,,,,,0.5,0.5,180.359,90.179,90.179,180.359,0.0
2020-04-17,SC,Balneário Gaivota,2,1,1,11089,4202073,2,0,0.0,,0.0,,,,,,,,,,,0.5,0.5,180.359,90.179,90.179,180.359,0.0
