Date,State,City,Confirmed,Deaths,Recovered,Estimated Population,City Ibge Code,Infected Per Confirmed,Infected,Closed,Active,Diff Infected,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Infected,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Infected,Diff4 Infected,Diff5 Infected,μ_closed,μ_infected,Infected Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi
2020-05-09,MA,Buriti Bravo,2,0,7,24123,2102309,8.3,17,7,10,,,,,,,,,,,,,,0.0,0.0,704.722,0.0,290.179,290.179,414.542
2020-05-10,MA,Buriti Bravo,2,0,7,24123,2102309,8.3,17,7,10,,,,,,,,,,,,,,0.0,0.0,704.722,0.0,290.179,290.179,414.542
2020-05-11,MA,Buriti Bravo,2,0,7,24123,2102309,8.3,17,7,10,,,,,,,,,,,,,,0.0,0.0,704.722,0.0,290.179,290.179,414.542
2020-05-12,MA,Buriti Bravo,2,0,7,24123,2102309,8.3,17,7,10,0.0,0.0,,,,,,,,,,,,0.0,0.0,704.722,0.0,290.179,290.179,414.542
2020-05-13,MA,Buriti Bravo,2,0,7,24123,2102309,8.3,17,7,10,0.0,0.0,,,,,,,,,,,,0.0,0.0,704.722,0.0,290.179,290.179,414.542
2020-05-14,MA,Buriti Bravo,2,0,7,24123,2102309,8.3,17,7,10,0.0,0.0,,,,,,,,,,,,0.0,0.0,704.722,0.0,290.179,290.179,414.542
2020-05-15,MA,Buriti Bravo,2,0,7,24123,2102309,8.3,17,7,10,1.333,0.5,,,,,,,,,,,,0.0,0.0,704.722,0.0,290.179,290.179,414.542
2020-05-16,MA,Buriti Bravo,2,0,7,24123,2102309,8.3,17,7,10,1.333,0.5,,,,,,,,,,,,0.0,0.0,704.722,0.0,290.179,290.179,414.542
2020-05-17,MA,Buriti Bravo,2,0,7,24123,2102309,8.3,17,7,10,1.333,0.5,,,,,,,,,,,,0.0,0.0,704.722,0.0,290.179,290.179,414.542
2020-05-18,MA,Buriti Bravo,3,0,10,24123,2102309,8.3,25,10,15,1.333,0.5,,,,-0.22222,-0.08333,,,,,,,0.0,0.0,1036.355,0.0,414.542,414.542,621.813
2020-05-19,MA,Buriti Bravo,3,0,10,24123,2102309,8.3,25,10,15,1.333,0.5,,,,-0.22222,-0.08333,,,,,,,0.0,0.0,1036.355,0.0,414.542,414.542,621.813
2020-05-20,MA,Buriti Bravo,3,0,10,24123,2102309,8.3,25,10,15,1.333,0.5,,,,0.0,0.0,,,,,,,0.0,0.0,1036.355,0.0,414.542,414.542,621.813
2020-05-21,MA,Buriti Bravo,3,0,10,24123,2102309,8.3,25,10,15,0.0,0.0,,,,0.25,0.1111,,,,,,,0.0,0.0,1036.355,0.0,414.542,414.542,621.813
2020-05-22,MA,Buriti Bravo,3,0,10,24123,2102309,8.3,25,10,15,0.0,0.0,,,,0.25,0.1111,,,,,,,0.0,0.0,1036.355,0.0,414.542,414.542,621.813
2020-05-23,MA,Buriti Bravo,3,0,10,24123,2102309,8.3,25,10,15,1.333,0.5,,,,0.25,0.1111,,,,,,,0.0,0.0,1036.355,0.0,414.542,414.542,621.813
2020-05-24,MA,Buriti Bravo,3,0,10,24123,2102309,8.3,25,10,15,2.833,1.167,,,,,,,,,,,,0.0,0.0,1036.355,0.0,414.542,414.542,621.813
2020-05-25,MA,Buriti Bravo,3,0,10,24123,2102309,8.3,25,10,15,2.833,1.167,,,,,,,,,,,,0.0,0.0,1036.355,0.0,414.542,414.542,621.813
2020-05-26,MA,Buriti Bravo,4,0,13,24123,2102309,8.3,33,13,20,2.833,1.167,,,,,,,,,,,,0.0,0.0,1367.989,0.0,538.905,538.905,829.084
2020-05-27,MA,Buriti Bravo,5,0,17,24123,2102309,8.3,42,17,25,,,,,,,,,,,,,,0.0,0.0,1741.077,0.0,704.722,704.722,1036.355
2020-05-28,MA,Buriti Bravo,5,0,17,24123,2102309,8.3,42,17,25,,,,,,,,,,,,,,0.0,0.0,1741.077,0.0,704.722,704.722,1036.355
2020-05-29,MA,Buriti Bravo,5,0,17,24123,2102309,8.3,42,17,25,,,,,,,,,,,,,,0.0,0.0,1741.077,0.0,704.722,704.722,1036.355
