Date,State,City,Confirmed,Deaths,Recovered,Estimated Population,City Ibge Code,Closed,Active,Diff Confirmed,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Confirmed,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Confirmed,Diff4 Confirmed,Diff5 Confirmed,μ_closed,μ_confirmed,Confirmed Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi
2020-05-08,AC,Capixaba,1,0,0,11850,1200179,0,1,,,,,,,,,,,,,,,0.0,84.388,0.0,0.0,0.0,84.388
2020-05-09,AC,Capixaba,1,0,0,11850,1200179,0,1,,,,,,,,,,,,,,,0.0,84.388,0.0,0.0,0.0,84.388
2020-05-10,AC,Capixaba,1,0,0,11850,1200179,0,1,,,,,,,,,,,,,,,0.0,84.388,0.0,0.0,0.0,84.388
2020-05-11,AC,Capixaba,1,0,0,11850,1200179,0,1,0.0,,,,,,,,,,,,,,0.0,84.388,0.0,0.0,0.0,84.388
2020-05-12,AC,Capixaba,1,0,0,11850,1200179,0,1,0.1667,,,,,,,,,,,,,,0.0,84.388,0.0,0.0,0.0,84.388
2020-05-13,AC,Capixaba,1,0,0,11850,1200179,0,1,0.1667,,,,,,,,,,,,,,0.0,84.388,0.0,0.0,0.0,84.388
2020-05-14,AC,Capixaba,1,0,0,11850,1200179,0,1,0.1667,,,,,,,,,,,,,,0.0,84.388,0.0,0.0,0.0,84.388
2020-05-15,AC,Capixaba,2,0,1,11850,1200179,1,1,1.167,,,,,0.2778,,,,,,,,0.0,0.0,168.776,0.0,84.388,84.388,84.388
2020-05-16,AC,Capixaba,2,0,1,11850,1200179,1,1,1.5,,,,,0.2778,,,,,,,,0.0,0.0,168.776,0.0,84.388,84.388,84.388
2020-05-17,AC,Capixaba,2,0,1,11850,1200179,1,1,1.5,,,,,,,,,,,,,0.0,0.0,168.776,0.0,84.388,84.388,84.388
2020-05-18,AC,Capixaba,8,0,3,11850,1200179,3,5,1.833,0.6667,,,,,,,,,,,,0.0,0.0,675.105,0.0,253.165,253.165,421.941
2020-05-19,AC,Capixaba,10,0,4,11850,1200179,4,6,1.833,0.6667,,,,,,,,,,,,0.0,0.0,843.882,0.0,337.553,337.553,506.329
2020-05-20,AC,Capixaba,10,0,4,11850,1200179,4,6,,,,,,,,,,,,,,0.0,0.0,843.882,0.0,337.553,337.553,506.329
2020-05-21,AC,Capixaba,13,0,5,11850,1200179,5,8,,,,,,,,,,,,,,0.0,0.0,1097.046,0.0,421.941,421.941,675.105
2020-05-22,AC,Capixaba,13,0,5,11850,1200179,5,8,,,,,,,,,,,,,,0.0,0.0,1097.046,0.0,421.941,421.941,675.105
