Date,State,City,Confirmed,Deaths,Recovered,Estimated Population,City Ibge Code,Infected Per Confirmed,Infected,Closed,Active,Diff Infected,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Infected,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Infected,Diff4 Infected,Diff5 Infected,μ_closed,μ_infected,Infected Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi
2020-03-14,SP,Carapicuíba,1,0,0,404936,3510609,11.9,12,0,12,,,,,,,,,,,,,,,0.0,29.634,0.0,0.0,0.0,29.634
2020-03-16,SP,Carapicuíba,1,0,0,404936,3510609,11.9,12,0,12,,,,,,,,,,,,,,,0.0,29.634,0.0,0.0,0.0,29.634
2020-03-17,SP,Carapicuíba,1,0,0,404936,3510609,11.9,12,0,12,,,,,,,,,,,,,,,0.0,29.634,0.0,0.0,0.0,29.634
2020-03-19,SP,Carapicuíba,2,0,0,404936,3510609,11.9,24,0,24,,,,,,,,,,,,,,,0.0,59.269,0.0,0.0,0.0,59.269
2020-03-20,SP,Carapicuíba,2,0,0,404936,3510609,11.9,24,0,24,,,,,,,,,,,,,,,0.0,59.269,0.0,0.0,0.0,59.269
2020-03-25,SP,Carapicuíba,2,0,0,404936,3510609,11.9,24,0,24,,,,,,,,,,,,,,,0.0,59.269,0.0,0.0,0.0,59.269
2020-03-26,SP,Carapicuíba,2,0,0,404936,3510609,11.9,24,0,24,,,,,,,,,,,,,,,0.0,59.269,0.0,0.0,0.0,59.269
2020-03-27,SP,Carapicuíba,2,0,0,404936,3510609,11.9,24,0,24,,,,,,,,,,,,,,,0.0,59.269,0.0,0.0,0.0,59.269
2020-03-30,SP,Carapicuíba,3,0,1,404936,3510609,11.9,36,1,35,,,,,,,,,,,,,,0.0,0.0,88.903,0.0,2.47,2.47,86.433
2020-03-31,SP,Carapicuíba,6,0,1,404936,3510609,11.9,71,1,70,,,,,,,,,,,,,,0.0,0.0,175.336,0.0,2.47,2.47,172.867
2020-04-01,SP,Carapicuíba,7,0,1,404936,3510609,11.9,83,1,82,,,,,,,,,,,,,,0.0,0.0,204.971,0.0,2.47,2.47,202.501
2020-04-02,SP,Carapicuíba,11,1,2,404936,3510609,11.9,131,3,128,21.833,0.0,,,,,,,,,,,,0.3333,0.00763,323.508,2.47,4.939,7.409,316.099
2020-04-03,SP,Carapicuíba,11,1,1,404936,3510609,11.9,131,2,129,19.833,0.0,,,,,,,,,,,,0.5,0.00763,323.508,2.47,2.47,4.939,318.569
2020-04-04,SP,Carapicuíba,11,1,1,404936,3510609,11.9,131,2,129,23.833,0.0,,,,,,,,,,,,0.5,0.00763,323.508,2.47,2.47,4.939,318.569
2020-04-05,SP,Carapicuíba,14,1,1,404936,3510609,11.9,167,2,165,17.833,-0.16667,0.1667,0.0,17.833,1.972,,,,,,,,0.5,0.00599,412.411,2.47,2.47,4.939,407.472
2020-04-06,SP,Carapicuíba,16,1,1,404936,3510609,11.9,190,2,188,27.833,0.1667,0.1667,0.3333,27.5,2.333,,,,,,,,0.5,0.00526,469.21,2.47,2.47,4.939,464.271
2020-04-07,SP,Carapicuíba,19,1,1,404936,3510609,11.9,226,2,224,35.667,0.1667,0.1667,0.3333,35.333,0.6667,,,,,-0.16667,,,0.5,0.00442,558.113,2.47,2.47,4.939,553.174
2020-04-08,SP,Carapicuíba,20,2,1,404936,3510609,11.9,238,3,235,33.667,0.1667,0.1667,0.3333,33.333,2.306,,-0.02778,,,-0.16667,,,0.6667,0.0084,587.747,4.939,2.47,7.409,580.339
2020-04-09,SP,Carapicuíba,25,2,2,404936,3510609,11.9,298,4,294,33.833,0.1667,0.1667,0.3333,33.5,1.306,4.944,-0.02778,4.917,-3.61111,0.7431,,,0.5,0.00671,735.919,4.939,4.939,9.878,726.041
2020-04-10,SP,Carapicuíba,29,2,2,404936,3510609,11.9,345,4,341,27.833,0.1667,0.1667,0.3333,27.5,1.667,5.583,-0.02778,5.556,-3.88889,1.153,,,0.5,0.0058,851.986,4.939,4.939,9.878,842.108
2020-04-11,SP,Carapicuíba,31,2,2,404936,3510609,11.9,369,4,365,31.667,6.0,0.0,6.0,25.667,3.639,5.778,-0.02778,5.75,-2.11111,1.903,0.4132,,0.5,0.00542,911.255,4.939,4.939,9.878,901.377
2020-04-12,SP,Carapicuíba,33,2,2,404936,3510609,11.9,393,4,389,35.667,29.833,0.0,29.833,5.833,6.917,6.472,0.0,6.472,0.4444,1.736,-0.12153,,0.5,0.00509,970.524,4.939,4.939,9.878,960.646
2020-04-13,SP,Carapicuíba,33,2,2,404936,3510609,11.9,393,4,389,45.667,33.667,0.0,33.667,12.0,8.917,10.167,0.0,10.167,-1.25,2.396,-0.53646,-0.28429,0.5,0.00509,970.524,4.939,4.939,9.878,960.646
2020-04-14,SP,Carapicuíba,36,2,37,404936,3510609,11.9,428,39,389,55.5,34.833,0.0,34.833,20.667,8.611,8.306,,,,0.6667,-0.62153,,0.05128,0.00467,1056.957,4.939,91.372,96.312,960.646
2020-04-15,SP,Carapicuíba,43,2,181,404936,3510609,11.9,512,183,329,75.333,39.0,0.1667,39.167,36.167,13.222,3.083,,,,-0.24306,-0.72396,,0.01093,0.00391,1264.397,4.939,446.984,451.923,812.474
2020-04-16,SP,Carapicuíba,52,2,204,404936,3510609,11.9,619,206,413,81.333,61.167,0.1667,61.333,20.0,9.583,2.778,,,,-0.75,-0.0625,,0.00971,0.00323,1528.637,4.939,503.783,508.722,1019.914
2020-04-17,SP,Carapicuíba,59,2,211,404936,3510609,11.9,702,213,489,83.333,55.833,0.1667,56.0,27.333,7.944,2.806,,,,-0.5,,,0.00939,0.00285,1733.607,4.939,521.07,526.009,1207.598
2020-04-18,SP,Carapicuíba,71,3,236,404936,3510609,11.9,845,239,606,115.0,48.333,0.1667,48.5,66.5,5.611,2.806,0.05556,2.861,2.75,0.4167,,,0.01255,0.00355,2086.75,7.409,582.808,590.217,1496.533
2020-04-19,SP,Carapicuíba,74,3,369,404936,3510609,11.9,881,372,509,103.167,50.333,0.1667,50.5,52.667,11.222,-2.44444,0.08333,-2.36111,13.583,-0.82639,,,0.00806,0.00341,2175.652,7.409,911.255,918.664,1256.989
2020-04-20,SP,Carapicuíba,78,3,372,404936,3510609,11.9,928,375,553,103.167,51.667,0.6667,52.333,50.833,11.25,-1.47222,0.1111,-1.36111,12.611,1.153,0.2066,,0.008,0.00323,2291.72,7.409,918.664,926.072,1365.648
2020-04-21,SP,Carapicuíba,101,3,471,404936,3510609,11.9,1202,474,728,109.0,55.833,0.5,56.333,52.667,4.639,-1.30556,0.1111,-1.19444,5.833,0.6667,,,0.00633,0.0025,2968.37,7.409,1163.147,1170.555,1797.815
2020-04-22,SP,Carapicuíba,104,3,506,404936,3510609,11.9,1238,509,729,148.667,46.5,0.6667,47.167,101.5,10.222,-2.05556,0.1111,-1.94444,12.167,1.243,-0.47396,-0.37717,0.00589,0.00242,3057.273,7.409,1249.58,1256.989,1800.284
2020-04-23,SP,Carapicuíba,111,6,521,404936,3510609,11.9,1321,527,794,150.833,47.0,0.8333,47.833,103.0,13.889,-1.5,-0.02778,-1.52778,15.417,0.1667,-0.5816,,0.01139,0.00454,3262.244,14.817,1286.623,1301.44,1960.804
2020-04-24,SP,Carapicuíba,126,6,571,404936,3510609,11.9,1499,577,922,142.833,40.5,0.8333,41.333,101.5,16.222,-1.94444,0.05556,-1.88889,18.111,-0.74306,-1.30208,,0.0104,0.004,3701.82,14.817,1410.099,1424.917,2276.903
2020-04-25,SP,Carapicuíba,149,7,648,404936,3510609,11.9,1773,655,1118,164.5,38.0,0.8333,38.833,125.667,5.306,-1.38889,0.0,-1.38889,6.694,-1.65972,-0.35417,,0.01069,0.00395,4378.47,17.287,1600.253,1617.54,2760.93
2020-04-26,SP,Carapicuíba,154,8,654,404936,3510609,11.9,1833,662,1171,186.5,42.667,0.5,43.167,143.333,7.25,0.1389,-0.02778,0.1111,7.139,-3.96528,,,0.01208,0.00436,4526.641,19.756,1615.07,1634.826,2891.815
2020-04-27,SP,Carapicuíba,173,8,714,404936,3510609,11.9,2059,722,1337,206.333,44.167,0.8333,45.0,161.333,7.25,1.083,-0.02778,1.056,6.194,-1.25,,,0.01108,0.00389,5084.754,19.756,1763.242,1782.998,3301.756
2020-04-28,SP,Carapicuíba,187,8,734,404936,3510609,11.9,2225,742,1483,180.5,38.167,0.6667,38.833,141.667,0.3611,1.389,-0.02778,1.361,-1.0,-3.22222,,,0.01078,0.0036,5494.695,19.756,1812.632,1832.388,3662.307
2020-04-29,SP,Carapicuíba,205,9,777,404936,3510609,11.9,2440,786,1654,194.333,47.833,0.6667,48.5,145.833,0.3056,1.861,0.02778,1.889,-1.58333,-0.90278,,,0.01145,0.00369,6025.644,22.226,1918.822,1941.047,4084.596
2020-04-30,SP,Carapicuíba,230,11,836,404936,3510609,11.9,2737,847,1890,186.333,47.0,0.6667,47.667,138.667,-5.63889,0.8889,-0.02778,0.8611,-6.5,0.9028,,,0.01299,0.00402,6759.093,27.165,2064.524,2091.689,4667.404
2020-05-01,SP,Carapicuíba,240,11,877,404936,3510609,11.9,2856,888,1968,166.667,46.333,0.6667,47.0,119.667,3.639,3.333,0.05556,3.389,0.25,1.333,,,0.01239,0.00385,7052.966,27.165,2165.774,2192.939,4860.027
2020-05-02,SP,Carapicuíba,252,12,941,404936,3510609,11.9,2999,953,2046,188.333,53.833,0.6667,54.5,133.833,3.972,1.917,0.08333,2.0,1.972,,-0.18403,,0.01259,0.004,7406.109,29.634,2323.824,2353.458,5052.65
2020-05-03,SP,Carapicuíba,267,12,996,404936,3510609,11.9,3177,1008,2169,172.5,49.5,0.6667,50.167,122.333,5.639,1.389,0.08333,1.472,4.167,-0.24306,-0.68576,,0.0119,0.00378,7845.684,29.634,2459.648,2489.282,5356.402
2020-05-04,SP,Carapicuíba,271,12,1012,404936,3510609,11.9,3225,1024,2201,202.333,58.167,1.0,59.167,143.167,14.528,3.306,0.1389,3.444,11.083,0.1667,,,0.01172,0.00372,7964.222,29.634,2499.16,2528.795,5435.427
