Date,State,City,Confirmed,Deaths,Recovered,Estimated Population,City Ibge Code,Infected Per Confirmed,Infected,Closed,Active,Diff Infected,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Infected,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Infected,Diff4 Infected,Diff5 Infected,μ_closed,μ_infected,Infected Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi
2020-04-30,SE,Carira,1,0,2,22303,2801405,8.3,8,2,6,,,,,,,,,,,,,,0.0,0.0,358.696,0.0,89.674,89.674,269.022
2020-05-01,SE,Carira,1,0,2,22303,2801405,8.3,8,2,6,,,,,,,,,,,,,,0.0,0.0,358.696,0.0,89.674,89.674,269.022
2020-05-02,SE,Carira,2,0,5,22303,2801405,8.3,17,5,12,,,,,,,,,,,,,,0.0,0.0,762.229,0.0,224.185,224.185,538.044
2020-05-03,SE,Carira,2,0,5,22303,2801405,8.3,17,5,12,1.5,0.5,,,,,,,,,,,,0.0,0.0,762.229,0.0,224.185,224.185,538.044
2020-05-04,SE,Carira,2,0,5,22303,2801405,8.3,17,5,12,1.5,0.5,,,,,,,,,,,,0.0,0.0,762.229,0.0,224.185,224.185,538.044
2020-05-05,SE,Carira,2,0,5,22303,2801405,8.3,17,5,12,0.0,0.0,,,,,,,,,,,,0.0,0.0,762.229,0.0,224.185,224.185,538.044
2020-05-06,SE,Carira,2,0,5,22303,2801405,8.3,17,5,12,0.0,0.0,,,,-0.25,-0.08333,,,,,,,0.0,0.0,762.229,0.0,224.185,224.185,538.044
2020-05-07,SE,Carira,2,0,5,22303,2801405,8.3,17,5,12,0.0,0.0,,,,-0.25,-0.08333,,,,,,,0.0,0.0,762.229,0.0,224.185,224.185,538.044
2020-05-08,SE,Carira,2,0,5,22303,2801405,8.3,17,5,12,0.0,0.0,,,,,,,,,,,,0.0,0.0,762.229,0.0,224.185,224.185,538.044
2020-05-09,SE,Carira,2,0,5,22303,2801405,8.3,17,5,12,0.0,0.0,,,,,,,,,,,,0.0,0.0,762.229,0.0,224.185,224.185,538.044
2020-05-10,SE,Carira,2,0,5,22303,2801405,8.3,17,5,12,0.0,0.0,,,,,,,,,,,,0.0,0.0,762.229,0.0,224.185,224.185,538.044
2020-05-11,SE,Carira,2,0,5,22303,2801405,8.3,17,5,12,0.0,0.0,,,,,,,,,,,,0.0,0.0,762.229,0.0,224.185,224.185,538.044
2020-05-12,SE,Carira,2,0,5,22303,2801405,8.3,17,5,12,0.0,0.0,,,,,,,,,,,,0.0,0.0,762.229,0.0,224.185,224.185,538.044
2020-05-13,SE,Carira,2,0,5,22303,2801405,8.3,17,5,12,0.0,0.0,,,,,,,,,,,,0.0,0.0,762.229,0.0,224.185,224.185,538.044
2020-05-14,SE,Carira,2,0,5,22303,2801405,8.3,17,5,12,0.0,0.0,,,,,,,,,,,,0.0,0.0,762.229,0.0,224.185,224.185,538.044
2020-05-15,SE,Carira,2,0,5,22303,2801405,8.3,17,5,12,0.0,0.0,,,,,,,,,,,,0.0,0.0,762.229,0.0,224.185,224.185,538.044
2020-05-16,SE,Carira,2,0,5,22303,2801405,8.3,17,5,12,0.0,0.0,,,,,,,,,,,,0.0,0.0,762.229,0.0,224.185,224.185,538.044
2020-05-17,SE,Carira,2,0,5,22303,2801405,8.3,17,5,12,0.0,0.0,,,,,,,,,,,,0.0,0.0,762.229,0.0,224.185,224.185,538.044
2020-05-18,SE,Carira,2,0,5,22303,2801405,8.3,17,5,12,0.0,0.0,,,,,,,,,,,,0.0,0.0,762.229,0.0,224.185,224.185,538.044
2020-05-19,SE,Carira,2,0,5,22303,2801405,8.3,17,5,12,0.0,0.0,,,,,,,,,,,,0.0,0.0,762.229,0.0,224.185,224.185,538.044
2020-05-20,SE,Carira,2,0,5,22303,2801405,8.3,17,5,12,0.0,0.0,,,,,,,,,,,,0.0,0.0,762.229,0.0,224.185,224.185,538.044
2020-05-21,SE,Carira,2,0,5,22303,2801405,8.3,17,5,12,0.0,0.0,,,,,,,,,,,,0.0,0.0,762.229,0.0,224.185,224.185,538.044
2020-05-22,SE,Carira,2,0,5,22303,2801405,8.3,17,5,12,0.0,0.1667,,,,,,,,,,,,0.0,0.0,762.229,0.0,224.185,224.185,538.044
2020-05-23,SE,Carira,2,0,5,22303,2801405,8.3,17,5,12,,,,,,,,,,,,,,0.0,0.0,762.229,0.0,224.185,224.185,538.044
2020-05-24,SE,Carira,2,0,5,22303,2801405,8.3,17,5,12,,,,,,,,,,,,,,0.0,0.0,762.229,0.0,224.185,224.185,538.044
2020-05-25,SE,Carira,2,0,6,22303,2801405,8.3,17,6,11,,,,,,,,,,,,,,0.0,0.0,762.229,0.0,269.022,269.022,493.207
