Date,State,City,Confirmed,Deaths,Recovered,Estimated Population,City Ibge Code,Infected Per Confirmed,Infected,Closed,Active,Diff Infected,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Infected,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Infected,Diff4 Infected,Diff5 Infected,μ_closed,μ_infected,Infected Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi
2020-04-17,GO,Carmo do Rio Verde,1,0,3,10183,5205000,8.3,8,3,5,,,,,,,,,,,,,,0.0,0.0,785.623,0.0,294.609,294.609,491.014
2020-04-18,GO,Carmo do Rio Verde,1,0,3,10183,5205000,8.3,8,3,5,,,,,,,,,,,,,,0.0,0.0,785.623,0.0,294.609,294.609,491.014
2020-04-19,GO,Carmo do Rio Verde,1,0,5,10183,5205000,8.3,8,5,3,,,,,,,,,,,,,,0.0,0.0,785.623,0.0,491.014,491.014,294.609
2020-04-20,GO,Carmo do Rio Verde,1,0,4,10183,5205000,8.3,8,4,4,0.0,0.1667,,,,,,,,,,,,0.0,0.0,785.623,0.0,392.812,392.812,392.812
2020-04-21,GO,Carmo do Rio Verde,1,0,4,10183,5205000,8.3,8,4,4,2.833,1.667,,,,,,,,,,,,0.0,0.0,785.623,0.0,392.812,392.812,392.812
2020-04-22,GO,Carmo do Rio Verde,1,0,4,10183,5205000,8.3,8,4,4,2.833,1.167,,,,,,,,,,,,0.0,0.0,785.623,0.0,392.812,392.812,392.812
2020-04-23,GO,Carmo do Rio Verde,1,0,4,10183,5205000,8.3,8,4,4,2.833,1.333,,,,,0.1667,,,,,,,0.0,0.0,785.623,0.0,392.812,392.812,392.812
2020-04-24,GO,Carmo do Rio Verde,3,0,13,10183,5205000,8.3,25,13,12,2.833,1.333,,,,-0.47222,-0.36111,,,,,,,0.0,0.0,2455.072,0.0,1276.638,1276.638,1178.435
2020-04-25,GO,Carmo do Rio Verde,3,0,12,10183,5205000,8.3,25,12,13,2.833,1.167,,,,-0.47222,-0.25,,,,,,,0.0,0.0,2455.072,0.0,1178.435,1178.435,1276.638
2020-04-26,GO,Carmo do Rio Verde,3,0,12,10183,5205000,8.3,25,12,13,2.833,1.167,,,,-0.47222,-0.25,,,,,,,0.0,0.0,2455.072,0.0,1178.435,1178.435,1276.638
