Date,State,City,Confirmed,Deaths,Recovered,Estimated Population,City Ibge Code,Closed,Active,Diff Confirmed,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Confirmed,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Confirmed,Diff4 Confirmed,Diff5 Confirmed,μ_closed,μ_confirmed,Confirmed Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi
2020-04-30,SP,Charqueada,1,0,0,17362,3511706,0,1,,,,,,,,,,,,,,,0.0,57.597,0.0,0.0,0.0,57.597
2020-05-01,SP,Charqueada,4,1,2,17362,3511706,3,1,,,,,,,,,,,,,,0.3333,0.25,230.388,57.597,115.194,172.791,57.597
2020-05-02,SP,Charqueada,4,1,2,17362,3511706,3,1,,,,,,,,,,,,,,0.3333,0.25,230.388,57.597,115.194,172.791,57.597
2020-05-03,SP,Charqueada,4,1,2,17362,3511706,3,1,0.5,,,,,,,,,,,,,0.3333,0.25,230.388,57.597,115.194,172.791,57.597
2020-05-04,SP,Charqueada,4,1,2,17362,3511706,3,1,0.5,0.1667,0.0,0.1667,0.3333,,,,,,,,,0.3333,0.25,230.388,57.597,115.194,172.791,57.597
2020-05-05,SP,Charqueada,4,1,2,17362,3511706,3,1,1.0,0.3333,0.0,0.3333,0.6667,,,,,,,,,0.3333,0.25,230.388,57.597,115.194,172.791,57.597
2020-05-06,SP,Charqueada,4,1,2,17362,3511706,3,1,1.0,0.3333,0.0,0.3333,0.6667,0.08333,,,,,,,,0.3333,0.25,230.388,57.597,115.194,172.791,57.597
2020-05-07,SP,Charqueada,7,1,3,17362,3511706,4,3,1.0,0.3333,0.0,0.3333,0.6667,0.1389,0.05556,,,,,,,0.25,0.1429,403.179,57.597,172.791,230.388,172.791
2020-05-08,SP,Charqueada,10,1,4,17362,3511706,5,5,1.0,0.3333,0.0,0.3333,0.6667,0.02778,0.02778,,,,-0.00694,,,0.2,0.1,575.971,57.597,230.388,287.985,287.985
2020-05-09,SP,Charqueada,10,1,4,17362,3511706,5,5,1.0,0.3333,0.0,0.3333,0.6667,0.05556,0.02778,,,,,,,0.2,0.1,575.971,57.597,230.388,287.985,287.985
2020-05-10,SP,Charqueada,10,1,4,17362,3511706,5,5,1.333,0.5,0.0,0.5,0.8333,0.05556,0.02778,,,,,,,0.2,0.1,575.971,57.597,230.388,287.985,287.985
2020-05-11,SP,Charqueada,10,1,4,17362,3511706,5,5,1.167,0.5,0.0,0.5,0.6667,,,,,,,,,0.2,0.1,575.971,57.597,230.388,287.985,287.985
2020-05-12,SP,Charqueada,10,1,4,17362,3511706,5,5,1.333,0.5,0.0,0.5,0.8333,,,,,,,,,0.2,0.1,575.971,57.597,230.388,287.985,287.985
2020-05-13,SP,Charqueada,15,1,6,17362,3511706,7,8,1.333,0.5,0.0,0.5,0.8333,,,,,,,,,0.1429,0.06667,863.956,57.597,345.582,403.179,460.776
2020-05-14,SP,Charqueada,17,1,7,17362,3511706,8,9,,,,,,,,,,,,,,0.125,0.05882,979.15,57.597,403.179,460.776,518.373
2020-05-15,SP,Charqueada,18,1,7,17362,3511706,8,10,,,,,,,,,,,,,,0.125,0.05556,1036.747,57.597,403.179,460.776,575.971
2020-05-16,SP,Charqueada,18,1,7,17362,3511706,8,10,,,,,,,,,,,,,,0.125,0.05556,1036.747,57.597,403.179,460.776,575.971
