Date,State,City,Confirmed,Deaths,Recovered,Estimated Population,City Ibge Code,Closed,Active,Diff Confirmed,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Confirmed,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Confirmed,Diff4 Confirmed,Diff5 Confirmed,μ_closed,μ_confirmed,Confirmed Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi
2020-03-12,PR,Cianorte,1,0,0,83446,4105508,0,1,,,,,,,,,,,,,,,0.0,11.984,0.0,0.0,0.0,11.984
2020-03-13,PR,Cianorte,1,0,0,83446,4105508,0,1,,,,,,,,,,,,,,,0.0,11.984,0.0,0.0,0.0,11.984
2020-03-16,PR,Cianorte,1,0,0,83446,4105508,0,1,,,,,,,,,,,,,,,0.0,11.984,0.0,0.0,0.0,11.984
2020-03-17,PR,Cianorte,2,0,0,83446,4105508,0,2,,,,,,,,,,,,,,,0.0,23.968,0.0,0.0,0.0,23.968
2020-03-18,PR,Cianorte,2,0,0,83446,4105508,0,2,,,,,,,,,,,,,,,0.0,23.968,0.0,0.0,0.0,23.968
2020-03-19,PR,Cianorte,2,0,0,83446,4105508,0,2,0.5,,,,,,,,,,,,,,0.0,23.968,0.0,0.0,0.0,23.968
2020-03-20,PR,Cianorte,2,0,0,83446,4105508,0,2,0.6667,,,,,,,,,,,,,,0.0,23.968,0.0,0.0,0.0,23.968
2020-03-21,PR,Cianorte,2,0,0,83446,4105508,0,2,0.6667,,,,,,,,,,,,,,0.0,23.968,0.0,0.0,0.0,23.968
2020-03-22,PR,Cianorte,4,0,0,83446,4105508,0,4,0.6667,,,,,0.0,,,,,,,,,0.0,47.935,0.0,0.0,0.0,47.935
2020-03-23,PR,Cianorte,6,0,0,83446,4105508,0,6,0.6667,,,,,-0.08333,,,,,,,,,0.0,71.903,0.0,0.0,0.0,71.903
2020-03-24,PR,Cianorte,6,0,0,83446,4105508,0,6,0.8333,,,,,-0.08333,,,,,,,,,0.0,71.903,0.0,0.0,0.0,71.903
2020-03-25,PR,Cianorte,6,0,0,83446,4105508,0,6,0.5,,,,,-0.08333,,,,,,,,,0.0,71.903,0.0,0.0,0.0,71.903
2020-03-26,PR,Cianorte,6,0,0,83446,4105508,0,6,0.1667,,,,,-0.05556,,,,,,,,,0.0,71.903,0.0,0.0,0.0,71.903
2020-03-27,PR,Cianorte,7,0,0,83446,4105508,0,7,0.1667,,,,,-0.02778,,,,,,,,,0.0,83.887,0.0,0.0,0.0,83.887
2020-03-28,PR,Cianorte,7,0,0,83446,4105508,0,7,0.1667,,,,,0.02778,,,,,,,,,0.0,83.887,0.0,0.0,0.0,83.887
2020-03-29,PR,Cianorte,7,0,0,83446,4105508,0,7,0.3333,,,,,0.08333,,,,,,,,,0.0,83.887,0.0,0.0,0.0,83.887
2020-03-30,PR,Cianorte,7,0,0,83446,4105508,0,7,0.6667,,,,,0.08333,,,,,0.01389,,,,0.0,83.887,0.0,0.0,0.0,83.887
2020-03-31,PR,Cianorte,7,0,0,83446,4105508,0,7,0.6667,,,,,0.08333,,,,,-0.03472,,,,0.0,83.887,0.0,0.0,0.0,83.887
