Date,State,City,Confirmed,Deaths,Recovered,Estimated Population,City Ibge Code,Infected Per Confirmed,Infected,Closed,Active,Diff Infected,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Infected,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Infected,Diff4 Infected,Diff5 Infected,μ_closed,μ_infected,Infected Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi
2020-05-14,BA,Conceição da Feira,1,0,3,22807,2908200,8.3,8,3,5,,,,,,,,,,,,,,0.0,0.0,350.77,0.0,131.539,131.539,219.231
2020-05-15,BA,Conceição da Feira,1,0,3,22807,2908200,8.3,8,3,5,,,,,,,,,,,,,,0.0,0.0,350.77,0.0,131.539,131.539,219.231
2020-05-16,BA,Conceição da Feira,2,0,7,22807,2908200,8.3,17,7,10,,,,,,,,,,,,,,0.0,0.0,745.385,0.0,306.923,306.923,438.462
2020-05-17,BA,Conceição da Feira,2,0,7,22807,2908200,8.3,17,7,10,0.0,0.0,,,,,,,,,,,,0.0,0.0,745.385,0.0,306.923,306.923,438.462
2020-05-18,BA,Conceição da Feira,2,0,7,22807,2908200,8.3,17,7,10,0.0,0.0,,,,,,,,,,,,0.0,0.0,745.385,0.0,306.923,306.923,438.462
2020-05-19,BA,Conceição da Feira,1,0,3,22807,2908200,8.3,8,3,5,-1.5,-0.66667,,,,,,,,,,,,0.0,0.0,350.77,0.0,131.539,131.539,219.231
2020-05-20,BA,Conceição da Feira,1,0,3,22807,2908200,8.3,8,3,5,-1.5,-0.66667,,,,,,,,,,,,0.0,0.0,350.77,0.0,131.539,131.539,219.231
2020-05-21,BA,Conceição da Feira,1,0,3,22807,2908200,8.3,8,3,5,-1.5,-0.66667,,,,,,,,,,,,0.0,0.0,350.77,0.0,131.539,131.539,219.231
2020-05-22,BA,Conceição da Feira,1,0,3,22807,2908200,8.3,8,3,5,1.5,0.6667,,,,,,,,,,,,0.0,0.0,350.77,0.0,131.539,131.539,219.231
2020-05-23,BA,Conceição da Feira,1,0,3,22807,2908200,8.3,8,3,5,2.833,1.167,,,,,,,,,,,,0.0,0.0,350.77,0.0,131.539,131.539,219.231
2020-05-24,BA,Conceição da Feira,1,0,3,22807,2908200,8.3,8,3,5,,,,,,,,,,,,,,0.0,0.0,350.77,0.0,131.539,131.539,219.231
2020-05-25,BA,Conceição da Feira,2,0,7,22807,2908200,8.3,17,7,10,,,,,,,,,,,,,,0.0,0.0,745.385,0.0,306.923,306.923,438.462
2020-05-26,BA,Conceição da Feira,3,0,10,22807,2908200,8.3,25,10,15,,,,,,,,,,,,,,0.0,0.0,1096.155,0.0,438.462,438.462,657.693
