Date,State,City,Confirmed,Deaths,Recovered,Estimated Population,City Ibge Code,Infected Per Confirmed,Infected,Closed,Active,Diff Infected,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Infected,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Infected,Diff4 Infected,Diff5 Infected,μ_closed,μ_infected,Infected Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi
2020-04-24,PB,Coxixola,1,0,1,1940,2504850,14.047,14,1,13,,,,,,,,,,,,,,0.0,0.0,7216.495,0.0,515.464,515.464,6701.031
2020-04-25,PB,Coxixola,1,0,0,1940,2504850,14.047,14,0,14,,,,,,,,,,,,,,,0.0,7216.495,0.0,0.0,0.0,7216.495
2020-04-26,PB,Coxixola,1,0,0,1940,2504850,14.047,14,0,14,,,,,,,,,,,,,,,0.0,7216.495,0.0,0.0,0.0,7216.495
2020-04-27,PB,Coxixola,1,0,0,1940,2504850,14.047,14,0,14,0.0,-0.16667,,,,,,,,,,,,,0.0,7216.495,0.0,0.0,0.0,7216.495
2020-04-28,PB,Coxixola,1,0,0,1940,2504850,14.047,14,0,14,2.333,,,,,,,,,,,,,,0.0,7216.495,0.0,0.0,0.0,7216.495
2020-04-29,PB,Coxixola,1,0,0,1940,2504850,14.047,14,0,14,4.667,,,,,,,,,,,,,,0.0,7216.495,0.0,0.0,0.0,7216.495
2020-04-30,PB,Coxixola,1,0,0,1940,2504850,14.047,14,0,14,4.667,,,,,,,,,,,,,,0.0,7216.495,0.0,0.0,0.0,7216.495
2020-05-01,PB,Coxixola,2,0,1,1940,2504850,14.047,28,1,27,4.667,,,,,0.0,,,,,,,,0.0,0.0,14432.99,0.0,515.464,515.464,13917.526
2020-05-02,PB,Coxixola,3,0,1,1940,2504850,14.047,42,1,41,4.667,,,,,-0.77778,,,,,,,,0.0,0.0,21649.485,0.0,515.464,515.464,21134.021
2020-05-03,PB,Coxixola,3,0,1,1940,2504850,14.047,42,1,41,4.667,,,,,-0.77778,,,,,,,,0.0,0.0,21649.485,0.0,515.464,515.464,21134.021
2020-05-04,PB,Coxixola,3,0,1,1940,2504850,14.047,42,1,41,2.333,0.0,,,,-0.77778,,,,,,,,0.0,0.0,21649.485,0.0,515.464,515.464,21134.021
2020-05-05,PB,Coxixola,3,0,1,1940,2504850,14.047,42,1,41,0.0,0.0,,,,-0.77778,,,,,,,,0.0,0.0,21649.485,0.0,515.464,515.464,21134.021
2020-05-06,PB,Coxixola,3,0,1,1940,2504850,14.047,42,1,41,0.0,0.0,,,,-0.77778,,,,,,,,0.0,0.0,21649.485,0.0,515.464,515.464,21134.021
2020-05-07,PB,Coxixola,3,0,1,1940,2504850,14.047,42,1,41,0.0,0.0,,,,-0.38889,,,,,,,,0.0,0.0,21649.485,0.0,515.464,515.464,21134.021
2020-05-08,PB,Coxixola,3,0,1,1940,2504850,14.047,42,1,41,0.0,0.0,,,,,,,,,,,,0.0,0.0,21649.485,0.0,515.464,515.464,21134.021
2020-05-09,PB,Coxixola,3,0,1,1940,2504850,14.047,42,1,41,0.0,0.0,,,,,,,,,,,,0.0,0.0,21649.485,0.0,515.464,515.464,21134.021
2020-05-10,PB,Coxixola,3,0,1,1940,2504850,14.047,42,1,41,0.0,0.0,,,,,,,,,,,,0.0,0.0,21649.485,0.0,515.464,515.464,21134.021
2020-05-11,PB,Coxixola,3,0,1,1940,2504850,14.047,42,1,41,0.0,0.0,,,,,,,,,,,,0.0,0.0,21649.485,0.0,515.464,515.464,21134.021
2020-05-12,PB,Coxixola,3,0,1,1940,2504850,14.047,42,1,41,0.0,0.0,,,,,,,,,,,,0.0,0.0,21649.485,0.0,515.464,515.464,21134.021
2020-05-13,PB,Coxixola,3,0,1,1940,2504850,14.047,42,1,41,0.0,0.0,,,,,,,,,,,,0.0,0.0,21649.485,0.0,515.464,515.464,21134.021
2020-05-14,PB,Coxixola,3,0,1,1940,2504850,14.047,42,1,41,0.0,0.0,,,,,,,,,,,,0.0,0.0,21649.485,0.0,515.464,515.464,21134.021
2020-05-15,PB,Coxixola,3,0,1,1940,2504850,14.047,42,1,41,0.0,0.0,,,,,,,,,,,,0.0,0.0,21649.485,0.0,515.464,515.464,21134.021
2020-05-16,PB,Coxixola,3,0,1,1940,2504850,14.047,42,1,41,0.0,0.0,,,,,,,,,,,,0.0,0.0,21649.485,0.0,515.464,515.464,21134.021
2020-05-17,PB,Coxixola,3,0,1,1940,2504850,14.047,42,1,41,0.0,0.0,,,,,,,,,,,,0.0,0.0,21649.485,0.0,515.464,515.464,21134.021
2020-05-18,PB,Coxixola,3,0,1,1940,2504850,14.047,42,1,41,0.0,0.0,,,,,,,,,,,,0.0,0.0,21649.485,0.0,515.464,515.464,21134.021
2020-05-19,PB,Coxixola,3,0,1,1940,2504850,14.047,42,1,41,2.333,0.1667,,,,,,,,,,,,0.0,0.0,21649.485,0.0,515.464,515.464,21134.021
2020-05-20,PB,Coxixola,3,0,1,1940,2504850,14.047,42,1,41,2.333,0.1667,,,,,,,,,,,,0.0,0.0,21649.485,0.0,515.464,515.464,21134.021
2020-05-21,PB,Coxixola,3,0,1,1940,2504850,14.047,42,1,41,2.333,0.1667,,,,,,,,,,,,0.0,0.0,21649.485,0.0,515.464,515.464,21134.021
2020-05-22,PB,Coxixola,4,0,2,1940,2504850,14.047,56,2,54,2.333,0.1667,,,,,,,,,,,,0.0,0.0,28865.979,0.0,1030.928,1030.928,27835.052
2020-05-23,PB,Coxixola,4,0,2,1940,2504850,14.047,56,2,54,,,,,,,,,,,,,,0.0,0.0,28865.979,0.0,1030.928,1030.928,27835.052
2020-05-24,PB,Coxixola,4,0,2,1940,2504850,14.047,56,2,54,,,,,,,,,,,,,,0.0,0.0,28865.979,0.0,1030.928,1030.928,27835.052
2020-05-25,PB,Coxixola,4,0,2,1940,2504850,14.047,56,2,54,,,,,,,,,,,,,,0.0,0.0,28865.979,0.0,1030.928,1030.928,27835.052
