Date,State,City,Confirmed,Deaths,Recovered,Estimated Population,City Ibge Code,Infected Per Confirmed,Infected,Closed,Active,Diff Infected,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Infected,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Infected,Diff4 Infected,Diff5 Infected,μ_closed,μ_infected,Infected Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi
2020-05-05,SC,Cunha Porã,1,0,0,11197,4204707,25.0,25,0,25,,,,,,,,,,,,,,,0.0,2232.741,0.0,0.0,0.0,2232.741
2020-05-06,SC,Cunha Porã,1,0,0,11197,4204707,25.0,25,0,25,,,,,,,,,,,,,,,0.0,2232.741,0.0,0.0,0.0,2232.741
2020-05-07,SC,Cunha Porã,1,0,0,11197,4204707,25.0,25,0,25,,,,,,,,,,,,,,,0.0,2232.741,0.0,0.0,0.0,2232.741
2020-05-08,SC,Cunha Porã,1,0,0,11197,4204707,25.0,25,0,25,0.0,,,,,,,,,,,,,,0.0,2232.741,0.0,0.0,0.0,2232.741
2020-05-09,SC,Cunha Porã,1,0,0,11197,4204707,25.0,25,0,25,0.0,,,,,,,,,,,,,,0.0,2232.741,0.0,0.0,0.0,2232.741
2020-05-10,SC,Cunha Porã,1,0,0,11197,4204707,25.0,25,0,25,-4.16667,,,,,,,,,,,,,,0.0,2232.741,0.0,0.0,0.0,2232.741
2020-05-11,SC,Cunha Porã,1,0,0,11197,4204707,25.0,25,0,25,-4.16667,,,,,,,,,,,,,,0.0,2232.741,0.0,0.0,0.0,2232.741
2020-05-12,SC,Cunha Porã,1,0,0,11197,4204707,25.0,25,0,25,-4.16667,,,,,,,,,,,,,,0.0,2232.741,0.0,0.0,0.0,2232.741
2020-05-13,SC,Cunha Porã,0,0,0,11197,4204707,25.0,0,0,0,0.0,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2020-05-14,SC,Cunha Porã,0,0,0,11197,4204707,25.0,0,0,0,4.167,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2020-05-15,SC,Cunha Porã,0,0,0,11197,4204707,25.0,0,0,0,20.833,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2020-05-16,SC,Cunha Porã,1,0,0,11197,4204707,25.0,25,0,25,,,,,,,,,,,,,,,0.0,2232.741,0.0,0.0,0.0,2232.741
2020-05-17,SC,Cunha Porã,2,0,1,11197,4204707,25.0,50,1,49,,,,,,4.167,,,,,,,,0.0,0.0,4465.482,0.0,89.31,89.31,4376.172
2020-05-18,SC,Cunha Porã,6,0,2,11197,4204707,25.0,150,2,148,,,,,,,,,,,,,,0.0,0.0,13396.445,0.0,178.619,178.619,13217.826
2020-05-19,SC,Cunha Porã,9,0,4,11197,4204707,25.0,225,4,221,33.333,,,,,,,,,,,,,0.0,0.0,20094.668,0.0,357.239,357.239,19737.43
2020-05-20,SC,Cunha Porã,9,0,4,11197,4204707,25.0,225,4,221,29.167,0.5,,,,,,,,,,,,0.0,0.0,20094.668,0.0,357.239,357.239,19737.43
2020-05-21,SC,Cunha Porã,9,0,4,11197,4204707,25.0,225,4,221,,,,,,,,,,,,,,0.0,0.0,20094.668,0.0,357.239,357.239,19737.43
2020-05-22,SC,Cunha Porã,9,0,4,11197,4204707,25.0,225,4,221,,,,,,,,,,,,,,0.0,0.0,20094.668,0.0,357.239,357.239,19737.43
2020-05-23,SC,Cunha Porã,9,0,4,11197,4204707,25.0,225,4,221,,,,,,,,,,,,,,0.0,0.0,20094.668,0.0,357.239,357.239,19737.43
