Date,State,City,Confirmed,Deaths,Recovered,Estimated Population,City Ibge Code,Infected Per Confirmed,Infected,Closed,Active,Diff Infected,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Infected,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Infected,Diff4 Infected,Diff5 Infected,μ_closed,μ_infected,Infected Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi
2020-04-13,RS,Espumoso,1,0,0,15744,4307500,8.4,8,0,8,,,,,,,,,,,,,,,0.0,508.13,0.0,0.0,0.0,508.13
2020-04-14,RS,Espumoso,1,0,1,15744,4307500,8.4,8,1,7,,,,,,,,,,,,,,0.0,0.0,508.13,0.0,63.516,63.516,444.614
2020-04-15,RS,Espumoso,1,0,3,15744,4307500,8.4,8,3,5,,,,,,,,,,,,,,0.0,0.0,508.13,0.0,190.549,190.549,317.581
2020-04-16,RS,Espumoso,1,0,3,15744,4307500,8.4,8,3,5,0.0,,,,,,,,,,,,,0.0,0.0,508.13,0.0,190.549,190.549,317.581
2020-04-17,RS,Espumoso,1,0,2,15744,4307500,8.4,8,2,6,0.0,0.3333,,,,,,,,,,,,0.0,0.0,508.13,0.0,127.033,127.033,381.098
2020-04-18,RS,Espumoso,1,0,2,15744,4307500,8.4,8,2,6,1.5,0.6667,,,,,,,,,,,,0.0,0.0,508.13,0.0,127.033,127.033,381.098
2020-04-19,RS,Espumoso,1,0,3,15744,4307500,8.4,8,3,5,2.833,1.167,,,,,,,,,,,,0.0,0.0,508.13,0.0,190.549,190.549,317.581
2020-04-20,RS,Espumoso,1,0,3,15744,4307500,8.4,8,3,5,1.5,0.8333,,,,,0.1944,,,,,,,0.0,0.0,508.13,0.0,190.549,190.549,317.581
2020-04-21,RS,Espumoso,2,0,7,15744,4307500,8.4,17,7,10,1.5,0.6667,,,,0.2222,0.02778,,,,,,,0.0,0.0,1079.776,0.0,444.614,444.614,635.163
2020-04-22,RS,Espumoso,3,0,10,15744,4307500,8.4,25,10,15,4.333,1.5,,,,-0.22222,-0.16667,,,,,,,0.0,0.0,1587.907,0.0,635.163,635.163,952.744
2020-04-23,RS,Espumoso,2,0,7,15744,4307500,8.4,17,7,10,4.333,1.5,,,,0.2222,-0.02778,,,,-0.23611,,,0.0,0.0,1079.776,0.0,444.614,444.614,635.163
2020-04-24,RS,Espumoso,2,0,6,15744,4307500,8.4,17,6,11,2.833,0.8333,,,,0.2222,0.0,,,,,,,0.0,0.0,1079.776,0.0,381.098,381.098,698.679
2020-04-25,RS,Espumoso,4,0,12,15744,4307500,8.4,34,12,22,1.5,0.1667,,,,-0.72222,-0.30556,,,,-0.17361,,,0.0,0.0,2159.553,0.0,762.195,762.195,1397.358
2020-04-26,RS,Espumoso,4,0,12,15744,4307500,8.4,34,12,22,2.833,0.6667,,,,-0.72222,-0.27778,,,,-0.11806,,,0.0,0.0,2159.553,0.0,762.195,762.195,1397.358
2020-04-27,RS,Espumoso,4,0,12,15744,4307500,8.4,34,12,22,2.833,0.6667,,,,-0.47222,-0.16667,,,,,,,0.0,0.0,2159.553,0.0,762.195,762.195,1397.358
2020-04-28,RS,Espumoso,4,0,11,15744,4307500,8.4,34,11,23,0.0,-0.33333,,,,-0.25,-0.02778,,,,,,,0.0,0.0,2159.553,0.0,698.679,698.679,1460.874
2020-04-29,RS,Espumoso,4,0,11,15744,4307500,8.4,34,11,23,0.0,-0.16667,,,,-0.47222,-0.13889,,,,,,,0.0,0.0,2159.553,0.0,698.679,698.679,1460.874
2020-04-30,RS,Espumoso,4,0,10,15744,4307500,8.4,34,10,24,0.0,-0.16667,,,,-0.47222,-0.11111,,,,,,,0.0,0.0,2159.553,0.0,635.163,635.163,1524.39
2020-05-01,RS,Espumoso,4,0,10,15744,4307500,8.4,34,10,24,0.0,0.0,,,,,,,,,,,,0.0,0.0,2159.553,0.0,635.163,635.163,1524.39
