Date,State,City,Confirmed,Deaths,Recovered,Estimated Population,City Ibge Code,Closed,Active,Diff Confirmed,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Confirmed,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Confirmed,Diff4 Confirmed,Diff5 Confirmed,μ_closed,μ_confirmed,Confirmed Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi
2020-04-16,PE,Feira Nova,2,0,1,22352,2605400,1,1,,,,,,,,,,,,,,0.0,0.0,89.477,0.0,44.739,44.739,44.739
2020-04-17,PE,Feira Nova,2,0,1,22352,2605400,1,1,,,,,,,,,,,,,,0.0,0.0,89.477,0.0,44.739,44.739,44.739
2020-04-18,PE,Feira Nova,2,0,1,22352,2605400,1,1,,,,,,,,,,,,,,0.0,0.0,89.477,0.0,44.739,44.739,44.739
2020-04-19,PE,Feira Nova,2,0,1,22352,2605400,1,1,0.0,0.0,,,,,,,,,,,,0.0,0.0,89.477,0.0,44.739,44.739,44.739
2020-04-20,PE,Feira Nova,2,0,1,22352,2605400,1,1,0.0,0.0,,,,,,,,,,,,0.0,0.0,89.477,0.0,44.739,44.739,44.739
2020-04-21,PE,Feira Nova,2,0,1,22352,2605400,1,1,0.0,0.0,,,,,,,,,,,,0.0,0.0,89.477,0.0,44.739,44.739,44.739
2020-04-22,PE,Feira Nova,2,0,1,22352,2605400,1,1,0.0,0.0,,,,,,,,,,,,0.0,0.0,89.477,0.0,44.739,44.739,44.739
2020-04-23,PE,Feira Nova,2,0,1,22352,2605400,1,1,0.0,0.0,,,,,,,,,,,,0.0,0.0,89.477,0.0,44.739,44.739,44.739
2020-04-24,PE,Feira Nova,2,0,1,22352,2605400,1,1,0.0,0.0,,,,,,,,,,,,0.0,0.0,89.477,0.0,44.739,44.739,44.739
2020-04-25,PE,Feira Nova,2,0,1,22352,2605400,1,1,0.0,0.0,,,,,,,,,,,,0.0,0.0,89.477,0.0,44.739,44.739,44.739
2020-04-26,PE,Feira Nova,2,0,1,22352,2605400,1,1,0.1667,0.0,,,,,,,,,,,,0.0,0.0,89.477,0.0,44.739,44.739,44.739
2020-04-27,PE,Feira Nova,2,0,1,22352,2605400,1,1,0.3333,0.1667,,,,,,,,,,,,0.0,0.0,89.477,0.0,44.739,44.739,44.739
2020-04-28,PE,Feira Nova,2,0,1,22352,2605400,1,1,0.3333,0.1667,,,,,,,,,,,,0.0,0.0,89.477,0.0,44.739,44.739,44.739
2020-04-29,PE,Feira Nova,3,0,1,22352,2605400,1,2,0.5,0.1667,,,,0.05556,,,,,,,,0.0,0.0,134.216,0.0,44.739,44.739,89.477
2020-04-30,PE,Feira Nova,4,0,2,22352,2605400,2,2,0.5,0.1667,,,,0.0,-0.02778,,,,,,,0.0,0.0,178.955,0.0,89.477,89.477,89.477
2020-05-01,PE,Feira Nova,4,0,2,22352,2605400,2,2,0.6667,0.3333,,,,0.05556,0.0,,,,0.0,,,0.0,0.0,178.955,0.0,89.477,89.477,89.477
2020-05-02,PE,Feira Nova,5,0,2,22352,2605400,2,3,0.5,0.3333,,,,0.0,0.0,,,,,,,0.0,0.0,223.694,0.0,89.477,89.477,134.216
2020-05-03,PE,Feira Nova,5,0,2,22352,2605400,2,3,0.3333,0.0,,,,0.05556,0.02778,,,,0.02083,,,0.0,0.0,223.694,0.0,89.477,89.477,134.216
2020-05-04,PE,Feira Nova,6,0,3,22352,2605400,3,3,0.6667,0.1667,,,,0.05556,0.0,,,,,,,0.0,0.0,268.432,0.0,134.216,134.216,134.216
2020-05-05,PE,Feira Nova,6,0,3,22352,2605400,3,3,0.5,0.1667,,,,0.1389,0.02778,,,,,,,0.0,0.0,268.432,0.0,134.216,134.216,134.216
2020-05-06,PE,Feira Nova,6,0,2,22352,2605400,2,4,0.8333,0.3333,,,,0.05556,,,,,,,,0.0,0.0,268.432,0.0,89.477,89.477,178.955
2020-05-07,PE,Feira Nova,8,0,3,22352,2605400,3,5,1.0,0.3333,,,,,,,,,,,,0.0,0.0,357.91,0.0,134.216,134.216,223.694
2020-05-08,PE,Feira Nova,8,0,3,22352,2605400,3,5,1.333,0.5,,,,,,,,,,,,0.0,0.0,357.91,0.0,134.216,134.216,223.694
2020-05-09,PE,Feira Nova,10,1,4,22352,2605400,5,5,0.6667,0.3333,,,,,,,,,,,,0.2,0.1,447.387,44.739,178.955,223.694,223.694
2020-05-10,PE,Feira Nova,12,3,5,22352,2605400,8,4,,,,,,,,,,,,,,0.375,0.25,536.865,134.216,223.694,357.91,178.955
2020-05-11,PE,Feira Nova,14,4,6,22352,2605400,10,4,,,,,,,,,,,,,,0.4,0.2857,626.342,178.955,268.432,447.387,178.955
2020-05-12,PE,Feira Nova,10,1,4,22352,2605400,5,5,,,,,,,,,,,,,,0.2,0.1,447.387,44.739,178.955,223.694,223.694
