Date,State,City,Confirmed,Deaths,Recovered,Estimated Population,City Ibge Code,Closed,Active,Diff Confirmed,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Confirmed,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Confirmed,Diff4 Confirmed,Diff5 Confirmed,μ_closed,μ_confirmed,Confirmed Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi
2020-05-03,PI,Francisco Santos,1,0,0,9412,2204204,0,1,,,,,,,,,,,,,,,0.0,106.247,0.0,0.0,0.0,106.247
2020-05-04,PI,Francisco Santos,1,0,0,9412,2204204,0,1,,,,,,,,,,,,,,,0.0,106.247,0.0,0.0,0.0,106.247
2020-05-05,PI,Francisco Santos,1,0,0,9412,2204204,0,1,,,,,,,,,,,,,,,0.0,106.247,0.0,0.0,0.0,106.247
2020-05-06,PI,Francisco Santos,1,0,0,9412,2204204,0,1,0.0,,,,,,,,,,,,,,0.0,106.247,0.0,0.0,0.0,106.247
2020-05-07,PI,Francisco Santos,1,0,0,9412,2204204,0,1,0.0,,,,,,,,,,,,,,0.0,106.247,0.0,0.0,0.0,106.247
2020-05-08,PI,Francisco Santos,1,0,0,9412,2204204,0,1,0.0,,,,,,,,,,,,,,0.0,106.247,0.0,0.0,0.0,106.247
2020-05-09,PI,Francisco Santos,1,0,0,9412,2204204,0,1,0.1667,,,,,,,,,,,,,,0.0,106.247,0.0,0.0,0.0,106.247
2020-05-10,PI,Francisco Santos,1,0,0,9412,2204204,0,1,0.1667,,,,,,,,,,,,,,0.0,106.247,0.0,0.0,0.0,106.247
2020-05-11,PI,Francisco Santos,1,0,0,9412,2204204,0,1,0.1667,,,,,,,,,,,,,,0.0,106.247,0.0,0.0,0.0,106.247
2020-05-12,PI,Francisco Santos,2,0,1,9412,2204204,1,1,0.1667,,,,,-0.02778,,,,,,,,0.0,0.0,212.495,0.0,106.247,106.247,106.247
2020-05-13,PI,Francisco Santos,2,0,1,9412,2204204,1,1,0.1667,,,,,0.02778,,,,,,,,0.0,0.0,212.495,0.0,106.247,106.247,106.247
2020-05-14,PI,Francisco Santos,2,0,1,9412,2204204,1,1,0.1667,,,,,,,,,,,,,0.0,0.0,212.495,0.0,106.247,106.247,106.247
2020-05-15,PI,Francisco Santos,2,0,1,9412,2204204,1,1,0.0,0.0,,,,,,,,,,,,0.0,0.0,212.495,0.0,106.247,106.247,106.247
2020-05-16,PI,Francisco Santos,2,0,1,9412,2204204,1,1,0.3333,0.1667,,,,,,,,,,,,0.0,0.0,212.495,0.0,106.247,106.247,106.247
2020-05-17,PI,Francisco Santos,2,0,1,9412,2204204,1,1,,,,,,,,,,,,,,0.0,0.0,212.495,0.0,106.247,106.247,106.247
2020-05-18,PI,Francisco Santos,2,0,1,9412,2204204,1,1,,,,,,,,,,,,,,0.0,0.0,212.495,0.0,106.247,106.247,106.247
2020-05-19,PI,Francisco Santos,4,0,2,9412,2204204,2,2,,,,,,,,,,,,,,0.0,0.0,424.989,0.0,212.495,212.495,212.495
